BillingPeriodStartDate,BillingPeriodEndDate,ProductCode,ProductName,UsageType,Operation,AvailabilityZone,RateId,UsageStartDate,UsageEndDate,UsageQuantity,CurrencyCode,TotalCost,user:billing
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,,,279196,2012/10/01 00:00:00,2012/10/31 23:59:59,1152.04800930,USD,128.029858,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,,,279196,2012/10/01 00:00:00,2012/10/31 23:59:59,5138.85207848,USD,571.092953,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonS3,Amazon Simple Storage Service,TimedStorage-ByteHrs,,,279196,2012/10/01 00:00:00,2012/10/31 23:59:59,6787.54442000,USD,754.316086,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,ElasticIP:Remap,,,750292,2012/10/01 00:00:00,2012/10/31 23:59:59,1.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,US-Requests-Tier2-HTTPS,,,575469,2012/10/01 00:00:00,2012/10/31 23:59:59,3287407.00000000,USD,3.287407,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Regional-Bytes,,,235096,2012/10/01 00:00:00,2012/10/31 23:59:59,197.31012624,USD,1.969627,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Regional-Bytes,,,235096,2012/10/01 00:00:00,2012/10/31 23:59:59,31.79893526,USD,0.317429,
2012/10/01 00:00:00,2012/10/31 23:59:59,AWSDataTransfer,AWS Data Transfer,DataTransfer-Regional-Bytes,,,235096,2012/10/01 00:00:00,2012/10/31 23:59:59,338.80816393,USD,3.382116,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRoute53,Amazon Route 53,HostedZone,,,688423,2012/10/01 00:00:00,2012/10/31 23:59:59,3.00000000,USD,1.500000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,JP-Requests-Tier2-HTTPS,,,575511,2012/10/01 00:00:00,2012/10/31 23:59:59,196882.00000000,USD,0.255947,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,DataProcessing-Bytes,LoadBalancing,,750573,2012/10/01 00:00:00,2012/10/31 23:59:59,511.12543145,USD,3.969003,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,Multi-AZUsage:db.m1.large,CreateDBInstance:0002,us-east-1,717262,2012/10/01 00:00:00,2012/10/31 23:59:59,398.00000000,USD,330.340000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,Multi-AZUsage:db.m1.large,CreateDBInstance:0002,us-east-1,717262,2012/10/01 00:00:00,2012/10/31 23:59:59,1602.00000000,USD,1329.660000,production
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonRDS,Amazon RDS Service,Multi-AZUsage:db.m1.large,CreateDBInstance:0002,us-east-1,717262,2012/10/01 00:00:00,2012/10/31 23:59:59,276.00000000,USD,229.080000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,CW:MetricMonitorUsage,MetricStorage,,751305,2012/10/01 00:00:00,2012/10/31 23:59:59,87.35080730,USD,38.675404,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:t1.micro,RunInstances,us-east-1a,264261,2012/10/01 00:00:00,2012/10/31 23:59:59,2404.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonEC2,Amazon Elastic Compute Cloud,BoxUsage:t1.micro,RunInstances,us-east-1d,264261,2012/10/01 00:00:00,2012/10/31 23:59:59,41.00000000,USD,0.000000,
2012/10/01 00:00:00,2012/10/31 23:59:59,AmazonCloudFront,Amazon CloudFront,SA-Requests-Tier2-HTTPS,,,575488,2012/10/01 00:00:00,2012/10/31 23:59:59,64530.00000000,USD,0.141966,
