Day Index,Visits,Note
9/1/11,24,
9/2/11,10,
9/3/11,9,
9/4/11,1,
9/5/11,8,
9/6/11,5,
9/7/11,8,
9/8/11,21,
9/9/11,13,
9/10/11,26,
9/11/11,39,
9/12/11,2700,TechCrunch Disrupt
9/13/11,4666,TechCrunch Disrupt
9/14/11,1663,TechCrunch Disrupt
9/15/11,566,
9/16/11,379,
9/17/11,226,
9/18/11,213,
9/19/11,270,
9/20/11,227,
9/21/11,180,
9/22/11,312,
9/23/11,197,
9/24/11,127,
9/25/11,109,
9/26/11,466,
9/27/11,523,
9/28/11,206,
9/29/11,151,
9/30/11,272,
10/1/11,93,
10/2/11,177,
10/3/11,292,
10/4/11,225,
10/5/11,291,
10/6/11,151,
10/7/11,103,
10/8/11,198,
10/9/11,195,
10/10/11,1349,
10/11/11,2383,3000 invites sent
10/12/11,1042,
10/13/11,583,
10/14/11,400,
10/15/11,272,
10/16/11,333,
10/17/11,426,
10/18/11,414,
10/19/11,287,
10/20/11,312,
10/21/11,228,
10/22/11,1857,
10/23/11,939,
10/24/11,892,
10/25/11,1044,
10/26/11,444,
10/27/11,329,
10/28/11,247,
10/29/11,252,
10/30/11,310,
10/31/11,311,
11/1/11,296,
11/2/11,248,
11/3/11,200,
11/4/11,194,
11/5/11,129,
11/6/11,186,
11/7/11,364,
11/8/11,191,
11/9/11,222,
11/10/11,243,
11/11/11,150,
11/12/11,132,
11/13/11,220,
11/14/11,248,
11/15/11,166,
11/16/11,177,
11/17/11,146,
11/18/11,137,
11/19/11,104,
11/20/11,105,
11/21/11,128,
11/22/11,135,
11/23/11,125,
11/24/11,102,
11/25/11,100,
11/26/11,94,
11/27/11,169,
11/28/11,148,
11/29/11,148,
11/30/11,141,
12/1/11,120,
12/2/11,105,
12/3/11,91,
12/4/11,111,
12/5/11,159,
12/6/11,155,
12/7/11,123,
12/8/11,129,
12/9/11,105,
12/10/11,71,
12/11/11,92,
12/12/11,119,
12/13/11,147,
12/14/11,115,
12/15/11,114,
12/16/11,132,
12/17/11,61,
12/18/11,70,
12/19/11,126,
12/20/11,152,
12/21/11,190,
12/22/11,132,
12/23/11,177,
12/24/11,208,
12/25/11,114,
12/26/11,158,
12/27/11,137,
12/28/11,137,
12/29/11,483,
12/30/11,7128,Public beta
12/31/11,3060,
1/1/12,2034,
1/2/12,3089,
1/3/12,2457,
1/4/12,1575,
1/5/12,975,
1/6/12,728,
1/7/12,629,
1/8/12,664,
1/9/12,729,
1/10/12,723,
1/11/12,558,
1/12/12,768,
1/13/12,647,
1/14/12,448,
1/15/12,422,
1/16/12,466,
1/17/12,431,
