ActiveUsers,AvgPageViewsPerSession,AvgSessionLength,MedianSessionLength,NewUsers,PageViews,RetainedUsers,Sessions,date
208,3,103,54,33,1180,1,419,2012-06-29
219,9,283,57,26,3551,0,423,2012-06-30
189,6,142,66,27,2167,1,363,2012-07-01
194,5,181,51,18,1652,0,357,2012-07-02
193,5,146,74,24,1864,0,377,2012-07-03
170,4,132,87,19,1427,0,375,2012-07-04
184,3,161,68,22,1352,1,428,2012-07-05
155,4,251,67,17,1049,1,316,2012-07-06
203,6,126,62,21,2127,0,390,2012-07-07
227,4,125,58,29,1914,0,457,2012-07-08
176,2,211,70,30,841,0,359,2012-07-09
175,3,106,58,26,1051,0,364,2012-07-10
163,3,214,71,27,1096,0,373,2012-07-11
192,2,212,57,27,923,0,443,2012-07-12
178,5,182,60,20,1437,1,334,2012-07-13
197,4,116,71,32,1546,0,439,2012-07-14
202,5,145,57,28,2067,0,423,2012-07-15
171,5,174,54,27,1848,0,392,2012-07-16
170,3,103,66,21,1162,0,377,2012-07-17
252,3,149,83,111,1717,1,677,2012-07-18
238,3,228,59,30,1591,1,561,2012-07-19
209,2,97,53,19,690,0,456,2012-07-20
201,3,120,42,9,1140,0,410,2012-07-21
201,2,201,53,12,772,1,377,2012-07-22
165,3,176,66,9,983,0,351,2012-07-23
150,3,91,49,9,860,0,282,2012-07-24
161,2,107,54,7,491,0,253,2012-07-25
143,5,152,51,6,1102,0,253,2012-07-26
138,7,148,65,8,1883,0,271,2012-07-27
177,8,407,56,12,2117,0,303,2012-07-28
177,5,166,63,14,1716,0,338,2012-07-29
162,4,220,52,11,1090,0,306,2012-07-30
150,4,147,55,6,1077,0,307,2012-07-31
168,4,132,51,12,1185,0,337,2012-08-01
135,4,261,74,9,1064,0,252,2012-08-02
169,2,193,78,6,450,0,288,2012-08-03
170,4,120,57,7,1290,0,312,2012-08-04
173,4,239,83,11,1236,0,365,2012-08-05
141,6,120,47,6,1591,0,274,2012-08-06
125,4,539,56,4,785,0,223,2012-08-07
138,5,251,55,9,1019,0,225,2012-08-08
123,3,146,49,5,587,0,254,2012-08-09
134,9,142,83,6,1951,0,243,2012-08-10
132,3,192,54,7,882,0,272,2012-08-11
163,5,299,65,10,1741,0,363,2012-08-12
112,6,299,74,7,1299,0,253,2012-08-13
131,3,180,59,2,753,0,253,2012-08-14
144,5,225,80,4,1359,0,273,2012-08-15
138,7,126,70,9,1603,0,262,2012-08-16
132,11,161,71,6,2440,0,236,2012-08-17
117,7,193,67,5,1504,0,230,2012-08-18
146,6,239,60,6,1704,0,306,2012-08-19
126,18,196,66,8,4547,0,275,2012-08-20
116,12,120,54,10,2263,0,207,2012-08-21
113,8,188,54,11,1383,0,202,2012-08-22
154,7,146,65,8,1760,0,256,2012-08-23
131,10,133,63,1,2118,0,242,2012-08-24
139,3,292,68,11,916,0,288,2012-08-25
161,4,252,45,11,894,0,255,2012-08-26
120,5,149,50,7,1207,0,265,2012-08-27
120,5,150,78,6,1081,0,245,2012-08-28
219,3,214,56,8,1426,0,493,2012-08-29
177,2,148,53,7,745,0,336,2012-08-30
795,1,153,65,167,1319,2,2504,2012-08-31
636,0,138,57,85,608,3,1927,2012-09-01
448,0,149,56,76,232,4,1233,2012-09-02
379,0,128,56,59,167,1,1051,2012-09-03
369,0,149,59,110,207,4,1026,2012-09-04
349,0,138,49,106,2,0,1029,2012-09-05
282,0,124,50,46,276,2,710,2012-09-06
283,0,148,60,65,121,1,678,2012-09-07
278,0,115,60,50,241,1,660,2012-09-08
274,0,139,51,42,185,1,600,2012-09-09
219,0,105,63,36,17,0,549,2012-09-10
209,0,86,44,21,26,1,399,2012-09-11
187,0,117,52,26,17,1,458,2012-09-12
202,0,154,42,26,74,0,452,2012-09-13
299,0,274,48,38,39,1,620,2012-09-14
261,0,110,49,41,59,1,515,2012-09-15
228,0,212,54,32,56,1,561,2012-09-16
182,0,255,60,24,82,0,423,2012-09-17
182,1,165,49,19,161,0,360,2012-09-18
195,0,96,49,17,2,0,372,2012-09-19
213,0,106,49,23,0,1,434,2012-09-20
230,0,88,40,53,78,2,425,2012-09-21
225,0,84,43,47,0,5,439,2012-09-22
193,0,116,50,34,0,2,443,2012-09-23
256,0,225,47,45,0,2,477,2012-09-24
244,0,181,52,48,2,3,499,2012-09-25
159,0,103,41,26,0,0,277,2012-09-26
157,0,76,43,25,34,1,300,2012-09-27
290,0,75,35,45,21,3,584,2012-09-28
203,0,159,41,30,0,1,450,2012-09-29
214,0,126,50,36,45,1,435,2012-09-30
172,0,91,42,27,48,1,338,2012-10-01
156,0,114,42,27,0,1,317,2012-10-02
144,0,128,51,25,0,1,330,2012-10-03
129,0,111,40,21,12,1,282,2012-10-04
145,0,81,36,16,10,2,283,2012-10-05
173,0,93,44,23,0,1,376,2012-10-06
143,0,103,34,20,125,0,287,2012-10-07
169,0,87,46,26,0,2,386,2012-10-08
129,0,86,47,12,0,1,309,2012-10-09
127,0,77,34,21,0,0,222,2012-10-10
102,0,102,36,10,0,0,224,2012-10-11
126,0,90,49,20,0,1,238,2012-10-12
147,0,138,54,26,0,2,327,2012-10-13
138,0,97,39,28,0,0,257,2012-10-14
