Device,Count
LGE Nexus 4,149
asus Nexus 7,144
HTC One,75
samsung GT-I9300,58
samsung Galaxy Nexus,46
samsung GT-I9505,41
samsung SCH-I535,38
samsung GT-I9100,31
samsung SCH-I545,30
Sony C6603,23
samsung GT-N7100,21
samsung SAMSUNG-SGH-I337,20
samsung SPH-L710,17
samsung GT-I9500,15
samsung SM-N9005,14
samsung SAMSUNG-SGH-I747,12
LGE Nexus 5,12
motorola DROID RAZR,11
samsung GT-N5110,10
samsung SPH-L720,10
samsung SCH-I605,10
samsung SGH-M919,9
HTC One X,8
samsung GT-I9305,8
Sony SO-01F,7
Sony C6903,7
motorola DROID RAZR HD,7
motorola XT1058,7
samsung GT-N7000,7
samsung GT-N7105,7
Sony SO-02E,6
motorola XT907,6
lge LG-D802,6
motorola XT1060,6
HTC One S,6
samsung GT-P3110,6
samsung GT-P5110,6
HTCONE,6
samsung SGH-T999,6
LGE LG-D800,6
HTC6500LVW,6
samsung SGH-I747M,5
samsung GT-I8190L,5
samsung SGH-I337,5
samsung SM-N900W8,5
samsung SAMSUNG-SGH-I317,5
Sony Ericsson LT18i,4
samsung GT-I9000,4
motorola DROID BIONIC,4
Samsung Nexus S,4
SHARP SHT21,4
Sony SO-04E,4
SHARP SH-02E,4
samsung GT-I8190N,4
samsung SC-02E,4
samsung GT-I9300T,4
samsung SPH-D710,4
Sony LT30p,4
samsung SAMSUNG-SGH-T989,4
samsung SM-N900,4
samsung Nexus 10,4
samsung SGH-T989,4
Sony C6833,4
LGE VS980 4G,4
asus Transformer TF101,3
samsung GT-N8010,3
samsung SAMSUNG-SM-N900A,3
samsung GT-I9100P,3
LGE LG-F320L,3
motorola XT890,3
samsung GT-P3113,3
samsung GT-I9195,3
Sony SO-01E,3
Sony SOL21,3
HTC EVO,3
samsung GT-I9100T,3
lge LG-P990,3
samsung GT-I8190,3
unknown,3
samsung SAMSUNG-SGH-I727,3
samsung SGH-I317M,3
HTC PC36100,3
samsung SCH-I500,3
samsung SC-06D,3
HTC One XL,3
HTC_PN071,3
HUAWEI GL07S,3
samsung SCH-R530U,3
samsung GT-N7105T,3
samsung SM-N900V,3
samsung Nexus S 4G,2
HTC Desire HD,2
samsung GT-I9507,2
samsung GT-P5113,2
Samsung SGH-I747,2
samsung SC-04E,2
Acer A500,2
HTC ISW13HT,2
Sony LT22i,2
samsung GT-I8730,2
FUJITSU MOBILE COMMUNICATIONS LIMITED ISW13F,2
samsung GT-I9210T,2
samsung SCL22,2
HTC6435LVW,2
unknown cm_tenderloin,2
HUAWEI P6-U06,2
asus Transformer Prime TF201,2
HTC Desire,2
samsung SM-P600,2
FUJITSU F-05D,2
samsung SGH-I337M,2
HTC One X+,2
asus ASUS Transformer Pad TF300T,2
LGE LG-F160K,2
samsung SM-T310,2
HUAWEI Y300-0100,2
BN LLC BNTV600,2
samsung SGH-T999L,2
samsung SHV-E210K,2
Sony SO-04D,2
HTC ADR6300,2
Motorola Xoom,2
samsung EK-GC100,2
HTC Desire S,2
motorola XT1053,2
samsung SM-T210R,2
samsung SM-T210,2
HTC HTL21,2
FUJITSU TOSHIBA MOBILE COMMUNICATIONS LIMITED ISW11F,2
samsung GT-P3100,2
Tesco Hudl HT7S3,2
Sony ST21i2,2
acer B1-A71,2
HTC One mini,2
HTCEVOV4G,2
samsung SM-N900T,2
HTC Desire HD A9191,2
motorola XT1080,2
asus PadFone 2,2
samsung GT-I8160,2
samsung SPH-L900,2
samsung SHV-E210L,2
FUJITSU 201F,2
HTC VLE_U,2
LGE LG-P769,2
alps CINK KING,1
HTC ISW12HT,1
TOSHIBA AT300SE,1
unknown Amazon Kindle Fire,1
motorola XT926,1
samsung SM-N9000Q,1
Sony Ericsson IS11S,1
Motorola MZ616,1
samsung GT-I9082L,1
HTC first,1
Sony ST26a,1
asus ME173X,1
Sony SO-03E,1
samsung GT-N8020,1
asus ASUS Transformer Pad TF300TG,1
samsung GT-I8730T,1
samsung SCH-R950,1
htc enrc2b,1
FUJITSU F-06E,1
lge LG-MS770,1
LGE LG-P700,1
Sony Ericsson LT28h,1
Samsung SPH-D700,1
samsung GT-S6500,1
Sony Ericsson MT11a,1
samsung GT-N8000,1
samsung GT-N5120,1
samsung GT-I9105P,1
TCT ALCATEL ONE TOUCH 5020X,1
Acer A211,1
LENOVO LIFETAB_S9714,1
samsung SCH-I815,1
Sony Ericsson WT19i,1
samsung SCL21,1
PANASONIC P-02E,1
Samsung SGH-T679,1
Sony ST21a2,1
HUAWEI P2-6011,1
WIKO CINK PEAX 2,1
samsung SC-03E,1
Micromax A116,1
motorola MB855,1
PANTECH ADR910L,1
samsung SAMSUNG-SGH-I577,1
Enspert CINK PEAX,1
Sony ST23a,1
Sony Ericsson SO-03C,1
Matsunichi Le Pan S,1
Sony SOL23,1
FUJITSU F-07E,1
MOTO MB526,1
samsung SGH-I757M,1
HUAWEI U8860,1
samsung SPH-L300,1
Sony ST25a,1
HTC Ruby,1
LGE LG-E739,1
Sony Ericsson SK17i,1
samsung SAMSUNG-SGH-I537,1
HTC Incredible S,1
asus ME371MG,1
PANASONIC P-01D,1
samsung GT-I9305T,1
Sony C5303,1
samsung GT-N8013,1
asus Slider SL101,1
Prestigio PAP4044DUO,1
LGE LG-E615f,1
samsung SHV-E330S,1
HTC PG86100,1
Sony ST27i,1
samsung GT-I9205,1
