Week,Installs,Updates
2012-08-27,405.0,3494.0
2012-09-03,913.0,2436.0
2012-09-10,268.0,805.0
2012-09-17,153.0,811.0
2012-09-24,180.0,5968.0
2012-10-01,128.0,2102.0
2012-10-08,127.0,715.0
2012-10-15,119.0,369.0
2012-10-22,159.0,4931.0
2012-10-29,218.0,1755.0
2012-11-05,157.0,638.0
2012-11-12,304.0,4956.0
2012-11-19,192.0,1924.0
2012-11-26,1144.0,861.0
2012-12-03,407.0,581.0
2012-12-10,291.0,365.0
2012-12-17,1047.0,5984.0
2012-12-24,320.0,761.0
2012-12-31,355.0,5382.0
2013-01-07,685.0,2202.0
2013-01-14,304.0,3454.0
2013-01-21,205.0,5903.0
2013-01-28,218.0,2171.0
2013-02-04,90.0,618.0
2013-02-11,96.0,1710.0
2013-02-18,2277.0,869.0
2013-02-25,1482.0,452.0
2013-03-04,2311.0,11188.0
2013-03-11,854.0,12495.0
2013-03-18,475.0,3432.0
2013-03-25,468.0,1124.0
2013-04-01,659.0,13556.0
2013-04-08,804.0,13870.0
2013-04-15,448.0,3141.0
2013-04-22,232.0,1059.0
2013-04-29,243.0,811.0
2013-05-06,625.0,14165.0
2013-05-13,467.0,12580.0
2013-05-20,573.0,2847.0
2013-05-27,1203.0,1142.0
2013-06-03,728.0,750.0
2013-06-10,413.0,808.0
2013-06-17,317.0,519.0
2013-06-24,2658.0,15482.0
2013-07-01,1216.0,3214.0
2013-07-08,814.0,19933.0
2013-07-15,761.0,2278.0
2013-07-22,1531.0,17970.0
2013-07-29,1099.0,23075.0
2013-08-05,3245.0,22276.0
2013-08-12,1483.0,27358.0
2013-08-19,875.0,5651.0
2013-08-26,1235.0,12992.0
2013-09-02,1008.0,3003.0
2013-09-09,542.0,22765.0
2013-09-16,639.0,14152.0
2013-09-23,703.0,7160.0
2013-09-30,1104.0,2626.0
2013-10-07,956.0,1381.0
2013-10-14,517.0,673.0
2013-10-21,593.0,490.0
2013-10-28,831.0,487.0
2013-11-04,141.0,83.0
