Week,Ratio
2012-08-27,1.0
2012-09-03,1.0
2012-09-10,1.0
2012-09-17,1.0
2012-09-24,1.0
2012-10-01,1.0
2012-10-08,1.0
2012-10-15,1.0
2012-10-22,0.99
2012-10-29,1.0
2012-11-05,1.0
2012-11-12,1.0
2012-11-19,1.0
2012-11-26,1.0
2012-12-03,1.0
2012-12-10,1.0
2012-12-17,1.0
2012-12-24,1.0
2012-12-31,1.0
2013-01-07,1.0
2013-01-14,0.9967
2013-01-21,0.996
2013-01-28,0.9887
2013-02-04,1.0
2013-02-11,1.0
2013-02-18,0.999
2013-02-25,1.0
2013-03-04,0.9752
2013-03-11,0.9853
2013-03-18,1.0
2013-03-25,0.9946
2013-04-01,1.0
2013-04-08,1.0
2013-04-15,0.9981
2013-04-22,0.9918
2013-04-29,0.9969
2013-05-06,1.0
2013-05-13,0.9933
2013-05-20,1.0
2013-05-27,1.0
2013-06-03,0.9957
2013-06-10,1.0
2013-06-17,0.9934
2013-06-24,0.9989
2013-07-01,1.0
2013-07-08,0.9859
2013-07-15,0.991
2013-07-22,0.9843
2013-07-29,0.9871
2013-08-05,0.9817
2013-08-12,0.9848
2013-08-19,0.9867
2013-08-26,0.9803
2013-09-02,0.9667
2013-09-09,0.9589
2013-09-16,0.9363
2013-09-23,0.8961
2013-09-30,0.875
2013-10-07,0.8542
2013-10-14,0.8609
2013-10-21,0.8501
2013-10-28,0.8361
2013-11-04,0.8734
