Week,Count
2012-08-27,68
2012-09-03,125
2012-09-10,79
2012-09-17,59
2012-09-24,103
2012-10-01,74
2012-10-08,82
2012-10-15,99
2012-10-22,100
2012-10-29,114
2012-11-05,115
2012-11-12,166
2012-11-19,129
2012-11-26,664
2012-12-03,260
2012-12-10,214
2012-12-17,550
2012-12-24,265
2012-12-31,247
2013-01-07,604
2013-01-14,301
2013-01-21,251
2013-01-28,177
2013-02-04,171
2013-02-11,134
2013-02-18,1945
2013-02-25,1371
2013-03-04,2136
2013-03-11,953
2013-03-18,637
2013-03-25,555
2013-04-01,725
2013-04-08,824
2013-04-15,537
2013-04-22,366
2013-04-29,320
2013-05-06,807
2013-05-13,601
2013-05-20,720
2013-05-27,954
2013-06-03,693
2013-06-10,536
2013-06-17,458
2013-06-24,2666
2013-07-01,1333
2013-07-08,924
2013-07-15,887
2013-07-22,1915
2013-07-29,1549
2013-08-05,3276
2013-08-12,2173
2013-08-19,1358
2013-08-26,2180
2013-09-02,1830
2013-09-09,2705
2013-09-16,3832
2013-09-23,3043
2013-09-30,2576
2013-10-07,2347
2013-10-14,1761
2013-10-21,1801
2013-10-28,2156
2013-11-04,317
