Week,Ratio
2012-08-27,0.0313
2012-09-03,0.0147
2012-09-10,0.0218
2012-09-17,0.0107
2012-09-24,0.0146
2012-10-01,0.0114
2012-10-08,0.0123
2012-10-15,0.0159
2012-10-22,0.0161
2012-11-05,0.0208
2012-11-12,0.0299
2012-11-19,0.0056
2012-11-26,0.0124
2012-12-03,0.0029
2012-12-10,0.0119
2012-12-17,0.0134
2012-12-31,0.0203
2013-01-07,0.0138
2013-01-14,0.0086
2013-01-21,0.0223
2013-01-28,0.0116
2013-02-04,0.0096
2013-02-18,0.0394
2013-02-25,0.0287
2013-03-04,0.0255
2013-03-11,0.0218
2013-03-18,0.0414
2013-03-25,0.0366
2013-04-01,0.0223
2013-04-08,0.0335
2013-04-15,0.032
2013-04-22,0.0453
2013-04-29,0.0411
2013-05-06,0.0922
2013-05-13,0.1023
2013-05-20,0.0781
2013-05-27,0.0522
2013-06-03,0.0511
2013-06-10,0.0443
2013-06-17,0.0534
2013-06-24,0.065
2013-07-01,0.05
2013-07-08,0.0392
2013-07-15,0.0497
2013-07-22,0.0878
2013-07-29,0.0602
2013-08-05,0.0864
2013-08-12,0.0603
2013-08-19,0.0445
2013-08-26,0.0671
2013-09-02,0.0599
2013-09-09,0.0454
2013-09-16,0.0402
2013-09-23,0.0503
2013-09-30,0.0574
2013-10-07,0.0524
2013-10-14,0.0542
2013-10-21,0.0409
2013-10-28,0.0358
2013-11-04,0.0306
