Week,Total Users,Inviters
2012-08-27,224,7
2012-09-03,953,14
2012-09-10,413,9
2012-09-17,187,2
2012-09-24,342,5
2012-10-01,175,2
2012-10-08,163,2
2012-10-15,126,2
2012-10-22,124,2
2012-11-05,144,3
2012-11-12,234,7
2012-11-19,180,1
2012-11-26,1046,13
2012-12-03,345,1
2012-12-10,252,3
2012-12-17,597,8
2012-12-31,246,5
2013-01-07,654,9
2013-01-14,348,3
2013-01-21,224,5
2013-01-28,173,2
2013-02-04,208,2
2013-02-18,2361,93
2013-02-25,1361,39
2013-03-04,2392,61
2013-03-11,965,21
2013-03-18,483,20
2013-03-25,465,17
2013-04-01,940,21
2013-04-08,895,30
2013-04-15,469,15
2013-04-22,265,12
2013-04-29,316,13
2013-05-06,879,81
2013-05-13,694,71
2013-05-20,960,75
2013-05-27,1379,72
2013-06-03,920,47
2013-06-10,474,21
2013-06-17,393,21
2013-06-24,3521,229
2013-07-01,1500,75
2013-07-08,944,37
2013-07-15,805,40
2013-07-22,2175,191
2013-07-29,1494,90
2013-08-05,3474,300
2013-08-12,1925,116
2013-08-19,1169,52
2013-08-26,2326,156
2013-09-02,1686,101
2013-09-09,1035,47
2013-09-16,1095,44
2013-09-23,1073,54
2013-09-30,1341,77
2013-10-07,1125,59
2013-10-14,923,50
2013-10-21,1198,49
2013-10-28,1144,41
2013-11-04,196,6
