Week,Inviters,Invites Sent,Referral Bonuses Earned
2012-09-03,14,16,26
2012-09-10,9,15,4
2012-09-24,5,5,2
2012-10-01,2,2,4
2012-10-08,2,3,2
2012-10-22,2,2,1
2012-11-05,3,4,2
2012-11-12,7,7,3
2012-11-26,13,22,11
2012-12-17,8,10,6
2012-12-31,5,8,1
2013-01-07,9,14,3
2013-01-14,3,14,6
2013-01-21,5,7,5
2013-02-04,2,2,11
2013-02-18,93,195,70
2013-02-25,39,78,38
2013-03-04,61,164,55
2013-03-11,21,36,8
2013-03-18,20,46,26
2013-03-25,17,23,5
2013-04-01,21,112,38
2013-04-08,30,93,44
2013-04-15,15,23,13
2013-04-22,12,17,9
2013-04-29,13,44,15
2013-05-06,81,329,55
2013-05-13,71,233,55
2013-05-20,75,276,38
2013-05-27,72,288,40
2013-06-03,47,139,36
2013-06-10,21,35,15
2013-06-17,21,66,24
2013-06-24,229,435,156
2013-07-01,75,155,53
2013-07-08,37,89,62
2013-07-15,40,103,31
2013-07-22,191,336,223
2013-07-29,90,167,81
2013-08-05,300,602,256
2013-08-12,116,220,115
2013-08-19,52,95,53
2013-08-26,156,321,203
2013-09-02,101,156,72
2013-09-09,47,94,39
2013-09-16,44,70,29
2013-09-23,54,101,56
2013-09-30,77,151,68
2013-10-07,59,94,48
2013-10-14,50,68,37
2013-10-21,49,77,20
2013-10-28,41,55,36
2013-11-04,6,7,1
