Week,Invites Sent,Referral Bonuses Earned
2012-09-03,1.1429,1.8571
2012-09-10,1.6667,0.4444
2012-09-24,1.0,0.4
2012-10-01,1.0,2.0
2012-10-08,1.5,1.0
2012-10-22,1.0,0.5
2012-11-05,1.3333,0.6667
2012-11-12,1.0,0.4286
2012-11-26,1.6923,0.8462
2012-12-17,1.25,0.75
2012-12-31,1.6,0.2
2013-01-07,1.5556,0.3333
2013-01-14,4.6667,2.0
2013-01-21,1.4,1.0
2013-02-04,1.0,5.5
2013-02-18,2.0968,0.7527
2013-02-25,2.0,0.9744
2013-03-04,2.6885,0.9016
2013-03-11,1.7143,0.381
2013-03-18,2.3,1.3
2013-03-25,1.3529,0.2941
2013-04-01,5.3333,1.8095
2013-04-08,3.1,1.4667
2013-04-15,1.5333,0.8667
2013-04-22,1.4167,0.75
2013-04-29,3.3846,1.1538
2013-05-06,4.0617,0.679
2013-05-13,3.2817,0.7746
2013-05-20,3.68,0.5067
2013-05-27,4.0,0.5556
2013-06-03,2.9574,0.766
2013-06-10,1.6667,0.7143
2013-06-17,3.1429,1.1429
2013-06-24,1.8996,0.6812
2013-07-01,2.0667,0.7067
2013-07-08,2.4054,1.6757
2013-07-15,2.575,0.775
2013-07-22,1.7592,1.1675
2013-07-29,1.8556,0.9
2013-08-05,2.0067,0.8533
2013-08-12,1.8966,0.9914
2013-08-19,1.8269,1.0192
2013-08-26,2.0577,1.3013
2013-09-02,1.5446,0.7129
2013-09-09,2.0,0.8298
2013-09-16,1.5909,0.6591
2013-09-23,1.8704,1.037
2013-09-30,1.961,0.8831
2013-10-07,1.5932,0.8136
2013-10-14,1.36,0.74
2013-10-21,1.5714,0.4082
2013-10-28,1.3415,0.878
2013-11-04,1.1667,0.1667
