Week,All Users,Invited,Photo Mail Signup Link,Photo Page,iOS,Android,Web
2013-01-28,0.4675,,0.1667,,0.1818,,0.6591
2013-02-04,0.2837,,0.1667,,0.1228,,0.3615
2013-02-11,0.3778,,0.0,,0.2051,,0.5125
2013-02-18,0.719,,0.3,,0.4953,,0.7776
2013-02-25,0.6701,,0.1333,,0.4128,,0.7708
2013-03-04,0.5006,,0.1304,,0.2788,,0.6032
2013-03-11,0.44,,0.1892,,0.2556,,0.5273
2013-03-18,0.5,,0.08,,0.2661,,0.6567
2013-03-25,0.5118,,0.1515,,0.3113,,0.6543
2013-04-01,0.475,,0.186,,0.1923,,0.5529
2013-04-08,0.5223,,0.2273,,0.3062,,0.5988
2013-04-15,0.4989,,0.1429,0.0,0.2687,,0.6333
2013-04-22,0.5038,0.2222,0.1765,,0.2319,,0.6585
2013-04-29,0.4146,0.5405,0.1304,,0.1944,,0.5082
2013-05-06,0.4983,0.4878,0.0833,,0.2609,,0.5784
2013-05-13,0.4755,0.4945,0.0741,0.5,0.2636,,0.5535
2013-05-20,0.4438,0.4414,0.05,0.6667,0.3358,,0.4523
2013-05-27,0.3669,0.6111,0.1852,0.0,0.1922,,0.4008
2013-06-03,0.4022,0.5077,0.087,0.3333,0.1938,,0.5139
2013-06-10,0.4388,0.6053,0.1053,0.1429,0.2014,,0.5708
2013-06-17,0.5076,0.65,0.1111,0.25,0.2857,,0.6291
2013-06-24,0.5832,0.5352,0.25,0.4286,0.2755,,0.6908
2013-07-01,0.5533,0.5455,0.3226,0.6667,0.2083,,0.6939
2013-07-08,0.564,0.7794,0.4483,0.5556,0.2231,,0.7143
2013-07-15,0.4273,0.5741,0.3704,0.5,0.1471,,0.6873
2013-07-22,0.6783,0.5876,0.4412,0.4,0.3359,,0.7861
2013-07-29,0.6344,0.5926,0.2667,0.4,0.3319,,0.7552
2013-08-05,0.6129,0.6038,0.3095,0.625,0.3546,,0.7508
2013-08-12,0.6166,0.5957,0.2143,0.4286,0.3272,,0.7486
2013-08-19,0.6325,0.7766,0.25,0.5556,0.3319,0.0,0.7485
2013-08-26,0.6635,0.7042,0.2708,0.5,0.3325,0.4348,0.7801
2013-09-02,0.6085,0.6146,0.2424,0.4286,0.3436,0.3333,0.7689
2013-09-09,0.583,0.6,0.3939,0.2222,0.2168,0.0952,0.7342
2013-09-16,0.5712,0.6377,0.1892,1.0,0.2437,0.3333,0.7717
2013-09-23,0.6379,0.5179,0.1786,0.5,0.3362,0.45,0.7731
2013-09-30,0.6112,0.6552,0.1163,,0.2871,0.4483,0.7688
2013-10-07,0.6344,0.6949,0.35,0.5,0.2716,0.3077,0.7795
2013-10-14,0.5961,0.7308,0.2727,0.6667,0.299,0.3889,0.7151
2013-10-21,0.5905,0.5373,0.4783,0.25,0.2579,0.2258,0.7149
2013-10-28,0.5472,0.5075,0.4118,0.3333,0.1776,0.3,0.7424
2013-11-04,0.2959,0.2941,0.1,,0.1282,0.0,0.39
