Week,% Signed up,% Earned Referred-by-User Bonus
2013-04-22,0.2353,0.0588
2013-04-29,0.3445,0.1849
2013-05-06,0.3013,0.1314
2013-05-13,0.4043,0.183
2013-05-20,0.4469,0.1603
2013-05-27,0.3283,0.1824
2013-06-03,0.3688,0.1813
2013-06-10,0.4405,0.2619
2013-06-17,0.3925,0.2336
2013-06-24,0.2803,0.1349
2013-07-01,0.4096,0.1988
2013-07-08,0.4387,0.2903
2013-07-15,0.3311,0.1419
2013-07-22,0.3951,0.2181
2013-07-29,0.4091,0.2121
2013-08-05,0.3268,0.1843
2013-08-12,0.3316,0.1737
2013-08-19,0.4266,0.2982
2013-08-26,0.4437,0.2733
2013-09-02,0.4217,0.2435
2013-09-09,0.3889,0.2273
2013-09-16,0.4444,0.2569
2013-09-23,0.3218,0.1437
2013-09-30,0.4167,0.2348
2013-10-07,0.3239,0.1761
2013-10-14,0.3805,0.2478
2013-10-21,0.4024,0.2012
2013-10-28,0.4514,0.2083
2013-11-04,0.5417,0.2083
