Date,All,1+ Photos,1000+ Photos,10000+ Photos
Sep-12,0.135,0.2925,0.4775,0.7794
Oct-12,0.1323,0.2756,0.5287,0.8026
Nov-12,0.1914,0.3583,0.5965,0.8634
Dec-12,0.1619,0.2931,0.5099,0.8115
Jan-13,0.172,0.2679,0.5059,0.811
Feb-13,0.2405,0.2777,0.3886,0.5835
Mar-13,0.1366,0.1692,0.295,0.5805
Apr-13,0.1138,0.1456,0.269,0.5762
May-13,0.0837,0.1147,0.2252,0.5354
Jun-13,0.0657,0.0846,0.1727,0.4527
Jul-13,0.1045,0.1291,0.2411,0.5174
Aug-13,0.1253,0.148,0.2632,0.579
Sep-13,0.1107,0.1297,0.2489,0.4939
Oct-13,0.1042,0.1266,0.2333,0.3309
