Category,Count,Open Rate,Click Rate
production-flashback_v2/free,351090.0,60.81,6.81
production-flashback/free,288589.0,59.82,7.25
production-flashback_v2/subscriber,223918.0,72.57,11.51
production-flashback/subscriber,192857.0,69.58,12.21
Newsletter,158269.0,50.22,7.42
production-memory/free,53152.0,55.33,6.01
invite,53038.0,46.58,7.21
production-memory_free_v2,46056.0,58.75,5.1
production-photos_nonuser_v2,45700.0,93.48,15.49
promotion,41102.0,40.48,4.84
production-invite_self_v3,31810.0,75.16,87.25
newfeature,30859.0,61.3,9.44
production-reminder_desktop_1,28059.0,45.48,9.92
production-reminder_desktop_2,26192.0,40.21,11.87
production-memory/subscriber,25368.0,79.02,12.85
production-flashback_friend/subscriber,25031.0,85.05,0.35
production-memory_subscriber_v2,21113.0,81.94,8.43
production-ready_v3,20605.0,67.71,20.24
production-invite,20015.0,77.22,86.67
production-ready,16767.0,76.55,24.04
production-forward_invite,16394.0,44.05,4.59
production-coupon_48hour_v2,15173.0,62.89,13.86
update,12757.0,49.43,7.94
production-billing_expire,12516.0,44.14,3.47
production-photos,12363.0,90.46,13.72
Nonedeletion,12269.0,0.0,0.0
production-bonus/ios-app,12245.0,66.19,6.63
production-invite_self_v2,11835.0,78.99,84.52
production-photos_user_v2,11338.0,86.72,24.14
production-subscription_payment_made,10022.0,80.04,0.45
Noneregistration,9468.0,0.0,0.01
subscriber_newsletter,8618.0,73.84,9.29
production-reminder_desktop,8279.0,44.01,6.43
production-reminder_sync,7546.0,54.78,20.71
production-memory_free,7030.0,77.06,11.23
production-walgreens,6893.0,51.87,2.33
production-invite_reminder_v2,6516.0,41.54,16.48
production-reminder,6127.0,48.4,9.72
production-invite_friend_v2,5114.0,71.13,48.49
production-bonus_v2/desktop-uploader,4879.0,71.08,12.05
production-memory_explanation,4859.0,74.95,8.41
production-subscription_new,4640.0,60.64,3.03
production-bonus_v2/sharing,4571.0,80.46,11.39
production-archive_user,4482.0,84.0,75.65
production-desktop_apps,4381.0,73.49,34.99
usersurvey,4269.0,44.34,13.11
production-ios_apps,4119.0,78.87,60.03
Noneupdate,4026.0,0.02,0.0
production-ready_v2,3941.0,64.29,24.76
production-deletion,3869.0,63.81,3.87
production-bonus/desktop-uploader,3732.0,72.9,6.93
production-password_changed,3552.0,57.96,0.36
production-archive_nonuser,3492.0,74.97,74.79
production-password_request,3474.0,77.69,87.67
manual-reminder,3039.0,50.8,7.89
production-bonus_v2/ios-app,3003.0,74.85,13.51
production-invite_reminder,2767.0,46.72,21.82
production-bonus/sharing,2760.0,72.02,5.14
production-reminder_empty,2706.0,50.22,12.49
production-registration,2682.0,65.13,19.27
production-trial_expired,2645.0,46.76,4.31
production-memory_subscriber,2092.0,92.01,16.87
reminder-personal,1889.0,53.94,6.98
production-coupon_48hour,1835.0,80.0,21.36
production-memory_explanation_free,1599.0,67.41,8.69
production-bonus_v2/referred-user,1512.0,79.49,9.39
production-archive,1448.0,81.97,85.08
production-bonus_v2/mobile-app,1405.0,70.81,13.73
production-error_syncing,1345.0,57.02,24.83
production-subscription_expired,1319.0,59.81,5.3
production-email_new,1292.0,79.41,85.13
Nonephotos,1238.0,0.32,0.08
production-reminder_v2,1086.0,51.47,11.6
production-invite_friend_v3,1069.0,73.62,50.7
production-billing,1068.0,88.1,0.46
production-subscription_payment_failed,1016.0,65.94,19.78
production-grace_expired,998.0,40.88,3.6
Noneinvite,926.0,0.43,0.97
production-subscription_payment_updated,883.0,72.81,0.11
Nonearchive,841.0,0.0,0.0
production-coupon_monthlyupgrade_1month,796.0,71.98,21.98
production-email_changed,761.0,70.03,0.39
production-trial_memory_21,694.0,80.4,9.79
production-trial_expiring_7,685.0,33.72,3.35
production-nag_friend,671.0,75.4,27.27
production-coupon_monthlyupgrade/2MONTHCREDIT,604.0,69.03,16.88
production-payment,492.0,85.97,0.81
production-coupon_monthlyupgrade/3MONTHCREDIT,489.0,65.43,15.95
production-bonus_v2/referred-by-user,486.0,67.07,8.23
