Week,Count
2012-08-27,1
2012-09-03,2
2012-09-10,22
2012-09-17,2
2012-09-24,7
2012-10-01,1
2012-10-15,2
2012-10-22,8
2012-10-29,11
2012-11-05,16
2012-11-12,22
2012-11-19,51
2012-11-26,29
2012-12-03,10
2012-12-10,12
2012-12-17,18
2012-12-24,8
2012-12-31,12
2013-01-07,11
2013-01-14,9
2013-01-21,9
2013-01-28,4
2013-02-04,11
2013-02-11,6
2013-02-18,20
2013-02-25,35
2013-03-04,76
2013-03-11,34
2013-03-18,25
2013-03-25,7
2013-04-01,22
2013-04-08,11
2013-04-15,18
2013-04-22,17
2013-04-29,15
2013-05-06,37
2013-05-13,25
2013-05-20,65
2013-05-27,91
2013-06-03,54
2013-06-10,25
2013-06-17,20
2013-06-24,91
2013-07-01,53
2013-07-08,47
2013-07-15,49
2013-07-22,40
2013-07-29,48
2013-08-05,65
2013-08-12,67
2013-08-19,63
2013-08-26,56
2013-09-02,46
2013-09-09,52
2013-09-16,47
2013-09-23,55
2013-09-30,51
2013-10-07,43
2013-10-14,49
2013-10-21,45
2013-10-28,57
2013-11-04,10
