Week,Requests,Delivered,Unique Opens,Unique Clicks
2012-08-27,0.0,0.0,0.0,0.0
2012-09-03,0.0,0.0,0.0,0.0
2012-09-10,0.0,0.0,0.0,0.0
2012-09-17,0.0,0.0,0.0,0.0
2012-09-24,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0
2012-10-08,0.0,0.0,0.0,0.0
2012-10-15,50.0,49.0,28.0,44.0
2012-10-22,223.0,218.0,147.0,143.0
2012-10-29,212.0,204.0,122.0,161.0
2012-11-05,210.0,206.0,147.0,163.0
2012-11-12,305.0,299.0,224.0,254.0
2012-11-19,249.0,239.0,181.0,201.0
2012-11-26,1419.0,1392.0,1031.0,1185.0
2012-12-03,476.0,468.0,314.0,390.0
2012-12-10,311.0,305.0,205.0,266.0
2012-12-17,792.0,784.0,555.0,689.0
2012-12-24,317.0,313.0,236.0,269.0
2012-12-31,341.0,337.0,225.0,281.0
2013-01-07,842.0,837.0,606.0,755.0
2013-01-14,518.0,509.0,290.0,395.0
2013-01-21,311.0,307.0,208.0,254.0
2013-01-28,246.0,242.0,162.0,199.0
2013-02-04,303.0,298.0,175.0,240.0
2013-02-11,191.0,187.0,133.0,156.0
2013-02-18,2955.0,2934.0,2149.0,2627.0
2013-02-25,1850.0,1825.0,1353.0,1517.0
2013-03-04,2972.0,2937.0,2376.0,2640.0
2013-03-11,1221.0,1201.0,949.0,1072.0
2013-03-18,630.0,618.0,500.0,535.0
2013-03-25,575.0,568.0,481.0,506.0
2013-04-01,1272.0,1260.0,898.0,1054.0
2013-04-08,1146.0,1131.0,912.0,992.0
2013-04-15,348.0,347.0,310.0,315.0
2013-04-22,0.0,0.0,25.0,6.0
2013-04-29,0.0,0.0,19.0,2.0
2013-05-06,0.0,0.0,30.0,2.0
2013-05-13,0.0,0.0,26.0,2.0
2013-05-20,0.0,0.0,33.0,3.0
2013-05-27,0.0,0.0,17.0,0.0
2013-06-03,0.0,0.0,22.0,2.0
2013-06-10,0.0,0.0,34.0,6.0
2013-06-17,0.0,0.0,7.0,1.0
2013-06-24,0.0,0.0,16.0,1.0
2013-07-01,0.0,0.0,11.0,1.0
2013-07-08,0.0,0.0,11.0,0.0
2013-07-15,0.0,0.0,32.0,1.0
2013-07-22,0.0,0.0,37.0,3.0
2013-07-29,0.0,0.0,16.0,3.0
2013-08-05,0.0,0.0,15.0,1.0
2013-08-12,0.0,0.0,13.0,1.0
2013-08-19,0.0,0.0,11.0,1.0
2013-08-26,0.0,0.0,19.0,3.0
2013-09-02,0.0,0.0,35.0,4.0
2013-09-09,0.0,0.0,19.0,0.0
2013-09-16,0.0,0.0,13.0,0.0
2013-09-23,0.0,0.0,14.0,1.0
2013-09-30,0.0,0.0,27.0,1.0
2013-10-07,0.0,0.0,9.0,1.0
2013-10-14,0.0,0.0,11.0,0.0
2013-10-21,0.0,0.0,11.0,0.0
2013-10-28,0.0,0.0,5.0,0.0
2013-11-04,0.0,0.0,2.0,0.0
