Week,Requests,Delivered,Unique Opens,Unique Clicks
2012-08-27,0.0,0.0,0.0,0.0
2012-09-03,0.0,0.0,0.0,0.0
2012-09-10,0.0,0.0,0.0,0.0
2012-09-17,0.0,0.0,0.0,0.0
2012-09-24,0.0,0.0,0.0,0.0
2012-10-01,0.0,0.0,0.0,0.0
2012-10-08,0.0,0.0,0.0,0.0
2012-10-15,70.0,69.0,46.0,12.0
2012-10-22,250.0,243.0,194.0,31.0
2012-10-29,233.0,226.0,181.0,50.0
2012-11-05,274.0,267.0,217.0,35.0
2012-11-12,333.0,330.0,328.0,59.0
2012-11-19,221.0,207.0,181.0,38.0
2012-11-26,336.0,331.0,284.0,34.0
2012-12-03,421.0,389.0,356.0,42.0
2012-12-10,308.0,303.0,267.0,52.0
2012-12-17,434.0,423.0,356.0,60.0
2012-12-24,694.0,691.0,541.0,82.0
2012-12-31,879.0,855.0,550.0,78.0
2013-01-07,436.0,430.0,351.0,60.0
2013-01-14,395.0,390.0,365.0,64.0
2013-01-21,390.0,375.0,281.0,53.0
2013-01-28,367.0,359.0,316.0,58.0
2013-02-04,346.0,345.0,315.0,44.0
2013-02-11,691.0,685.0,317.0,45.0
2013-02-18,1012.0,1004.0,822.0,88.0
2013-02-25,1098.0,1064.0,905.0,144.0
2013-03-04,1157.0,1128.0,1011.0,159.0
2013-03-11,1007.0,982.0,901.0,115.0
2013-03-18,964.0,948.0,746.0,160.0
2013-03-25,705.0,705.0,615.0,139.0
2013-04-01,964.0,951.0,852.0,203.0
2013-04-08,752.0,749.0,650.0,173.0
2013-04-15,857.0,848.0,696.0,152.0
2013-04-22,756.0,750.0,725.0,167.0
2013-04-29,773.0,761.0,714.0,156.0
2013-05-06,1250.0,1229.0,1053.0,225.0
2013-05-13,979.0,972.0,919.0,206.0
2013-05-20,1076.0,1054.0,956.0,238.0
2013-05-27,1074.0,1064.0,962.0,206.0
2013-06-03,1082.0,1071.0,967.0,214.0
2013-06-10,936.0,926.0,861.0,176.0
2013-06-17,837.0,828.0,801.0,148.0
2013-06-24,1798.0,1772.0,1355.0,270.0
2013-07-01,2092.0,2051.0,1697.0,371.0
2013-07-08,2068.0,2049.0,1818.0,323.0
2013-07-15,1772.0,1756.0,1592.0,295.0
2013-07-22,2113.0,2081.0,1882.0,307.0
2013-07-29,2436.0,2406.0,2161.0,324.0
2013-08-05,2500.0,2461.0,2131.0,403.0
2013-08-12,3099.0,3067.0,2802.0,458.0
2013-08-19,2738.0,2714.0,2469.0,482.0
2013-08-26,2809.0,2785.0,2606.0,442.0
2013-09-02,3055.0,3035.0,2804.0,488.0
2013-09-09,2391.0,2364.0,2277.0,417.0
2013-09-16,2066.0,2044.0,2023.0,378.0
2013-09-23,2172.0,2141.0,2129.0,364.0
2013-09-30,2544.0,2515.0,2818.0,462.0
2013-10-07,2639.0,2622.0,2957.0,466.0
2013-10-14,2384.0,2341.0,2488.0,418.0
2013-10-21,2180.0,2166.0,2205.0,405.0
2013-10-28,2627.0,2598.0,2456.0,389.0
2013-11-04,489.0,481.0,466.0,85.0
