Week,Count
2012-08-27,1
2012-09-03,2
2012-09-10,2
2012-09-17,2
2012-09-24,2
2012-10-01,1
2012-10-22,1
2012-11-12,1
2012-11-19,6
2012-11-26,4
2012-12-10,2
2012-12-24,1
2012-12-31,1
2013-01-14,1
2013-03-04,1
2013-04-15,1
2013-04-29,2
2013-05-06,3
2013-06-03,3
2013-06-10,2
2013-06-17,1
2013-06-24,4
2013-07-01,1
2013-07-08,2
2013-07-15,3
2013-07-22,2
2013-07-29,1
2013-08-05,4
2013-08-12,1
2013-08-19,5
2013-09-02,1
2013-09-16,4
2013-09-23,2
2013-09-30,1
2013-10-07,1
2013-10-14,6
2013-10-21,2
2013-10-28,1
2013-11-04,1
