Date,Stripe Yearly,Stripe Monthly,Apple Monthly
Sep-12,474.798333486,89.8299964666,77.0
Oct-12,961.359166553,174.429992676,168.0
Nov-12,1482.85833311,270.589988381,178.5
Dec-12,1856.4358326,357.56998381,287.0
Jan-13,2506.74333232,454.339978814,360.5
Feb-13,3123.42249833,605.7099711,392.0
Mar-13,5735.10916271,1538.45992467,987.0
Apr-13,6624.28999551,1870.60990813,1141.0
May-13,7624.73082808,2148.15989432,1309.0
Jun-13,8497.35749427,2248.25988933,1466.5
Jul-13,9978.87666042,2868.27985829,1662.5
Aug-13,12988.2449913,3851.07980937,2369.5
Sep-13,15232.7608226,4363.11978352,2117.5
Oct-13,17475.5699893,4726.22976491,2716.0
Nov-13,17357.5099893,737.099963307,283.5
