Date,Stripe Yearly,Stripe Monthly,Apple Monthly
Sep-12,5697.58000183,89.8299964666,77.0
Oct-12,5838.7299968,174.429992676,168.0
Nov-12,6257.98999864,270.589988381,178.5
Dec-12,4482.92999393,357.56998381,287.0
Jan-13,7803.6899966,454.339978814,360.5
Feb-13,7400.14999211,605.7099711,392.0
Mar-13,31340.2399726,1538.45992467,987.0
Apr-13,10670.1699936,1870.60990813,1141.0
May-13,12005.2899908,2148.15989432,1309.0
Jun-13,10471.5199944,2248.25988933,1466.5
Jul-13,17778.2299937,2868.27985829,1662.5
Aug-13,36112.4199706,3851.07980937,2369.5
Sep-13,32631.7699777,4363.11978352,2117.5
Oct-13,32752.4399971,4726.22976491,2716.0
Nov-13,4841.26999855,737.099963307,283.5
