Week,Ratio
2012-08-27,0.0
2012-09-03,0.0
2012-09-10,0.0
2012-09-17,0.0
2012-09-24,0.0119
2012-10-01,0.0
2012-10-08,0.0
2012-10-15,0.0
2012-10-22,0.0
2012-10-29,0.0
2012-11-05,0.1111
2012-11-12,0.0476
2012-11-19,0.6364
2012-11-26,0.9121
2012-12-03,0.1765
2012-12-10,0.0
2012-12-17,0.0606
2012-12-24,0.1607
2012-12-31,0.0265
2013-01-07,0.0
2013-01-14,0.0238
2013-01-21,0.0
2013-01-28,0.0714
2013-02-04,0.0159
2013-02-11,0.0364
2013-02-18,0.0
2013-02-25,0.0
2013-03-04,0.0021
2013-03-11,0.0
2013-03-18,0.0
2013-03-25,0.0
2013-04-01,0.0
2013-04-08,0.0
2013-04-15,0.0154
2013-04-22,0.0
2013-04-29,0.0
2013-05-06,0.0
2013-05-13,0.0484
2013-05-20,0.0286
2013-05-27,0.0
2013-06-03,0.0392
2013-06-10,0.1087
2013-06-17,0.0541
2013-06-24,0.029
2013-07-01,0.0182
2013-07-08,0.0729
2013-07-15,0.0986
2013-07-22,0.0065
2013-07-29,0.0486
2013-08-05,0.0462
2013-08-12,0.044
2013-08-19,0.0541
2013-08-26,0.0709
2013-09-02,0.0385
2013-09-09,0.061
2013-09-16,0.1024
2013-09-23,0.0519
2013-09-30,0.0428
2013-10-07,0.0284
2013-10-14,0.0738
2013-10-21,0.0647
2013-10-28,0.0625
2013-11-04,0.0
