Week,Stripe Yearly,Stripe Monthly,Apple Monthly
2012-08-27,6.0,2.0,5.0
2012-09-03,18.0,3.0,2.0
2012-09-10,33.0,5.0,1.0
2012-09-17,39.0,2.0,5.0
2012-09-24,85.0,10.0,9.0
2012-10-01,52.0,10.0,12.0
2012-10-08,46.0,5.0,6.0
2012-10-15,23.0,8.0,9.0
2012-10-22,26.0,13.0,16.0
2012-10-29,34.0,13.0,13.0
2012-11-05,16.0,13.0,15.0
2012-11-12,19.0,16.0,6.0
2012-11-19,22.0,14.0,12.0
2012-11-26,182.0,19.0,19.0
2012-12-03,15.0,18.0,17.0
2012-12-10,17.0,14.0,8.0
2012-12-17,29.0,17.0,23.0
2012-12-24,49.0,25.0,19.0
2012-12-31,109.0,20.0,23.0
2013-01-07,28.0,17.0,27.0
2013-01-14,33.0,26.0,13.0
2013-01-21,31.0,29.0,28.0
2013-01-28,37.0,22.0,30.0
2013-02-04,54.0,29.0,12.0
2013-02-11,48.0,28.0,19.0
2013-02-18,49.0,39.0,39.0
2013-02-25,64.0,46.0,48.0
2013-03-04,436.0,106.0,89.0
2013-03-11,117.0,87.0,68.0
2013-03-18,82.0,76.0,55.0
2013-03-25,59.0,53.0,52.0
2013-04-01,74.0,87.0,77.0
2013-04-08,68.0,113.0,97.0
2013-04-15,46.0,106.0,66.0
2013-04-22,33.0,88.0,76.0
2013-04-29,69.0,75.0,59.0
2013-05-06,70.0,149.0,111.0
2013-05-13,66.0,112.0,78.0
2013-05-20,48.0,101.0,87.0
2013-05-27,49.0,84.0,73.0
2013-06-03,48.0,121.0,108.0
2013-06-10,47.0,96.0,106.0
2013-06-17,31.0,99.0,75.0
2013-06-24,98.0,152.0,106.0
2013-07-01,77.0,143.0,113.0
2013-07-08,76.0,128.0,126.0
2013-07-15,64.0,124.0,69.0
2013-07-22,113.0,162.0,118.0
2013-07-29,110.0,173.0,120.0
2013-08-05,180.0,211.0,228.0
2013-08-12,189.0,194.0,147.0
2013-08-19,188.0,158.0,133.0
2013-08-26,253.0,224.0,122.0
2013-09-02,168.0,225.0,137.0
2013-09-09,152.0,239.0,171.0
2013-09-16,168.0,190.0,89.0
2013-09-23,191.0,219.0,152.0
2013-09-30,209.0,263.0,203.0
2013-10-07,178.0,270.0,279.0
2013-10-14,143.0,220.0,120.0
2013-10-21,191.0,198.0,98.0
2013-10-28,141.0,258.0,170.0
2013-11-04,27.0,42.0,19.0
