Product,Usage,Total
AmazonCloudFront,AP-DataTransfer-Out-Bytes,73.51
AmazonCloudFront,AP-Requests-Tier1,0.0
AmazonCloudFront,AP-Requests-Tier2-HTTPS,16.77
AmazonCloudFront,AU-DataTransfer-Out-Bytes,96.9
AmazonCloudFront,AU-Requests-Tier1,0.0
AmazonCloudFront,AU-Requests-Tier2-HTTPS,23.52
AmazonCloudFront,EU-DataTransfer-Out-Bytes,689.63
AmazonCloudFront,EU-Requests-Tier1,0.06
AmazonCloudFront,EU-Requests-Tier2-HTTPS,231.53
AmazonCloudFront,IN-DataTransfer-Out-Bytes,5.0
AmazonCloudFront,IN-Requests-Tier1,0.0
AmazonCloudFront,IN-Requests-Tier2-HTTPS,1.28
AmazonCloudFront,JP-DataTransfer-Out-Bytes,76.79
AmazonCloudFront,JP-Requests-Tier1,0.0
AmazonCloudFront,JP-Requests-Tier2-HTTPS,19.16
AmazonCloudFront,SA-DataTransfer-Out-Bytes,35.67
AmazonCloudFront,SA-Requests-Tier1,0.0
AmazonCloudFront,SA-Requests-Tier2-HTTPS,10.22
AmazonCloudFront,US-DataTransfer-Out-Bytes,1050.11
AmazonCloudFront,US-Requests-Tier1,5.28
AmazonCloudFront,US-Requests-Tier2-HTTPS,317.37
AmazonEC2,BoxUsage,306.67
AmazonEC2,BoxUsage:c1.medium,3664.2
AmazonEC2,BoxUsage:cc1.4xlarge,7694.69
AmazonEC2,BoxUsage:cc2.8xlarge,13331.99
AmazonEC2,BoxUsage:m1.large,3026.57
AmazonEC2,BoxUsage:m1.medium,9532.76
AmazonEC2,SpotUsage:c1.medium,837.3
AmazonEC2,SpotUsage:cc1.4xlarge,380.47
AmazonEC2,SpotUsage:cc2.8xlarge,6153.35
AmazonEC2,SpotUsage:cr1.8xlarge,8719.15
AmazonEC2,SpotUsage:m1.medium,988.23
AmazonElastiCache,HeavyUsage:cache.m1.large,505.99
AmazonElastiCache,HeavyUsage:cache.m1.small,129.58
AmazonElastiCache,NodeUsage:cache.m1.large,928.45
AmazonElastiCache,NodeUsage:cache.m1.small,319.03
AmazonRDS,InstanceUsage:db.m1.large,0.63
AmazonRDS,InstanceUsage:db.m2.4xlarge,93.59
AmazonRDS,InstanceUsage:db.t1.micro,3.86
AmazonRDS,Multi-AZUsage:db.m1.large,6912.27
AmazonRDS,Multi-AZUsage:db.m1.medium,13800.35
AmazonRDS,Multi-AZUsage:db.m1.small,68.48
AmazonRDS,Multi-AZUsage:db.m1.xlarge,7496.4
AmazonRDS,Multi-AZUsage:db.m2.2xlarge,462.96
AmazonRDS,Multi-AZUsage:db.m2.4xlarge,940.67
AmazonRDS,Multi-AZUsage:db.m2.xlarge,5185.15
AmazonRDS,Multi-AZUsage:db.t1.micro,81.45
AmazonRDS,RDS:Multi-AZ-StorageUsage,14985.9
AmazonRDS,RDS:StorageIOUsage,13114.79
AmazonRDS,RDS:StorageUsage,35.8
AmazonS3,Requests-Tier1,4734.41
AmazonS3,Requests-Tier2,502.13
AmazonS3,TimedStorage-ByteHrs,69258.97
AmazonS3,TimedStorage-RRS-ByteHrs,17545.96
AWSDataTransfer,DataTransfer-In-Bytes,0.0
AWSDataTransfer,DataTransfer-Out-Bytes,2813.38
AWSDataTransfer,DataTransfer-Regional-Bytes,1887.84
AWSDataTransfer,EU-DataTransfer-Out-Bytes,0.0
AWSDataTransfer,USE1-APN1-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-APN1-AWS-Out-Bytes,0.0
AWSDataTransfer,USE1-APS1-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-APS1-AWS-Out-Bytes,0.0
AWSDataTransfer,USE1-APS2-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-APS2-AWS-Out-Bytes,0.0
AWSDataTransfer,USE1-CloudFront-In-Bytes,0.0
AWSDataTransfer,USE1-CloudFront-Out-Bytes,0.96
AWSDataTransfer,USE1-EU-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-EU-AWS-Out-Bytes,0.01
AWSDataTransfer,USE1-SAE1-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-SAE1-AWS-Out-Bytes,0.0
AWSDataTransfer,USE1-UGW1-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-USW1-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-USW1-AWS-Out-Bytes,0.03
AWSDataTransfer,USE1-USW2-AWS-In-Bytes,0.0
AWSDataTransfer,USE1-USW2-AWS-Out-Bytes,0.01
