Date,Others,EC2 (Image Analysis),EC2 (Other),S3 (Normal),S3 (RRS),S3 (IO),RDS (Instances),RDS (Storage)
Oct-12,145.258972348,1335.09997559,566.805500031,754.315979004,199.962005615,68.8873095512,1329.66003418,269.167800903
Nov-12,350.523208731,2124.19995117,953.635986328,1049.88000488,288.290008545,190.575702667,1576.80004883,489.679992676
Dec-12,596.517627061,3069.30004883,1706.56497192,1100.90002441,383.283996582,341.134508133,1749.81004333,678.079986572
Jan-13,823.263881492,3360.29998779,1979.31503296,1590.39001465,530.143981934,341.293506622,3763.89226246,1172.71603155
Feb-13,559.322148901,6199.1998167,1708.2116462,2008.39001465,619.414978027,540.560787201,2845.56500208,1617.23498535
Mar-13,1731.62908197,5192.21391296,2239.72780582,3778.52001953,1190.75,866.115783691,3235.96298218,1980.73901367
Apr-13,526.095749385,636.734995723,1201.04866651,4566.93994141,1227.17004395,219.974794388,2736.12998962,2053.64599609
May-13,545.575983208,1297.94880509,1190.47446269,5194.79003906,1281.36999512,222.969102859,2801.9039917,1897.9050293
Jun-13,571.28597163,1240.14199829,1196.3238759,5972.20019531,1474.76000977,277.355596542,2455.20001221,1983.69598389
Jul-13,848.359552506,3916.75900269,1253.09281741,7351.41015625,1756.47998047,433.159885406,2690.86009276,2697.8243504
Aug-13,1139.85853186,3612.0400238,1524.21169025,9354.01953125,2234.62988281,631.67760849,2790.04498744,3620.08007812
Sep-13,1258.05248578,1674.42098999,1342.3909882,11463.5996094,2760.14990234,536.33821106,3218.14006424,4189.29003906
Oct-13,926.536555103,2480.0450592,1316.05956411,13023.7998047,3142.30004883,494.601715088,3378.35284972,4803.9192543
Nov-13,190.828591124,141.287998199,177.905510768,2049.82006836,457.261993408,71.9022798538,473.549995422,682.523664474
