Date,Normal,RRS
Oct-12,6.62846134766,2.28708785899
Nov-12,9.19000226588,3.27205367097
Dec-12,13.2569845526,5.66147956672
Jan-13,19.2319567268,7.90224979368
Feb-13,24.3344065131,9.26439664119
Mar-13,45.9422933452,17.9820992093
Apr-13,56.3769536331,18.5377682008
May-13,65.1624265143,19.3648133981
Jun-13,76.0213819653,22.3157187863
Jul-13,95.257348427,26.6144139003
Aug-13,123.188863649,33.9103971271
Sep-13,152.61566003,41.9292024533
Oct-13,174.377918534,47.7602934218
Nov-13,24.8357196186,6.78983143656
