Day,Count
2012-09-01,78954
2012-09-02,95352
2012-09-03,87619
2012-09-04,89721
2012-09-05,90938
2012-09-06,90159
2012-09-07,87006
2012-09-08,121516
2012-09-09,129249
2012-09-10,124842
2012-09-11,126179
2012-09-12,132274
2012-09-13,132376
2012-09-14,121950
2012-09-15,122263
2012-09-16,123729
2012-09-17,127966
2012-09-18,129292
2012-09-19,137723
2012-09-20,140487
2012-09-21,131147
2012-09-22,146163
2012-09-23,146615
2012-09-24,147237
2012-09-25,155386
2012-09-26,155653
2012-09-27,156888
2012-09-28,209255
2012-09-29,209893
2012-09-30,209788
2012-10-01,211967
2012-10-02,211070
2012-10-03,212688
2012-10-04,212378
2012-10-05,212397
2012-10-06,201776
2012-10-07,201399
2012-10-08,205754
2012-10-09,205370
2012-10-10,154102
2012-10-11,154725
2012-10-12,135247
2012-10-13,135801
2012-10-14,136043
2012-10-15,136269
2012-10-16,178944
2012-10-17,180695
2012-10-18,192868
2012-10-19,207526
2012-10-20,210274
2012-10-21,210274
2012-10-22,210313
2012-10-23,210622
2012-10-24,458778
2012-10-25,464673
2012-10-26,550610
2012-10-27,581576
2012-10-28,599745
2012-10-29,586539
2012-10-30,613651
2012-10-31,992545
2012-11-01,2204230
2012-11-02,2289092
2012-11-03,2513133
2012-11-04,2619855
2012-11-05,2795355
2012-11-06,3043224
2012-11-07,3430887
2012-11-08,3594989
2012-11-09,3719922
2012-11-10,3806308
2012-11-11,3975599
2012-11-12,4069287
2012-11-14,4136044
2012-11-15,4147008
2012-11-16,4261191
2012-11-17,4409230
2012-11-18,4504566
2012-11-19,4497201
2012-11-20,4513528
2012-11-21,4575546
2012-11-22,4642222
2012-11-23,4686557
2012-11-24,4530893
2012-11-25,4574614
2012-11-26,4526995
2012-11-27,4677626
2012-11-28,4723479
2012-11-29,4744249
2012-11-30,4769167
2012-12-01,4258558
2012-12-02,3554292
2012-12-03,3115880
2012-12-04,3010848
2012-12-05,2944510
2012-12-06,2845903
2012-12-07,2531320
2012-12-08,2132595
2012-12-09,2110910
2012-12-10,2088760
2012-12-11,2025569
2012-12-12,1882783
2012-12-13,1846302
2012-12-14,1856907
2012-12-15,1863151
2012-12-16,1873067
2012-12-17,1776774
2012-12-18,1643085
2012-12-19,1569959
2012-12-20,1577101
2012-12-21,1570845
2012-12-22,1561415
2012-12-23,1562755
2012-12-24,1567681
2012-12-25,1510659
2012-12-26,1530154
2012-12-27,1524599
2012-12-28,1366271
2012-12-29,1394385
2012-12-30,1375468
2012-12-31,1396751
2013-01-01,1411253
2013-01-02,1423103
2013-01-03,1305956
2013-01-04,1357713
2013-01-05,1398343
2013-01-06,1341479
2013-01-09,1339318
2013-01-11,1339375
2013-01-12,1341999
2013-01-13,1303025
2013-01-14,1299143
2013-01-15,1282342
2013-01-16,1285586
