Day,Size
2012-09-01,1.7285
2012-09-02,2.0371
2012-09-03,2.2725
2012-09-04,2.4482
2012-09-05,2.6992
2012-09-06,3.124
2012-09-07,3.5498
2012-09-08,3.7148
2012-09-09,3.8086
2012-09-10,3.9619
2012-09-11,4.127
2012-09-12,4.21
2012-09-13,4.2598
2012-09-14,4.3252
2012-09-15,4.3408
2012-09-16,4.4941
2012-09-17,4.6309
2012-09-18,4.7998
2012-09-19,4.9238
2012-09-20,4.959
2012-09-21,4.9736
2012-09-22,5.0107
2012-09-23,5.0488
2012-09-24,5.0576
2012-09-25,5.083
2012-09-26,5.2012
2012-09-27,5.2207
2012-09-28,5.2432
2012-09-29,5.2734
2012-09-30,5.2852
2012-10-01,5.2783
2012-10-02,5.3145
2012-10-03,5.375
2012-10-04,5.4531
2012-10-05,5.5254
2012-10-06,5.5713
2012-10-07,5.6309
2012-10-08,5.6982
2012-10-09,5.7441
2012-10-10,5.8008
2012-10-11,5.8828
2012-10-12,6.5244
2012-10-13,6.5469
2012-10-14,6.5859
2012-10-15,6.6396
2012-10-16,6.6357
2012-10-17,6.7236
2012-10-18,6.7725
2012-10-19,6.8311
2012-10-20,6.8242
2012-10-21,6.8271
2012-10-22,6.8271
2012-10-23,6.8311
2012-10-24,6.8428
2012-10-25,6.8955
2012-10-26,6.8828
2012-10-27,6.9199
2012-10-28,6.9531
2012-10-29,7.0459
2012-10-30,7.1016
2012-10-31,6.9443
2012-11-01,6.4141
2012-11-02,6.3623
2012-11-03,6.2744
2012-11-04,6.3027
2012-11-05,6.2637
2012-11-06,6.1934
2012-11-07,7.1963
2012-11-08,7.1465
2012-11-09,7.1895
2012-11-10,7.2119
2012-11-11,7.1953
2012-11-12,7.1934
2012-11-14,7.2324
2012-11-15,7.3203
2012-11-16,7.293
2012-11-17,7.4209
2012-11-18,7.6172
2012-11-19,7.8076
2012-11-20,7.9453
2012-11-21,7.9961
2012-11-22,8.0693
2012-11-23,8.1982
2012-11-24,8.2969
2012-11-25,8.4443
2012-11-26,8.4795
2012-11-27,8.6494
2012-11-28,8.9424
2012-11-29,9.249
2012-11-30,9.6455
2012-12-01,10.0146
2012-12-02,10.5781
2012-12-03,10.9385
2012-12-04,11.124
2012-12-05,11.5264
2012-12-06,11.7344
2012-12-07,11.9824
2012-12-08,12.1455
2012-12-09,12.29
2012-12-10,12.4717
2012-12-11,12.6943
2012-12-12,12.8174
2012-12-13,13.0264
2012-12-14,13.1357
2012-12-15,13.3145
2012-12-16,13.5088
2012-12-17,13.6641
2012-12-18,13.9932
2012-12-19,14.1406
2012-12-20,14.6787
2012-12-21,15.1895
2012-12-22,15.3809
2012-12-23,15.6406
2012-12-24,15.9736
2012-12-25,16.0928
2012-12-26,16.2412
2012-12-27,16.4473
2012-12-28,16.6953
2012-12-29,16.9609
2012-12-30,17.1602
2012-12-31,17.3242
2013-01-01,17.4688
2013-01-02,17.5762
2013-01-03,17.7393
2013-01-04,18.0029
2013-01-05,12.8594
2013-01-06,12.9775
2013-01-09,13.2314
2013-01-11,18.6973
2013-01-12,18.7305
2013-01-13,19.2178
2013-01-14,19.6182
2013-01-15,19.8887
2013-01-16,20.1377
2013-01-17,20.3467
2013-01-18,20.4785
2013-01-19,20.6094
2013-01-20,20.7695
2013-01-21,20.8926
2013-01-22,20.9805
2013-01-23,21.0967
2013-01-24,21.1494
2013-01-25,21.2549
2013-01-26,21.3604
2013-01-27,21.4346
2013-01-28,21.5322
2013-01-29,21.5557
2013-01-30,21.6846
2013-01-31,21.7705
2013-02-01,21.873
2013-02-02,21.9707
2013-02-03,22.0674
2013-02-04,22.1396
2013-02-05,22.2275
2013-02-06,22.3037
2013-02-07,22.3828
2013-02-08,22.4141
2013-02-09,22.458
2013-02-10,22.502
2013-02-11,22.5654
2013-02-12,22.624
2013-02-13,22.6523
2013-02-14,22.6963
2013-02-15,22.7432
2013-02-16,22.7656
2013-02-17,22.8252
2013-02-18,22.8184
2013-02-19,23.2725
2013-02-20,23.9229
2013-02-21,24.2871
2013-02-22,24.5713
2013-02-23,25.5938
2013-02-24,27.8066
2013-02-25,29.4766
2013-02-26,30.8096
2013-02-27,32.0918
2013-02-28,33.2295
2013-03-01,34.3564
2013-03-02,35.2275
2013-03-03,36.1084
2013-03-04,37.0664
2013-03-05,37.7988
2013-03-06,38.5947
2013-03-07,39.0615
2013-03-08,36.3252
2013-03-09,36.4785
2013-03-10,36.6621
2013-03-11,37.2656
2013-03-12,37.6904
2013-03-13,37.9355
2013-03-14,38.168
2013-03-15,38.4111
2013-03-16,38.7852
2013-03-17,39.3584
2013-03-18,39.7959
2013-03-19,40.0615
2013-03-20,40.293
2013-03-21,40.4326
2013-03-22,40.6904
2013-03-23,40.958
2013-03-24,40.8115
2013-03-25,40.9688
2013-03-26,41.1924
2013-03-27,41.6592
2013-03-28,42.4668
2013-03-29,43.1377
2013-03-30,43.3193
2013-03-31,43.6592
2013-04-01,44.0313
2013-04-02,44.2559
2013-04-03,44.5029
2013-04-04,44.6523
2013-04-05,45.0889
2013-04-06,45.4443
2013-04-07,45.4453
2013-04-08,45.7764
2013-04-09,46.0605
2013-04-10,46.3721
2013-04-11,46.7539
2013-04-12,46.8818
2013-04-13,47.1279
2013-04-14,47.4844
2013-04-15,47.8779
2013-04-16,48.0811
2013-04-17,48.5117
2013-04-18,48.6768
2013-04-19,49.0107
2013-04-20,49.2354
2013-04-21,49.71
2013-04-22,49.875
2013-04-23,50.1201
2013-04-24,50.4268
2013-04-25,50.6719
2013-04-26,61.2998
2013-04-27,61.4043
2013-04-28,61.5234
2013-04-29,62.0615
2013-04-30,62.1914
2013-05-01,62.3701
2013-05-02,62.7021
2013-05-03,63.0605
2013-05-04,63.4072
2013-05-05,63.502
2013-05-06,63.7432
2013-05-07,64.0244
2013-05-08,64.1963
2013-05-09,64.6641
2013-05-10,65.166
2013-05-11,65.7295
2013-05-12,66.042
2013-05-13,66.4014
2013-05-14,66.8145
2013-05-15,67.2461
2013-05-16,67.4717
2013-05-17,67.8008
2013-05-18,67.9766
2013-05-19,68.3076
2013-05-20,68.7119
2013-05-21,69.0254
2013-05-22,70.1133
2013-05-23,70.377
2013-05-24,71.1162
2013-05-25,71.3682
2013-05-26,71.6943
2013-05-27,72.1367
2013-05-28,72.6055
2013-05-29,72.8652
2013-05-30,73.3643
2013-05-31,73.54
2013-06-01,73.8242
2013-06-02,74.3301
2013-06-03,74.9365
2013-06-04,75.2764
2013-06-05,75.8604
2013-06-06,76.292
2013-06-07,76.4912
2013-06-08,76.8926
2013-06-09,77.3477
2013-06-10,77.4854
2013-06-11,77.7568
2013-06-12,78.1953
2013-06-13,78.6328
2013-06-14,78.7578
2013-06-15,79.0
2013-06-16,79.2256
2013-06-17,79.5439
2013-06-18,80.1992
2013-06-19,80.1748
2013-06-20,80.5986
2013-06-21,81.1191
2013-06-22,81.2568
2013-06-23,81.6328
2013-06-24,82.0801
2013-06-25,82.251
2013-06-26,82.5439
2013-06-27,82.7959
2013-06-28,83.3232
2013-06-29,84.6533
2013-06-30,85.8477
2013-07-01,87.0674
2013-07-02,88.3809
2013-07-03,89.1074
2013-07-04,89.7412
2013-07-05,90.8428
2013-07-06,91.501
2013-07-07,92.1572
2013-07-08,92.7998
2013-07-09,93.6172
2013-07-10,94.5205
2013-07-11,95.0703
2013-07-12,95.332
2013-07-13,96.2754
2013-07-14,96.4033
2013-07-15,96.6934
2013-07-16,97.2354
2013-07-17,97.7461
2013-07-18,98.1865
2013-07-19,98.5332
2013-07-20,99.1436
2013-07-21,99.5449
2013-07-22,100.4316
2013-07-23,100.5615
2013-07-24,101.0137
2013-07-25,101.793
2013-07-26,102.3633
2013-07-27,102.7412
2013-07-28,104.1543
2013-07-29,104.8311
2013-07-30,106.6992
2013-07-31,108.0898
2013-08-01,109.2988
2013-08-02,110.4707
2013-08-03,110.4297
2013-08-04,111.2881
2013-08-05,112.0898
2013-08-06,112.7324
2013-08-07,113.4209
2013-08-08,114.4258
2013-08-09,115.0469
2013-08-10,115.6104
2013-08-11,117.1172
2013-08-12,119.3232
2013-08-13,121.2393
2013-08-14,122.6113
2013-08-15,124.0791
2013-08-16,125.2773
2013-08-17,126.3789
2013-08-18,127.2842
2013-08-19,128.4053
2013-08-20,129.1445
2013-08-21,129.9941
2013-08-22,131.3525
2013-08-23,131.6631
2013-08-24,132.835
2013-08-25,134.0293
2013-08-26,134.9072
2013-08-27,136.3936
2013-08-28,137.1738
2013-08-29,138.5176
2013-08-30,139.2002
2013-08-31,140.8242
2013-09-01,141.9854
2013-09-02,142.915
2013-09-03,144.1006
2013-09-04,145.5381
2013-09-05,146.8096
2013-09-06,147.8506
2013-09-07,148.7275
2013-09-08,149.4941
2013-09-09,150.4424
2013-09-10,151.4629
2013-09-11,152.3916
2013-09-12,153.0381
2013-09-13,153.8545
2013-09-14,154.293
2013-09-15,155.2813
2013-09-16,156.4668
2013-09-17,156.7246
2013-09-18,157.7764
2013-09-19,158.5508
2013-09-20,159.3457
2013-09-21,160.2578
2013-09-22,159.8613
2013-09-23,161.2236
2013-09-24,162.2324
2013-09-25,163.1768
2013-09-26,164.3486
2013-09-27,165.335
2013-09-28,165.4395
2013-09-29,166.708
2013-09-30,167.3779
2013-10-01,167.9941
2013-10-02,169.1836
2013-10-03,169.6211
2013-10-04,170.5654
2013-10-05,171.084
2013-10-06,172.25
2013-10-07,173.0215
2013-10-08,174.6709
2013-10-09,174.7939
2013-10-10,175.6553
2013-10-11,176.9756
2013-10-12,177.623
2013-10-13,178.7012
2013-10-14,179.668
2013-10-15,179.8447
2013-10-16,180.8184
2013-10-17,181.0762
2013-10-18,176.959
2013-10-19,171.998
2013-10-20,166.8271
2013-10-21,161.1553
2013-10-22,158.3535
2013-10-23,157.8125
2013-10-24,156.8643
2013-10-25,157.457
2013-10-26,158.4639
2013-10-27,158.7314
2013-10-28,159.6846
2013-10-29,160.8369
2013-10-30,161.3281
2013-10-31,161.8018
2013-11-01,162.4023
2013-11-02,163.4844
2013-11-03,164.1973
2013-11-04,164.8652
2013-11-05,166.1924
