Day,Accessible and Deduplicated,Accessible Duplicates,Inaccessible or Importing (and dupes pre-2013-04-26),Deferred
2012-09-01,3209097,0,541955.0,0
2012-09-02,3805083,0,662117.0,0
2012-09-03,4210142,0,812064.0,0
2012-09-04,4547062,0,908698.0,0
2012-09-05,5070449,0,999928.0,0
2012-09-06,5405090,0,1072180.0,0
2012-09-07,6057694,0,1225860.0,0
2012-09-08,6369699,0,1306893.0,0
2012-09-09,6631244,0,1346183.0,0
2012-09-10,6949501,0,1427318.0,0
2012-09-11,7308950,0,1522700.0,0
2012-09-12,7550417,0,1595474.0,0
2012-09-13,7729605,0,1652653.0,0
2012-09-14,7876297,0,1707041.0,0
2012-09-15,8055091,0,1736707.0,0
2012-09-16,8371292,0,1800229.0,0
2012-09-17,8574236,0,1859022.0,0
2012-09-18,8831045,0,1924256.0,0
2012-09-19,8979979,0,2096419.0,0
2012-09-20,9113148,0,2160484.0,0
2012-09-21,9207800,0,2200456.0,0
2012-09-22,9322432,0,2231460.0,0
2012-09-23,9484848,0,2290379.0,0
2012-09-24,9574313,0,2335762.0,0
2012-09-25,9688891,0,2368282.0,0
2012-09-26,9945453,0,2453928.0,0
2012-09-27,10027265,0,2487369.0,0
2012-09-28,10120507,0,2528027.0,0
2012-09-29,10269212,0,2576986.0,0
2012-09-30,10411541,0,2604398.0,0
2012-10-01,10513948,0,2640094.0,0
2012-10-02,10666110,0,2686839.0,0
2012-10-03,10830076,0,2743795.0,0
2012-10-04,10975708,0,2767305.0,0
2012-10-05,11090408,0,2811514.0,0
2012-10-06,11168947,0,2833422.0,0
2012-10-07,11278833,0,2859800.0,0
2012-10-08,11388640,0,2894955.0,0
2012-10-09,11427735,0,2966287.0,0
2012-10-10,11515961,0,3021416.0,0
2012-10-11,11624518,0,3133483.0,0
2012-10-12,11582753,0,3094307.0,0
2012-10-13,11630988,0,3131176.0,0
2012-10-14,11696443,0,3210445.0,0
2012-10-15,11744086,0,3313004.0,0
2012-10-16,11747336,0,3277184.0,0
2012-10-17,11882157,0,3333661.0,0
2012-10-18,11961134,0,3363066.0,0
2012-10-19,12035679,0,3420029.0,0
2012-10-20,12029595,0,3419913.0,0
2012-10-21,12029290,0,3419913.0,0
2012-10-22,12029251,0,3419913.0,0
2012-10-23,12029121,0,3419902.0,0
2012-10-24,11982094,0,3480784.0,0
2012-10-25,12028659,0,3520702.0,0
2012-10-26,11990806,0,3501360.0,0
2012-10-27,12052741,0,3527569.0,0
2012-10-28,12096224,0,3557274.0,0
2012-10-29,12212650,0,3603490.0,0
2012-10-30,12283674,0,3641177.0,0
2012-10-31,11957602,0,3597966.0,0
2012-11-01,10863494,0,3475603.0,0
2012-11-02,10778625,0,3465665.0,0
2012-11-03,10619112,0,3399088.0,0
2012-11-04,10579328,0,3468058.0,0
2012-11-05,10459452,0,3466714.0,0
2012-11-06,10289912,0,3464903.0,0
2012-11-07,9977706,0,3507451.0,0
2012-11-08,9878808,0,3512012.0,0
2012-11-09,9921572,0,3534074.0,0
2012-11-10,9938158,0,3554417.0,0
2012-11-11,9864688,0,3589424.0,0
2012-11-12,9843650,0,3600999.0,0
