Day,Count
2012-09-01,176
2012-09-02,208
2012-09-03,280
2012-09-04,322
2012-09-05,361
2012-09-06,390
2012-09-07,428
2012-09-08,457
2012-09-09,491
2012-09-10,525
2012-09-11,545
2012-09-12,558
2012-09-13,566
2012-09-14,582
2012-09-15,618
2012-09-16,642
2012-09-17,661
2012-09-18,692
2012-09-19,703
2012-09-20,721
2012-09-21,733
2012-09-22,754
2012-09-23,769
2012-09-24,784
2012-09-25,802
2012-09-26,821
2012-09-27,829
2012-09-28,852
2012-09-29,866
2012-09-30,890
2012-10-01,899
2012-10-02,939
2012-10-03,940
2012-10-04,950
2012-10-05,953
2012-10-06,959
2012-10-07,965
2012-10-08,979
2012-10-09,994
2012-10-10,1006
2012-10-11,1019
2012-10-12,954
2012-10-13,969
2012-10-14,989
2012-10-15,1006
2012-10-16,1015
2012-10-17,1025
2012-10-18,1050
2012-10-19,1068
2012-10-20,1068
2012-10-21,1068
2012-10-22,1068
2012-10-23,1068
2012-10-24,1146
2012-10-25,1150
2012-10-26,1168
2012-10-27,1199
2012-10-28,1232
2012-10-29,1267
2012-10-30,1263
2012-10-31,1282
2012-11-01,1336
2012-11-02,1336
2012-11-03,1346
2012-11-04,1358
2012-11-05,1364
2012-11-06,1371
2012-11-07,1382
2012-11-08,1390
2012-11-09,1398
2012-11-10,1410
2012-11-11,1419
2012-11-12,1442
2012-11-14,1481
2012-11-15,1491
2012-11-16,1499
2012-11-17,1533
2012-11-18,1552
2012-11-19,1576
2012-11-20,1591
2012-11-21,1607
2012-11-22,1622
2012-11-23,1639
2012-11-24,1653
2012-11-25,1677
2012-11-26,1682
2012-11-27,1718
2012-11-28,1744
2012-11-29,1771
2012-11-30,1977
2012-12-01,2014
2012-12-02,2059
2012-12-03,2105
2012-12-04,2139
2012-12-05,2159
2012-12-06,2212
2012-12-07,2231
2012-12-08,2268
2012-12-09,2287
2012-12-10,2317
2012-12-11,2331
2012-12-12,2366
2012-12-13,2390
2012-12-14,2407
2012-12-15,2424
2012-12-16,2452
2012-12-17,2475
2012-12-18,2522
2012-12-19,2535
2012-12-20,2599
2012-12-21,2661
2012-12-22,2694
2012-12-23,2724
2012-12-24,2757
2012-12-25,2789
2012-12-26,2826
2012-12-27,2862
2012-12-28,2895
2012-12-29,2922
2012-12-30,2973
2012-12-31,2999
2013-01-01,3016
2013-01-02,3051
2013-01-03,3072
2013-01-04,3067
2013-01-05,3084
2013-01-06,3118
2013-01-09,3240
2013-01-11,3361
2013-01-12,3362
2013-01-13,3394
2013-01-14,3424
2013-01-15,3446
2013-01-16,3482
2013-01-17,3527
2013-01-18,3554
2013-01-19,3568
2013-01-20,3590
2013-01-21,3600
2013-01-22,3630
2013-01-23,3755
2013-01-24,4064
2013-01-25,4140
2013-01-26,3682
2013-01-27,3700
2013-01-28,3711
2013-01-29,3727
2013-01-30,3745
2013-01-31,3760
2013-02-01,3790
2013-02-02,3807
2013-02-03,3819
2013-02-04,3846
2013-02-05,3870
2013-02-06,3878
2013-02-07,3901
2013-02-08,3917
2013-02-09,3932
2013-02-10,3951
2013-02-11,3977
2013-02-12,3994
2013-02-13,4016
2013-02-14,4023
2013-02-15,4030
2013-02-16,4052
2013-02-17,4066
2013-02-18,4073
2013-02-19,4093
2013-02-20,4129
2013-02-21,4167
2013-02-22,4195
2013-02-23,4249
2013-02-24,4400
2013-02-25,4513
2013-02-26,4603
2013-02-27,4673
2013-02-28,4738
2013-03-01,4816
2013-03-02,4880
2013-03-03,4950
2013-03-04,5001
2013-03-05,5063
2013-03-06,5162
2013-03-07,5274
2013-03-08,5363
2013-03-09,5419
2013-03-10,5497
2013-03-11,5593
2013-03-12,5695
2013-03-13,5809
2013-03-14,5882
2013-03-15,5926
2013-03-16,5987
2013-03-17,6039
2013-03-18,6102
2013-03-19,6172
2013-03-20,6230
2013-03-21,6283
2013-03-22,6340
2013-03-23,6370
2013-03-24,6423
2013-03-25,6489
2013-03-26,6553
2013-03-27,6595
2013-03-28,6653
2013-03-29,6699
2013-03-30,6737
2013-03-31,6779
2013-04-01,6858
2013-04-02,6952
2013-04-03,6998
2013-04-04,7074
2013-04-05,7125
2013-04-06,7341
2013-04-07,7426
2013-04-08,7530
2013-04-09,7431
2013-04-10,7502
2013-04-11,7576
2013-04-12,7644
2013-04-13,7708
2013-04-14,7757
2013-04-15,7772
2013-04-16,7814
2013-04-17,7834
2013-04-18,7888
2013-04-19,7903
2013-04-20,7952
2013-04-21,8003
2013-04-22,8039
2013-04-23,8124
2013-04-24,8152
2013-04-25,8199
2013-04-26,8231
2013-04-27,8253
2013-04-28,8296
2013-04-29,8350
2013-04-30,8416
2013-05-01,8464
2013-05-02,8506
2013-05-03,8534
2013-05-04,8595
2013-05-05,8627
2013-05-06,8653
