Day,Count
2012-09-01,14
2012-09-02,18
2012-09-03,21
2012-09-04,21
2012-09-05,22
2012-09-06,23
2012-09-07,23
2012-09-08,24
2012-09-09,24
2012-09-10,26
2012-09-11,25
2012-09-12,24
2012-09-13,26
2012-09-14,26
2012-09-15,31
2012-09-16,32
2012-09-17,33
2012-09-18,33
2012-09-19,33
2012-09-20,33
2012-09-21,33
2012-09-22,34
2012-09-23,35
2012-09-24,35
2012-09-25,35
2012-09-26,35
2012-09-27,37
2012-09-28,39
2012-09-29,40
2012-09-30,40
2012-10-01,43
2012-10-02,47
2012-10-03,47
2012-10-04,48
2012-10-05,48
2012-10-06,48
2012-10-07,48
2012-10-08,48
2012-10-09,47
2012-10-10,45
2012-10-11,46
2012-10-12,44
2012-10-13,44
2012-10-14,44
2012-10-15,44
2012-10-16,44
2012-10-17,44
2012-10-18,45
2012-10-19,45
2012-10-20,46
2012-10-21,46
2012-10-22,46
2012-10-23,46
2012-10-24,47
2012-10-25,47
2012-10-26,48
2012-10-27,50
2012-10-28,53
2012-10-29,55
2012-10-30,55
2012-10-31,59
2012-11-01,60
2012-11-02,60
2012-11-03,60
2012-11-04,60
2012-11-05,60
2012-11-06,60
2012-11-07,61
2012-11-08,61
2012-11-09,62
2012-11-10,63
2012-11-11,63
2012-11-12,64
2012-11-14,66
2012-11-15,66
2012-11-16,66
2012-11-17,66
2012-11-18,66
2012-11-19,66
2012-11-20,69
2012-11-21,71
2012-11-22,73
2012-11-23,73
2012-11-24,74
2012-11-25,76
2012-11-26,76
2012-11-27,77
2012-11-28,81
2012-11-29,81
2012-11-30,82
2012-12-01,82
2012-12-02,83
2012-12-03,85
2012-12-04,86
2012-12-05,88
2012-12-06,88
2012-12-07,89
2012-12-08,90
2012-12-09,93
2012-12-10,94
2012-12-11,94
2012-12-12,94
2012-12-13,95
2012-12-14,96
2012-12-15,97
2012-12-16,99
2012-12-17,100
2012-12-18,115
2012-12-19,127
2012-12-20,127
2012-12-21,129
2012-12-22,130
2012-12-23,130
2012-12-24,135
2012-12-25,138
2012-12-26,142
2012-12-27,143
2012-12-28,143
2012-12-29,149
2012-12-30,149
2012-12-31,151
2013-01-01,151
2013-01-02,151
2013-01-03,151
2013-01-04,151
2013-01-05,151
2013-01-06,153
2013-01-09,156
2013-01-11,158
2013-01-12,158
2013-01-13,159
2013-01-14,162
2013-01-15,162
2013-01-16,162
2013-01-17,162
2013-01-18,163
2013-01-19,164
2013-01-20,166
2013-01-21,166
2013-01-22,163
2013-01-23,166
2013-01-24,185
2013-01-25,217
2013-01-26,167
2013-01-27,168
2013-01-28,168
2013-01-29,168
2013-01-30,168
2013-01-31,168
2013-02-01,172
2013-02-02,172
2013-02-03,172
2013-02-04,173
2013-02-05,174
2013-02-06,174
2013-02-07,175
2013-02-08,175
2013-02-09,178
2013-02-10,179
2013-02-11,179
2013-02-12,179
2013-02-13,179
2013-02-14,180
2013-02-15,180
2013-02-16,180
2013-02-17,181
2013-02-18,181
2013-02-19,182
2013-02-20,183
2013-02-21,185
2013-02-22,185
2013-02-23,195
2013-02-24,203
2013-02-25,213
2013-02-26,214
2013-02-27,221
2013-02-28,224
2013-03-01,228
2013-03-02,234
2013-03-03,239
2013-03-04,246
2013-03-05,292
2013-03-06,302
2013-03-07,311
2013-03-08,316
2013-03-09,319
2013-03-10,322
2013-03-11,323
2013-03-12,327
2013-03-13,327
2013-03-14,330
2013-03-15,332
2013-03-16,333
2013-03-17,336
2013-03-18,345
2013-03-19,350
2013-03-20,355
2013-03-21,359
2013-03-22,363
2013-03-23,367
2013-03-24,367
2013-03-25,368
2013-03-26,372
2013-03-27,373
2013-03-28,377
2013-03-29,380
2013-03-30,382
2013-03-31,384
2013-04-01,386
2013-04-02,387
2013-04-03,388
2013-04-04,402
2013-04-05,405
2013-04-06,414
2013-04-07,418
2013-04-08,424
2013-04-09,428
2013-04-10,430
2013-04-11,431
2013-04-12,433
2013-04-13,433
2013-04-14,435
2013-04-15,436
2013-04-16,440
2013-04-17,443
2013-04-18,443
2013-04-19,443
2013-04-20,448
2013-04-21,459
2013-04-22,461
2013-04-23,466
2013-04-24,469
2013-04-25,474
2013-04-26,474
2013-04-27,475
2013-04-28,478
2013-04-29,478
2013-04-30,479
2013-05-01,479
2013-05-02,481
2013-05-03,481
2013-05-04,483
2013-05-05,483
2013-05-06,492
2013-05-07,495
2013-05-08,496
2013-05-09,498
2013-05-10,499
2013-05-11,499
2013-05-12,500
2013-05-13,503
2013-05-14,503
2013-05-15,504
2013-05-16,508
2013-05-17,510
2013-05-18,514
2013-05-19,518
2013-05-20,520
2013-05-21,527
2013-05-22,531
2013-05-23,535
2013-05-24,538
2013-05-25,547
2013-05-26,558
2013-05-27,565
2013-05-28,567
2013-05-29,570
2013-05-30,575
2013-05-31,582
2013-06-01,584
2013-06-02,585
2013-06-03,586
2013-06-04,585
2013-06-05,587
2013-06-06,588
2013-06-07,592
2013-06-08,601
2013-06-09,604
2013-06-10,606
2013-06-11,606
2013-06-12,606
2013-06-13,606
2013-06-14,606
2013-06-15,606
2013-06-16,606
2013-06-17,606
2013-06-18,606
2013-06-19,606
2013-06-20,606
2013-06-21,607
2013-06-22,609
2013-06-23,611
2013-06-24,613
2013-06-25,613
2013-06-26,613
2013-06-27,617
2013-06-28,623
2013-06-29,635
2013-06-30,643
2013-07-01,647
2013-07-02,652
2013-07-03,665
2013-07-04,673
2013-07-05,679
2013-07-06,679
2013-07-07,680
2013-07-08,689
2013-07-09,701
2013-07-10,704
2013-07-11,707
2013-07-12,708
2013-07-13,713
2013-07-14,717
2013-07-15,722
2013-07-16,726
2013-07-17,729
2013-07-18,738
2013-07-19,744
2013-07-20,747
2013-07-21,750
2013-07-22,754
2013-07-23,760
2013-07-24,762
2013-07-25,763
2013-07-26,769
2013-07-27,773
2013-07-28,778
2013-07-29,789
2013-07-30,792
2013-07-31,801
2013-08-01,806
2013-08-02,809
2013-08-03,819
2013-08-04,822
2013-08-05,832
2013-08-06,840
2013-08-07,849
2013-08-08,854
2013-08-09,855
2013-08-10,860
2013-08-11,863
2013-08-12,871
2013-08-13,882
2013-08-14,888
2013-08-15,891
2013-08-16,899
2013-08-17,911
2013-08-18,919
2013-08-19,920
2013-08-20,925
2013-08-21,928
2013-08-22,937
2013-08-23,947
2013-08-24,951
2013-08-25,953
2013-08-26,963
2013-08-27,971
2013-08-28,977
2013-08-29,988
2013-08-30,1002
2013-08-31,1008
2013-09-01,1013
2013-09-02,1022
2013-09-03,1030
2013-09-04,1033
2013-09-05,1042
2013-09-06,1050
2013-09-07,1057
2013-09-08,1060
2013-09-09,1065
2013-09-10,1071
2013-09-11,1084
2013-09-12,1091
2013-09-13,1094
2013-09-14,1100
2013-09-15,1105
2013-09-16,1109
2013-09-17,1116
2013-09-18,1121
2013-09-19,1125
2013-09-20,1127
2013-09-21,1130
2013-09-22,1133
2013-09-23,1137
2013-09-24,1142
2013-09-25,1146
2013-09-26,1150
2013-09-27,1155
2013-09-28,1160
2013-09-29,1169
2013-09-30,1179
2013-10-01,1190
2013-10-02,1194
2013-10-03,1204
2013-10-04,1205
2013-10-05,1211
2013-10-06,1228
2013-10-07,1234
2013-10-08,1240
