Day,Count
2012-09-01,19273
2012-09-02,19740
2012-09-03,19927
2012-09-04,22621
2012-09-05,23360
2012-09-06,24375
2012-09-07,24825
2012-09-08,27790
2012-09-09,28395
2012-09-10,28677
2012-09-11,31538
2012-09-12,32243
2012-09-13,33540
2012-09-14,35796
2012-09-15,36243
2012-09-16,36846
2012-09-17,37614
2012-09-18,38134
2012-09-19,38728
2012-09-20,38868
2012-09-21,39480
2012-09-22,39604
2012-09-23,39895
2012-09-24,40172
2012-09-25,40532
2012-09-26,40505
2012-09-27,41347
2012-09-28,41383
2012-09-29,41400
2012-09-30,41749
2012-10-01,44021
2012-10-02,44452
2012-10-03,44581
2012-10-04,44635
2012-10-05,45057
2012-10-06,45459
2012-10-07,48097
2012-10-08,48480
2012-10-09,48668
2012-10-10,48719
2012-10-11,48858
2012-10-12,45999
2012-10-13,46080
2012-10-14,48027
2012-10-15,49065
2012-10-16,49111
2012-10-17,49228
2012-10-18,49370
2012-10-19,49403
2012-10-20,49477
2012-10-21,49921
2012-10-22,50926
2012-10-23,53141
2012-10-24,54146
2012-10-25,54602
2012-10-26,54654
2012-10-27,54764
2012-10-28,55464
2012-10-29,56190
2012-10-30,56654
2012-10-31,56868
2012-11-01,58299
2012-11-02,58335
2012-11-03,59197
2012-11-04,59262
2012-11-05,59343
2012-11-06,59888
2012-11-07,60013
2012-11-08,60126
2012-11-09,60216
2012-11-10,60276
2012-11-11,60435
2012-11-12,62251
2012-11-14,62693
2012-11-15,63307
2012-11-16,63931
2012-11-17,67643
2012-11-18,68086
2012-11-19,69459
2012-11-20,69607
2012-11-21,71570
2012-11-22,71872
2012-11-23,72768
2012-11-24,78331
2012-11-25,78389
2012-11-26,79842
2012-11-27,80037
2012-11-28,83756
2012-11-29,83848
2012-11-30,84052
2012-12-01,84395
2012-12-02,84682
2012-12-03,86523
2012-12-04,94733
2012-12-05,95845
2012-12-06,104999
2012-12-07,105053
2012-12-08,106884
2012-12-09,107541
2012-12-10,107838
2012-12-11,108728
2012-12-12,108863
2012-12-13,112915
2012-12-14,114507
2012-12-15,117429
2012-12-16,124460
2012-12-17,139356
2012-12-18,140395
2012-12-19,144004
2012-12-20,145117
2012-12-21,146887
2012-12-22,147471
2012-12-23,147928
2012-12-24,151814
2012-12-25,154267
2012-12-26,160342
2012-12-27,161960
2012-12-28,163256
2012-12-29,167182
2012-12-30,167295
2012-12-31,170647
2013-01-01,171302
2013-01-02,175947
2013-01-03,176649
2013-01-04,180685
2013-01-05,247141
2013-01-06,248071
2013-01-09,251654
2013-01-11,255008
2013-01-12,255024
2013-01-13,257086
2013-01-14,259442
2013-01-15,260047
2013-01-16,260606
2013-01-17,260797
2013-01-18,261179
2013-01-19,262220
2013-01-20,267515
2013-01-21,268177
2013-01-22,269298
2013-01-23,338396
2013-01-24,351181
2013-01-25,297992
2013-01-26,271441
