Day,Count
2012-09-01,130
2012-09-02,145
2012-09-03,145
2012-09-04,157
2012-09-05,220
2012-09-06,1218
2012-09-07,1399
2012-09-08,1676
2012-09-09,1712
2012-09-10,1720
2012-09-11,1875
2012-09-12,1867
2012-09-13,2229
2012-09-14,2229
2012-09-15,2365
2012-09-16,2366
2012-09-17,2556
2012-09-18,2643
2012-09-19,2681
2012-09-20,2744
2012-09-21,2758
2012-09-22,2786
2012-09-23,2788
2012-09-24,2798
2012-09-25,2800
2012-09-26,2818
2012-09-27,2824
2012-09-28,2825
2012-09-29,2828
2012-09-30,2963
2012-10-01,2970
2012-10-02,2977
2012-10-03,2990
2012-10-04,2990
2012-10-05,2991
2012-10-06,2991
2012-10-07,2991
2012-10-08,2996
2012-10-09,3152
2012-10-10,3142
2012-10-11,3202
2012-10-12,3190
2012-10-13,3272
2012-10-14,3304
2012-10-15,3305
2012-10-16,3306
2012-10-17,3314
2012-10-18,3321
2012-10-19,3322
2012-10-20,3344
2012-10-21,3431
2012-10-22,3450
2012-10-23,3483
2012-10-24,3489
2012-10-25,3490
2012-10-26,3499
2012-10-27,3502
2012-10-28,3511
2012-10-29,3538
2012-10-30,3577
2012-10-31,3580
2012-11-01,3715
2012-11-02,3715
2012-11-03,3729
2012-11-04,3765
2012-11-05,3765
2012-11-06,3765
2012-11-07,3765
2012-11-08,3827
2012-11-09,3898
2012-11-10,3968
2012-11-11,3993
2012-11-12,4091
2012-11-14,4149
2012-11-15,4299
2012-11-16,4327
2012-11-17,4339
2012-11-18,4345
2012-11-19,4509
2012-11-20,4547
2012-11-21,4550
2012-11-22,4576
2012-11-23,4625
2012-11-24,4627
2012-11-25,4668
2012-11-26,4668
2012-11-27,4805
2012-11-28,4822
2012-11-29,4835
2012-11-30,4885
2012-12-01,4951
2012-12-02,4964
2012-12-03,5071
2012-12-04,5231
2012-12-05,5263
2012-12-06,5337
2012-12-07,5356
2012-12-08,5385
2012-12-09,5399
2012-12-10,5645
2012-12-11,5646
2012-12-12,5657
2012-12-13,5668
2012-12-14,5674
2012-12-15,5677
2012-12-16,5758
2012-12-17,5906
2012-12-18,6125
2012-12-19,6166
2012-12-20,6176
2012-12-21,6181
2012-12-22,6190
2012-12-23,6198
2012-12-24,6266
2012-12-25,6735
2012-12-26,6856
2012-12-27,6877
2012-12-28,6993
2012-12-29,7006
2012-12-30,7036
2012-12-31,7079
2013-01-01,7099
2013-01-02,7219
2013-01-03,7250
2013-01-04,7349
2013-01-05,7458
2013-01-06,7670
2013-01-09,7966
2013-01-11,8107
2013-01-12,8107
2013-01-13,8111
2013-01-14,8266
2013-01-15,8267
2013-01-16,8273
2013-01-17,8277
2013-01-18,8288
2013-01-19,8339
2013-01-20,8349
2013-01-21,8331
2013-01-22,8334
2013-01-23,8894
2013-01-24,9550
2013-01-25,9261
2013-01-26,8389
2013-01-27,8498
2013-01-28,8508
2013-01-29,8513
2013-01-30,8571
2013-01-31,8574
