Week,Ratio
2012-08-27,11.407
2012-09-03,10.5245
2012-09-10,10.042
2012-09-17,11.4974
2012-09-24,11.6784
2012-10-01,11.701
2012-10-08,12.3247
2012-10-15,11.9902
2012-10-22,12.0748
2012-10-29,12.9175
2012-11-05,13.2896
2012-11-12,13.4886
2012-11-19,14.3621
2012-11-26,15.6566
2012-12-03,14.1624
2012-12-10,16.68
2012-12-17,20.663
2012-12-24,20.695
2012-12-31,22.5222
2013-01-07,30.4715
2013-01-14,30.3786
2013-01-21,30.1673
2013-01-28,30.06
2013-02-04,31.1089
2013-02-11,31.1051
2013-02-18,32.5724
2013-02-25,26.4071
2013-03-04,24.748
2013-03-11,22.449
2013-03-18,22.4864
2013-03-25,24.7828
2013-04-01,26.8083
2013-04-08,26.9418
2013-04-15,26.5639
2013-04-22,26.4511
2013-04-29,26.7948
2013-05-06,27.5337
2013-05-13,28.1807
2013-05-20,28.3391
2013-05-27,28.5307
2013-06-03,28.6303
2013-06-10,28.9451
2013-06-17,29.2294
2013-06-24,29.4108
2013-07-01,26.5257
2013-07-08,26.5468
2013-07-15,27.0814
2013-07-22,27.3062
2013-07-29,26.2769
2013-08-05,25.8727
2013-08-12,24.2015
2013-08-19,24.0311
2013-08-26,24.3396
2013-09-02,24.1399
2013-09-09,24.4427
2013-09-16,24.6003
2013-09-23,24.9797
2013-09-30,25.2731
2013-10-07,25.1419
2013-10-14,25.3904
2013-10-21,25.627
2013-10-28,25.5218
2013-11-04,25.5712
