Day,Ratio
2013-01-01,0.0327
2013-01-02,0.048
2013-01-03,0.0384
2013-01-04,0.0386
2013-01-05,0.0301
2013-01-06,0.0464
2013-01-07,0.0357
2013-01-08,0.0287
2013-01-09,0.1495
2013-01-10,0.1272
2013-01-11,0.0573
2013-01-12,0.0422
2013-01-13,0.0512
2013-01-14,0.0401
2013-01-15,0.0469
2013-01-16,0.0463
2013-01-17,0.0196
2013-01-18,0.0355
2013-01-19,0.1041
2013-01-20,0.0793
2013-01-21,0.0399
2013-01-22,0.0307
2013-01-23,0.0255
2013-01-24,0.0319
2013-01-25,0.0248
2013-01-26,0.0229
2013-01-27,0.0384
2013-01-28,0.0242
2013-01-29,0.0245
2013-01-30,0.0242
2013-01-31,0.0237
2013-02-01,0.0383
2013-02-02,0.0581
2013-02-03,0.0274
2013-02-04,0.0207
2013-02-05,0.041
2013-02-06,0.0748
2013-02-07,0.0935
2013-02-08,0.0267
2013-02-09,0.0463
2013-02-10,0.0291
2013-02-11,0.0573
2013-02-12,0.0225
2013-02-13,0.0342
2013-02-14,0.0301
2013-02-15,0.0365
2013-02-16,0.0382
2013-02-17,0.0197
2013-02-18,0.0872
2013-02-19,0.1077
2013-02-20,0.0727
2013-02-21,0.0492
2013-02-22,0.1336
2013-02-23,0.1376
2013-02-24,0.1185
2013-02-25,0.1182
2013-02-26,0.0766
2013-02-27,0.0507
2013-02-28,0.0662
2013-03-01,0.0697
2013-03-02,0.0837
2013-03-03,0.0675
2013-03-04,0.0433
2013-03-05,0.0969
2013-03-06,0.1091
2013-03-07,0.072
2013-03-08,0.0966
2013-03-09,0.1025
2013-03-10,0.0934
2013-03-11,0.0881
2013-03-12,0.0697
2013-03-13,0.0539
2013-03-14,0.0489
2013-03-15,0.0538
2013-03-16,0.0606
2013-03-17,0.0616
2013-03-18,0.0586
2013-03-19,0.0616
2013-03-20,0.0637
2013-03-21,0.0565
2013-03-22,0.0784
2013-03-23,0.0773
2013-03-24,0.0414
2013-03-25,0.0371
2013-03-26,0.0492
2013-03-27,0.0763
2013-03-28,0.0835
2013-03-29,0.0293
2013-03-30,0.0731
2013-03-31,0.0625
2013-04-01,0.0824
2013-04-02,0.0899
2013-04-03,0.0327
2013-04-04,0.0764
2013-04-05,0.0509
2013-04-06,0.0373
2013-04-07,0.0509
2013-04-08,0.0551
2013-04-09,0.0563
2013-04-10,0.0698
2013-04-11,0.0936
2013-04-12,0.1266
2013-04-13,0.1217
2013-04-14,0.1012
2013-04-15,0.0698
2013-04-16,0.0734
2013-04-17,0.0808
2013-04-18,0.0589
2013-04-19,0.0484
2013-04-20,0.0604
2013-04-21,0.0965
2013-04-22,0.0368
2013-04-23,0.0632
2013-04-24,0.0613
2013-04-25,0.0699
2013-04-26,0.0348
2013-04-27,0.0494
2013-04-28,0.0565
2013-04-29,0.0511
2013-04-30,0.045
2013-05-01,0.0838
2013-05-02,0.0875
2013-05-03,0.0368
2013-05-04,0.0528
2013-05-05,0.0432
2013-05-06,0.0369
2013-05-07,0.0448
2013-05-08,0.1234
2013-05-09,0.0933
2013-05-10,0.0566
2013-05-11,0.1113
2013-05-12,0.1183
2013-05-13,0.1057
2013-05-14,0.1051
2013-05-15,0.0853
2013-05-16,0.081
2013-05-17,0.0627
2013-05-18,0.0701
2013-05-19,0.0958
2013-05-20,0.098
2013-05-21,0.0755
2013-05-22,0.0809
2013-05-23,0.0917
2013-05-24,0.0701
2013-05-25,0.0618
2013-05-26,0.0673
2013-05-27,0.0733
2013-05-28,0.0741
2013-05-29,0.0718
2013-05-30,0.076
2013-05-31,0.0756
2013-06-01,0.1262
2013-06-02,0.1015
2013-06-03,0.1069
2013-06-04,0.0648
2013-06-05,0.0883
2013-06-06,0.1198
2013-06-07,0.0938
2013-06-08,0.0703
2013-06-09,0.0781
2013-06-10,0.0516
2013-06-11,0.0496
2013-06-12,0.07
2013-06-13,0.0694
2013-06-14,0.0494
2013-06-15,0.0656
2013-06-16,0.0686
2013-06-17,0.0664
2013-06-18,0.0541
2013-06-19,0.06
2013-06-20,0.0397
2013-06-21,0.0393
2013-06-22,0.0765
2013-06-23,0.0864
2013-06-24,0.0692
2013-06-25,0.051
2013-06-26,0.0611
2013-06-27,0.2611
2013-06-28,0.1773
2013-06-29,0.1381
2013-06-30,0.1837
2013-07-01,0.1766
2013-07-02,0.1178
2013-07-03,0.0831
2013-07-04,0.0712
2013-07-05,0.0737
2013-07-06,0.0561
2013-07-07,0.0649
2013-07-08,0.0692
2013-07-09,0.0861
2013-07-10,0.0921
2013-07-11,0.0555
2013-07-12,0.0753
2013-07-13,0.0719
2013-07-14,0.0703
2013-07-15,0.053
2013-07-16,0.041
2013-07-17,0.0611
2013-07-18,0.0565
2013-07-19,0.055
2013-07-20,0.0474
2013-07-21,0.0663
2013-07-22,0.0565
2013-07-23,0.0814
2013-07-24,0.14
2013-07-25,0.1048
2013-07-26,0.1282
2013-07-27,0.134
2013-07-28,0.1356
2013-07-29,0.1277
2013-07-30,0.095
2013-07-31,0.0905
2013-08-01,0.0693
2013-08-02,0.0979
2013-08-03,0.0664
2013-08-04,0.0913
2013-08-05,0.0844
2013-08-06,0.1244
2013-08-07,0.0758
2013-08-08,0.1126
2013-08-09,0.2262
2013-08-10,0.1554
2013-08-11,0.1476
2013-08-12,0.1251
2013-08-13,0.1208
2013-08-14,0.1184
2013-08-15,0.0914
2013-08-16,0.0839
2013-08-17,0.0653
2013-08-18,0.0841
2013-08-19,0.0684
2013-08-20,0.0726
2013-08-21,0.0666
2013-08-22,0.0845
2013-08-23,0.1108
2013-08-24,0.0673
2013-08-25,0.0818
2013-08-26,0.0879
2013-08-27,0.0808
2013-08-28,0.0862
2013-08-29,0.1307
2013-08-30,0.1373
2013-08-31,0.1225
2013-09-01,0.1368
2013-09-02,0.0993
2013-09-03,0.086
2013-09-04,0.1141
2013-09-05,0.1022
2013-09-06,0.0818
2013-09-07,0.0764
2013-09-08,0.0863
2013-09-09,0.0742
2013-09-10,0.0707
2013-09-11,0.0596
2013-09-12,0.0938
2013-09-13,0.0787
2013-09-14,0.062
2013-09-15,0.073
2013-09-16,0.0864
2013-09-17,0.0797
2013-09-18,0.1163
2013-09-19,0.1008
2013-09-20,0.0633
2013-09-21,0.0872
2013-09-22,0.0773
2013-09-23,0.0715
2013-09-24,0.0916
2013-09-25,0.0733
2013-09-26,0.1053
2013-09-27,0.0751
2013-09-28,0.0551
2013-09-29,0.0765
2013-09-30,0.0869
2013-10-01,0.0896
2013-10-02,0.084
2013-10-03,0.078
2013-10-04,0.0778
2013-10-05,0.0806
2013-10-06,0.0803
2013-10-07,0.0899
2013-10-08,0.0916
2013-10-09,0.0874
