Week,Ratio
2012-12-31,0.0396
2013-01-07,0.0904
2013-01-14,0.0526
2013-01-21,0.0312
2013-01-28,0.0306
2013-02-04,0.0486
2013-02-11,0.0348
2013-02-18,0.1162
2013-02-25,0.082
2013-03-04,0.0915
2013-03-11,0.0643
2013-03-18,0.0604
2013-03-25,0.0584
2013-04-01,0.05
2013-04-08,0.0943
2013-04-15,0.0695
2013-04-22,0.0512
2013-04-29,0.0576
2013-05-06,0.0957
2013-05-13,0.0879
2013-05-20,0.0767
2013-05-27,0.0852
2013-06-03,0.0912
2013-06-10,0.0589
2013-06-17,0.0603
2013-06-24,0.1895
2013-07-01,0.0965
2013-07-08,0.074
2013-07-15,0.054
2013-07-22,0.1222
2013-07-29,0.0982
2013-08-05,0.1538
2013-08-12,0.1039
2013-08-19,0.08
2013-08-26,0.1148
2013-09-02,0.0939
2013-09-09,0.0735
2013-09-16,0.0875
2013-09-23,0.077
2013-09-30,0.083
2013-10-07,0.0757
2013-10-14,0.0727
2013-10-21,0.0892
2013-10-28,0.0691
2013-11-04,0.0627
