Week,Web,iOS,Android,Photo Mail,User
2012-08-27,119.0,0.0,0.0,0.0,0.0
2012-09-03,1034.0,0.0,0.0,0.0,0.0
2012-09-10,233.0,0.0,0.0,0.0,0.0
2012-09-17,159.0,0.0,0.0,0.0,0.0
2012-09-24,191.0,0.0,0.0,0.0,0.0
2012-10-01,192.0,0.0,0.0,0.0,0.0
2012-10-08,150.0,16.0,0.0,11.0,0.0
2012-10-15,103.0,31.0,0.0,22.0,0.0
2012-10-22,100.0,37.0,0.0,16.0,0.0
2012-10-29,115.0,36.0,0.0,26.0,0.0
2012-11-05,113.0,33.0,0.0,10.0,0.0
2012-11-12,150.0,52.0,0.0,25.0,0.0
2012-11-19,103.0,39.0,0.0,11.0,0.0
2012-11-26,935.0,210.0,0.0,12.0,0.0
2012-12-03,338.0,68.0,0.0,13.0,0.0
2012-12-10,203.0,50.0,0.0,12.0,0.0
2012-12-17,499.0,180.0,0.0,18.0,0.0
2012-12-24,182.0,61.0,0.0,30.0,0.0
2012-12-31,176.0,82.0,0.0,21.0,0.0
2013-01-07,640.0,109.0,0.0,25.0,0.0
2013-01-14,290.0,140.0,0.0,22.0,0.0
2013-01-21,144.0,90.0,0.0,25.0,0.0
2013-01-28,107.0,86.0,0.0,14.0,0.0
2013-02-04,176.0,75.0,0.0,20.0,0.0
2013-02-11,98.0,49.0,0.0,16.0,0.0
2013-02-18,2249.0,503.0,0.0,37.0,0.0
2013-02-25,1163.0,349.0,0.0,57.0,0.0
2013-03-04,1829.0,796.0,0.0,59.0,0.0
2013-03-11,718.0,310.0,0.0,47.0,0.0
2013-03-18,332.0,147.0,0.0,63.0,0.0
2013-03-25,289.0,169.0,0.0,37.0,0.0
2013-04-01,903.0,173.0,0.0,55.0,0.0
2013-04-08,712.0,246.0,0.0,32.0,0.0
2013-04-15,309.0,143.0,0.0,41.0,0.0
2013-04-22,190.0,88.0,0.0,29.0,52.0
2013-04-29,210.0,80.0,0.0,36.0,123.0
2013-05-06,712.0,180.0,0.0,43.0,316.0
2013-05-13,507.0,151.0,0.0,35.0,240.0
2013-05-20,666.0,156.0,0.0,38.0,508.0
2013-05-27,972.0,571.0,0.0,44.0,328.0
2013-06-03,648.0,289.0,0.0,34.0,159.0
2013-06-10,261.0,161.0,0.0,35.0,85.0
2013-06-17,236.0,113.0,0.0,32.0,111.0
2013-06-24,2985.0,914.0,0.0,52.0,294.0
2013-07-01,932.0,411.0,0.0,52.0,171.0
2013-07-08,547.0,304.0,0.0,51.0,150.0
2013-07-15,380.0,432.0,0.0,50.0,145.0
2013-07-22,1774.0,433.0,0.0,54.0,238.0
2013-07-29,985.0,292.0,0.0,59.0,197.0
2013-08-05,2404.0,1099.0,0.0,81.0,418.0
2013-08-12,1149.0,470.0,0.0,71.0,381.0
2013-08-19,774.0,267.0,3.0,71.0,215.0
2013-08-26,1583.0,466.0,54.0,83.0,310.0
2013-09-02,967.0,520.0,51.0,83.0,225.0
2013-09-09,608.0,258.0,29.0,57.0,196.0
2013-09-16,667.0,364.0,32.0,51.0,138.0
2013-09-23,688.0,259.0,39.0,49.0,171.0
2013-09-30,866.0,348.0,46.0,59.0,131.0
2013-10-07,714.0,282.0,26.0,58.0,173.0
2013-10-14,603.0,243.0,34.0,65.0,113.0
2013-10-21,896.0,277.0,58.0,50.0,161.0
2013-10-28,680.0,371.0,68.0,62.0,140.0
2013-11-04,118.0,44.0,11.0,13.0,21.0
