Week,Self,User
2012-08-27,0.7143,
2012-09-03,0.7631,
2012-09-10,0.691,
2012-09-17,0.7296,
2012-09-24,0.7225,
2012-10-01,0.6979,
2012-10-08,0.7401,
2012-10-15,0.7115,
2012-10-22,0.6993,
2012-10-29,0.7062,
2012-11-05,0.7975,
2012-11-12,0.8546,
2012-11-19,0.7582,
2012-11-26,0.8073,
2012-12-03,0.8329,
2012-12-10,0.7887,
2012-12-17,0.8379,
2012-12-24,0.8109,
2012-12-31,0.81,
2013-01-07,0.8475,
2013-01-14,0.755,
2013-01-21,0.7846,
2013-01-28,0.774,
2013-02-04,0.7454,
2013-02-11,0.7669,
2013-02-18,0.8788,
2013-02-25,0.8298,
2013-03-04,0.867,
2013-03-11,0.8504,
2013-03-18,0.8524,
2013-03-25,0.8747,
2013-04-01,0.8463,
2013-04-08,0.8545,
2013-04-15,0.8929,
2013-04-22,0.7832,0.25
2013-04-29,0.8318,0.3577
2013-05-06,0.8759,0.3101
2013-05-13,0.8386,0.4167
2013-05-20,0.8054,0.4567
2013-05-27,0.758,0.3262
2013-06-03,0.8064,0.3648
2013-06-10,0.8288,0.4471
2013-06-17,0.8438,0.4144
2013-06-24,0.8497,0.2891
2013-07-01,0.8453,0.4094
2013-07-08,0.8199,0.42
2013-07-15,0.7675,0.3103
2013-07-22,0.8843,0.3908
2013-07-29,0.8262,0.401
2013-08-05,0.8992,0.3493
2013-08-12,0.8681,0.3333
2013-08-19,0.8484,0.4279
2013-08-26,0.8779,0.4387
2013-09-02,0.8614,0.4089
2013-09-09,0.8605,0.3827
2013-09-16,0.853,0.4348
2013-09-23,0.8514,0.3041
2013-09-30,0.8442,0.4198
2013-10-07,0.863,0.3006
2013-10-14,0.8231,0.3805
2013-10-21,0.8045,0.4037
2013-10-28,0.7977,0.4357
2013-11-04,0.7936,0.4762
