Week,Live,Virtual
2012-08-27,224.0,64.0
2012-09-03,953.0,124.0
2012-09-10,413.0,82.0
2012-09-17,187.0,88.0
2012-09-24,342.0,98.0
2012-10-01,175.0,53.0
2012-10-08,163.0,81.0
2012-10-15,126.0,76.0
2012-10-22,124.0,52.0
2012-10-29,142.0,72.0
2012-11-05,144.0,49.0
2012-11-12,234.0,87.0
2012-11-19,180.0,59.0
2012-11-26,1046.0,188.0
2012-12-03,345.0,141.0
2012-12-10,252.0,121.0
2012-12-17,597.0,213.0
2012-12-24,239.0,213.0
2012-12-31,246.0,155.0
2013-01-07,654.0,239.0
2013-01-14,348.0,169.0
2013-01-21,224.0,114.0
2013-01-28,173.0,97.0
2013-02-04,208.0,124.0
2013-02-11,135.0,87.0
2013-02-18,2361.0,455.0
2013-02-25,1361.0,474.0
2013-03-04,2392.0,540.0
2013-03-11,965.0,353.0
2013-03-18,483.0,301.0
2013-03-25,465.0,234.0
2013-04-01,940.0,327.0
2013-04-08,895.0,270.0
2013-04-15,469.0,212.0
2013-04-22,265.0,219.0
2013-04-29,316.0,223.0
2013-05-06,879.0,380.0
2013-05-13,694.0,381.0
2013-05-20,960.0,396.0
2013-05-27,1379.0,315.0
2013-06-03,920.0,351.0
2013-06-10,474.0,257.0
2013-06-17,393.0,272.0
2013-06-24,3521.0,579.0
2013-07-01,1500.0,746.0
2013-07-08,944.0,632.0
2013-07-15,805.0,563.0
2013-07-22,2175.0,727.0
2013-07-29,1494.0,735.0
2013-08-05,3474.0,897.0
2013-08-12,1925.0,1108.0
2013-08-19,1169.0,936.0
2013-08-26,2326.0,1042.0
2013-09-02,1686.0,970.0
2013-09-09,1035.0,784.0
2013-09-16,1095.0,704.0
2013-09-23,1073.0,707.0
2013-09-30,1341.0,739.0
2013-10-07,1125.0,768.0
2013-10-14,923.0,671.0
2013-10-21,1198.0,646.0
2013-10-28,1144.0,738.0
2013-11-04,196.0,126.0
