Day,Live,Virtual
2012-09-01,1705,248
2012-09-02,1832,283
2012-09-03,1920,315
2012-09-04,1978,337
2012-09-05,2381,362
2012-09-06,2577,381
2012-09-07,2688,407
2012-09-08,2796,419
2012-09-09,2865,441
2012-09-10,2908,465
2012-09-11,2950,479
2012-09-12,2982,492
2012-09-13,3015,496
2012-09-14,3047,502
2012-09-15,3225,513
2012-09-16,3285,535
2012-09-17,3329,550
2012-09-18,3361,569
2012-09-19,3383,586
2012-09-20,3417,594
2012-09-21,3448,604
2012-09-22,3470,617
2012-09-23,3481,626
2012-09-24,3507,633
2012-09-25,3637,646
2012-09-26,3705,650
2012-09-27,3724,664
2012-09-28,3752,674
2012-09-29,3781,681
2012-09-30,3812,699
2012-10-01,3839,734
2012-10-02,3892,749
2012-10-03,3909,753
2012-10-04,3931,757
2012-10-05,3959,766
2012-10-06,3979,775
2012-10-07,3997,782
2012-10-08,4013,792
2012-10-09,4036,796
2012-10-10,4061,808
2012-10-11,4091,817
2012-10-12,4113,823
2012-10-13,4136,838
2012-10-14,4159,862
2012-10-15,4176,875
2012-10-16,4197,885
2012-10-17,4233,900
2012-10-18,4251,909
2012-10-19,4272,920
2012-10-20,4292,924
2012-10-21,4304,940
2012-10-22,4306,956
2012-10-23,4323,968
2012-10-24,4338,972
2012-10-25,4351,982
2012-10-26,4374,985
2012-10-27,4390,997
2012-10-28,4421,1003
2012-10-29,4448,1010
2012-10-30,4473,1022
2012-10-31,4484,1034
2012-11-01,4511,1055
2012-11-02,4518,1058
2012-11-03,4534,1070
2012-11-04,4546,1076
2012-11-05,4568,1084
2012-11-06,4603,1094
2012-11-07,4623,1097
2012-11-08,4646,1106
2012-11-09,4667,1114
2012-11-10,4684,1120
2012-11-11,4700,1127
2012-11-12,4722,1140
2012-11-14,4744,1158
2012-11-15,4773,1163
2012-11-16,4837,1177
2012-11-17,4887,1194
2012-11-18,4917,1208
2012-11-19,4946,1229
2012-11-20,4972,1240
2012-11-21,4994,1259
2012-11-22,5015,1268
2012-11-23,5050,1275
2012-11-24,5076,1281
2012-11-25,5097,1285
2012-11-26,5207,1295
2012-11-27,5361,1319
2012-11-28,5543,1345
2012-11-29,5713,1364
2012-11-30,5816,1381
2012-12-01,6077,1417
2012-12-02,6175,1457
2012-12-03,6258,1489
2012-12-04,6342,1514
2012-12-05,6402,1534
2012-12-06,6445,1590
2012-12-07,6481,1598
2012-12-08,6526,1619
2012-12-09,6561,1630
2012-12-10,6604,1640
2012-12-11,6654,1664
2012-12-12,6701,1678
2012-12-13,6734,1685
2012-12-14,6775,1704
2012-12-15,6806,1725
2012-12-16,6819,1749
2012-12-17,6864,1773
2012-12-18,7074,1809
2012-12-19,7150,1823
2012-12-20,7293,1856
2012-12-21,7349,1887
2012-12-22,7398,1907
2012-12-23,7436,1944
2012-12-24,7469,1986
2012-12-25,7500,2018
2012-12-26,7535,2058
2012-12-27,7583,2094
2012-12-28,7631,2119
2012-12-29,7654,2161
2012-12-30,7686,2177
2012-12-31,7710,2202
2013-01-01,7735,2216
2013-01-02,7768,2240
2013-01-03,7820,2253
2013-01-04,7849,2263
2013-01-05,7878,2293
2013-01-06,7920,2325
2013-01-09,8365,2409
2013-01-11,8555,2532
2013-01-12,8560,2533
2013-01-13,8603,2577
2013-01-14,8653,2609
2013-01-15,8685,2635
2013-01-16,8721,2657
2013-01-17,8748,2670
2013-01-18,8777,2689
2013-01-19,8826,2723
2013-01-20,8937,2748
2013-01-21,9009,2768
2013-01-22,9054,2791
2013-01-23,9096,2803
2013-01-24,9112,2810
2013-01-25,9144,2829
2013-01-26,9164,2844
2013-01-27,9185,2862
2013-01-28,9213,2881
2013-01-29,9236,2897
2013-01-30,9265,2913
2013-01-31,9263,2926
2013-02-01,9283,2939
2013-02-02,9317,2952
2013-02-03,9345,2967
2013-02-04,9361,2980
2013-02-05,9377,2991
2013-02-06,9405,3002
2013-02-07,9452,3021
2013-02-08,9491,3029
2013-02-09,9514,3044
2013-02-10,9546,3079
2013-02-11,9571,3103
2013-02-12,9583,3113
2013-02-13,9595,3127
2013-02-14,9610,3136
2013-02-15,9631,3152
2013-02-16,9647,3162
2013-02-17,9663,3178
2013-02-18,9678,3190
2013-02-19,9982,3215
2013-02-20,10219,3261
2013-02-21,10308,3297
2013-02-22,10358,3312
2013-02-23,11118,3395
2013-02-24,11835,3548
2013-02-25,12309,3684
2013-02-26,12501,3764
2013-02-27,12703,3821
