Day,Subscribed,Limited,Grace,Trial,Virtual
2012-09-01,,,,,248
2012-09-02,,,,,283
2012-09-03,,,,,315
2012-09-04,,,,,337
2012-09-05,,,,,362
2012-09-06,,,,,381
2012-09-07,,,,,407
2012-09-08,,,,,419
2012-09-09,,,,,441
2012-09-10,,,,,465
2012-09-11,,,,,479
2012-09-12,,,,,492
2012-09-13,,,,,496
2012-09-14,,,,,502
2012-09-15,,,,,513
2012-09-16,,,,,535
2012-09-17,,,,,550
2012-09-18,,,,,569
2012-09-19,,,,,586
2012-09-20,,,,,594
2012-09-21,,,,,604
2012-09-22,,,,,617
2012-09-23,,,,,626
2012-09-24,,,,,633
2012-09-25,,,,,646
2012-09-26,,,,,650
2012-09-27,,,,,664
2012-09-28,,,,,674
2012-09-29,,,,,681
2012-09-30,,,,,699
2012-10-01,,,,,734
2012-10-02,,,,,749
2012-10-03,,,,,753
2012-10-04,,,,,757
2012-10-05,,,,,766
2012-10-06,,,,,775
2012-10-07,,,,,782
2012-10-08,,,,,792
2012-10-09,,,,,796
2012-10-10,,,,,808
2012-10-11,,,,,817
2012-10-12,,,,,823
2012-10-13,,,,,838
2012-10-14,,,,,862
2012-10-15,,,,,875
2012-10-16,,,,,885
2012-10-17,,,,,900
2012-10-18,,,,,909
2012-10-19,,,,,920
2012-10-20,,,,,924
2012-10-21,,,,,940
2012-10-22,,,,,956
2012-10-23,,,,,968
2012-10-24,,,,,972
2012-10-25,,,,,982
2012-10-26,,,,,985
2012-10-27,,,,,997
2012-10-28,,,,,1003
2012-10-29,,,,,1010
2012-10-30,,,,,1022
2012-10-31,,,,,1034
2012-11-01,,,,,1055
2012-11-02,,,,,1058
2012-11-03,,,,,1070
2012-11-04,,,,,1076
2012-11-05,,,,,1084
2012-11-06,,,,,1094
2012-11-07,,,,,1097
2012-11-08,,,,,1106
2012-11-09,506,2301,1135,639,1114
2012-11-10,509,2355,1101,633,1120
2012-11-11,511,2399,1087,616,1127
2012-11-12,514,2441,1062,613,1140
