Week,Synced,Accessible and Unique
2012-08-27,1304.8021,638.8073
2012-09-03,1271.1507,510.14
2012-09-10,2072.2301,923.9858
2012-09-17,1146.6792,591.1132
2012-09-24,2099.0174,760.8014
2012-10-01,1548.5503,569.0604
2012-10-08,721.4964,377.8273
2012-10-15,505.7965,305.6549
2012-10-22,1162.6182,732.0455
2012-10-29,652.7479,477.0924
2012-11-05,1815.5339,773.1356
2012-11-12,494.9734,307.75
2012-11-19,1479.9128,1038.7987
2012-11-26,1130.5774,513.3107
2012-12-03,1231.448,668.6738
2012-12-10,1103.8532,505.5092
2012-12-17,1466.0058,593.191
2012-12-24,1833.6548,813.868
2012-12-31,1177.3733,563.7281
2013-01-07,2088.3,971.938
2013-01-14,970.171,491.629
2013-01-21,492.9792,269.4792
2013-01-28,2886.25,1003.0903
2013-02-04,1745.6526,655.4737
2013-02-11,1601.5882,662.1345
2013-02-18,6670.9743,2157.8269
2013-02-25,6035.1246,2180.9696
2013-03-04,3144.2053,1709.9659
2013-03-11,2885.6118,1482.75
2013-03-18,3299.6863,1729.434
2013-03-25,3262.9121,1791.8065
2013-04-01,2499.1876,1357.9252
2013-04-08,2669.1787,1489.2193
2013-04-15,2692.5168,1561.0938
2013-04-22,2956.0395,1673.2193
2013-04-29,2445.1689,1397.4291
2013-05-06,2131.326,1210.3389
2013-05-13,2167.2429,1259.9624
2013-05-20,2276.8697,1360.5708
2013-05-27,1817.523,1056.3303
2013-06-03,2157.4261,1214.7968
2013-06-10,2526.9326,1505.7528
2013-06-17,2431.2655,1505.5876
2013-06-24,2646.7033,1508.3107
2013-07-01,2612.979,1470.7708
2013-07-08,2192.8132,1288.7984
2013-07-15,1977.619,1241.7968
2013-07-22,3726.9346,2242.411
2013-07-29,2515.2,1549.0453
2013-08-05,2681.2663,1604.5926
2013-08-12,2537.9118,1581.3653
2013-08-19,2554.4768,1538.1343
2013-08-26,2715.8091,1676.4833
2013-09-02,2349.7884,1485.5919
2013-09-09,2267.333,1629.6305
2013-09-16,2653.6776,1422.0737
2013-09-23,4526.3713,1607.4287
2013-09-30,3773.1552,1384.1313
2013-10-07,3581.3051,1329.1939
2013-10-14,3334.4661,1263.1429
2013-10-21,3537.731,1494.0759
2013-10-28,2405.5865,989.2049
2013-11-04,492.2652,221.3591
