Week,Facebook,Twitter,Flickr,Gmail,Picasa,Instagram
2012-08-27,0.125,0.1146,0.1094,0.026,0.125,0.1823
2012-09-03,0.1222,0.1269,0.1305,0.0261,0.1542,0.1934
2012-09-10,0.1307,0.1023,0.1136,0.0455,0.1165,0.1619
2012-09-17,0.0629,0.0629,0.0692,0.0189,0.0314,0.1195
2012-09-24,0.1045,0.1359,0.0976,0.0314,0.1254,0.1638
2012-10-01,0.094,0.1074,0.1275,0.0268,0.0872,0.1812
2012-10-08,0.1151,0.0791,0.0719,0.0216,0.0863,0.1583
2012-10-15,0.1239,0.0796,0.0708,0.0265,0.115,0.1858
2012-10-22,0.1091,0.0818,0.1364,0.0182,0.1,0.1273
2012-10-29,0.1176,0.084,0.0924,0.0084,0.084,0.1849
2012-11-05,0.1864,0.1102,0.0678,0.0085,0.1186,0.1949
2012-11-12,0.117,0.0585,0.1011,0.0106,0.0691,0.1277
2012-11-19,0.1007,0.094,0.094,0.0201,0.1141,0.1544
2012-11-26,0.1369,0.1417,0.1512,0.0595,0.1369,0.2119
2012-12-03,0.1505,0.1111,0.1147,0.1183,0.0753,0.1649
2012-12-10,0.2248,0.1193,0.1239,0.133,0.1376,0.1468
2012-12-17,0.2242,0.1365,0.1287,0.1404,0.1813,0.1676
2012-12-24,0.2335,0.1472,0.1269,0.2081,0.2183,0.1929
2012-12-31,0.2212,0.106,0.1659,0.1705,0.1475,0.1382
2013-01-07,0.158,0.118,0.15,0.136,0.16,0.194
2013-01-14,0.2097,0.0742,0.0806,0.1161,0.1387,0.0903
2013-01-21,0.2031,0.0833,0.0833,0.125,0.1198,0.1094
2013-01-28,0.1389,0.0764,0.0556,0.0903,0.1111,0.1111
2013-02-04,0.2368,0.0421,0.0421,0.1053,0.0842,0.0947
2013-02-11,0.2353,0.0924,0.0672,0.1765,0.1008,0.1429
2013-02-18,0.1605,0.1616,0.2016,0.1211,0.1017,0.229
2013-02-25,0.1521,0.1855,0.2041,0.1443,0.1138,0.261
2013-03-04,0.1482,0.1564,0.1516,0.1295,0.1333,0.2062
2013-03-11,0.1452,0.1221,0.1141,0.1106,0.121,0.1624
2013-03-18,0.0967,0.1038,0.0991,0.1439,0.0849,0.1462
2013-03-25,0.1181,0.1156,0.1206,0.093,0.1131,0.1432
2013-04-01,0.1485,0.1188,0.114,0.0879,0.0891,0.1722
2013-04-08,0.1115,0.1065,0.1179,0.1039,0.1077,0.1496
2013-04-15,0.0986,0.1058,0.0865,0.1058,0.101,0.1587
2013-04-22,0.0658,0.1272,0.1009,0.136,0.1009,0.2061
2013-04-29,0.0541,0.1047,0.0777,0.1284,0.1318,0.1385
2013-05-06,0.0567,0.1327,0.0851,0.0992,0.0683,0.2229
2013-05-13,0.0643,0.1536,0.1082,0.1332,0.0972,0.2163
2013-05-20,0.0393,0.1056,0.1022,0.1,0.0798,0.1494
2013-05-27,0.043,0.0637,0.0622,0.073,0.0661,0.0922
2013-06-03,0.0543,0.1039,0.112,0.1155,0.1132,0.127
2013-06-10,0.0472,0.036,0.0966,0.0921,0.0876,0.1213
2013-06-17,0.0282,0.0621,0.0847,0.0706,0.0876,0.1017
2013-06-24,0.0333,0.0827,0.1168,0.1263,0.13,0.1208
2013-07-01,0.0246,0.0725,0.1116,0.1167,0.1196,0.108
2013-07-08,0.033,0.0535,0.0695,0.09,0.0774,0.1025
2013-07-15,0.0241,0.0668,0.0722,0.0762,0.0856,0.1043
2013-07-22,0.038,0.1008,0.1238,0.0922,0.0884,0.1726
2013-07-29,0.0234,0.0792,0.1042,0.0898,0.0589,0.1517
2013-08-05,0.0378,0.087,0.1065,0.1099,0.0846,0.1643
2013-08-12,0.0212,0.0582,0.0771,0.0847,0.0712,0.1182
2013-08-19,0.0178,0.0622,0.0958,0.0977,0.0888,0.1283
2013-08-26,0.027,0.0795,0.1026,0.0927,0.0878,0.1614
2013-09-02,0.0337,0.0694,0.0925,0.0958,0.074,0.1322
2013-09-09,0.1171,0.0365,0.0591,0.0795,0.0591,0.0924
2013-09-16,0.1361,0.044,0.0635,0.0747,0.0624,0.1126
2013-09-23,0.1574,0.0702,0.0734,0.0745,0.0585,0.1138
2013-09-30,0.1219,0.0546,0.075,0.0614,0.0588,0.0972
2013-10-07,0.1525,0.0535,0.0697,0.0798,0.0495,0.1192
2013-10-14,0.1211,0.0533,0.0581,0.0763,0.0581,0.1041
2013-10-21,0.1517,0.0558,0.0612,0.0905,0.0832,0.0951
2013-10-28,0.1288,0.0367,0.0395,0.0648,0.0583,0.0987
2013-11-04,0.1271,0.0276,0.0497,0.0608,0.0497,0.0829
