Week,Last 24 Hours,Last 7 Days,Last 30 Days
2012-08-27,0.0,0.2083,0.2917
2012-09-03,0.0,0.2076,0.2894
2012-09-10,0.0,0.1733,0.2898
2012-09-17,0.0,0.1069,0.239
2012-09-24,0.0,0.2021,0.2718
2012-10-01,0.0,0.2349,0.3221
2012-10-08,0.0,0.2158,0.2446
2012-10-15,0.0,0.1858,0.2743
2012-10-22,0.0,0.2364,0.3182
2012-10-29,0.0,0.1849,0.2605
2012-11-05,0.0,0.178,0.2797
2012-11-12,0.0,0.1649,0.2447
2012-11-19,0.0,0.1812,0.2617
2012-11-26,0.0,0.244,0.3214
2012-12-03,0.0,0.1792,0.2939
2012-12-10,0.0,0.2294,0.2982
2012-12-17,0.0,0.2144,0.3158
2012-12-24,0.0,0.2741,0.3604
2012-12-31,0.0,0.2995,0.3779
2013-01-07,0.0,0.288,0.392
2013-01-14,0.0,0.2258,0.3258
2013-01-21,0.0,0.1563,0.3229
2013-01-28,0.0,0.25,0.3194
2013-02-04,0.0,0.2316,0.3211
2013-02-11,0.0,0.3109,0.4202
2013-02-18,0.0,0.504,0.6337
2013-02-25,0.0,0.4455,0.5751
2013-03-04,0.0,0.377,0.5199
2013-03-11,0.0,0.3721,0.4965
2013-03-18,0.0,0.3844,0.5377
2013-03-25,0.0,0.3568,0.4824
2013-04-01,0.0,0.3266,0.4644
2013-04-08,0.0,0.3447,0.488
2013-04-15,0.0,0.3438,0.4495
2013-04-22,0.0,0.3728,0.5088
2013-04-29,0.0,0.2905,0.4189
2013-05-06,0.0,0.3299,0.4716
2013-05-13,0.0,0.3621,0.4922
2013-05-20,0.0,0.2933,0.4124
2013-05-27,0.0,0.2688,0.3902
2013-06-03,0.0,0.2898,0.4134
2013-06-10,0.0,0.3056,0.4157
2013-06-17,0.0,0.2825,0.4294
2013-06-24,0.0,0.3504,0.4792
2013-07-01,0.0,0.3118,0.4242
2013-07-08,0.0,0.3109,0.4328
2013-07-15,0.0,0.2794,0.4184
2013-07-22,0.0,0.4164,0.5423
2013-07-29,0.0,0.3525,0.4747
2013-08-05,0.0,0.4316,0.5747
2013-08-12,0.0,0.3735,0.5088
2013-08-19,0.0,0.3909,0.5192
2013-08-26,0.0,0.3837,0.5319
2013-09-02,0.0,0.3604,0.5007
2013-09-09,0.0,0.3577,0.5038
2013-09-16,0.0,0.3736,0.5343
2013-09-23,0.0,0.4404,0.5989
2013-09-30,0.0,0.3794,0.5678
2013-10-07,0.0,0.4293,0.7889
2013-10-14,0.0,0.3995,0.7785
2013-10-21,0.0,0.4666,0.7932
2013-10-28,0.0,0.7171,0.7829
2013-11-04,0.0055,0.3702,0.3702
