Week,Last 24 Hours,Last 7 Days,Last 30 Days
2012-08-27,0.2121,0.3333,0.4848
2012-09-03,0.241,0.3855,0.5301
2012-09-10,0.1224,0.4082,0.5102
2012-09-17,0.1667,0.3889,0.4444
2012-09-24,0.2308,0.4359,0.4615
2012-10-01,0.1176,0.4706,0.5294
2012-10-08,0.2,0.3333,0.3333
2012-10-15,0.1111,0.2222,0.3333
2012-10-22,0.2222,0.3333,0.3889
2012-10-29,0.0,0.1818,0.2727
2012-11-05,0.0714,0.1429,0.2143
2012-11-12,0.2,0.28,0.36
2012-11-19,0.0909,0.2273,0.3636
2012-11-26,0.1748,0.2524,0.3883
2012-12-03,0.1351,0.3514,0.4324
2012-12-10,0.1818,0.3939,0.3939
2012-12-17,0.1574,0.3333,0.4167
2012-12-24,0.1429,0.4762,0.5952
2012-12-31,0.1778,0.2444,0.4444
2013-01-07,0.1706,0.2824,0.3647
2013-01-14,0.1607,0.3393,0.4286
2013-01-21,0.1,0.3,0.3
2013-01-28,0.0938,0.5,0.5625
2013-02-04,0.1,0.2667,0.3667
2013-02-11,0.1481,0.3333,0.3333
2013-02-18,0.2234,0.4311,0.5031
2013-02-25,0.1941,0.3974,0.478
2013-03-04,0.1829,0.3636,0.4368
2013-03-11,0.1946,0.4072,0.482
2013-03-18,0.1818,0.4064,0.4652
2013-03-25,0.1771,0.3829,0.44
2013-04-01,0.1657,0.3543,0.4286
2013-04-08,0.1374,0.3764,0.4396
2013-04-15,0.1913,0.3607,0.4426
2013-04-22,0.2165,0.3608,0.4433
2013-04-29,0.1607,0.3571,0.4286
2013-05-06,0.1711,0.3274,0.413
2013-05-13,0.1733,0.3791,0.4657
2013-05-20,0.1894,0.4011,0.4735
2013-05-27,0.1617,0.3672,0.4388
2013-06-03,0.1451,0.3407,0.4259
2013-06-10,0.2402,0.4413,0.5251
2013-06-17,0.1481,0.3519,0.4321
2013-06-24,0.1669,0.352,0.439
2013-07-01,0.1695,0.3884,0.4661
2013-07-08,0.1627,0.3897,0.4475
2013-07-15,0.2103,0.4483,0.5414
2013-07-22,0.2331,0.4825,0.5833
2013-07-29,0.1826,0.4163,0.5287
2013-08-05,0.2404,0.5216,0.6249
2013-08-12,0.229,0.4959,0.6078
2013-08-19,0.2126,0.4728,0.5867
2013-08-26,0.1986,0.4456,0.5719
2013-09-02,0.2212,0.4738,0.6019
2013-09-09,0.2402,0.502,0.6004
2013-09-16,0.2722,0.5521,0.7085
2013-09-23,0.3009,0.6144,0.7604
2013-09-30,0.264,0.5827,0.8058
2013-10-07,0.2701,0.5846,0.9983
2013-10-14,0.2972,0.6399,1.0
2013-10-21,0.3234,0.7264,1.0
2013-10-28,0.3382,0.9602,1.0
2013-11-04,0.567,1.0,1.0
