Week,Photo Mails,Photo Pages
2012-08-27,0.1406,0.099
2012-09-03,0.1079,0.1163
2012-09-10,0.0966,0.0909
2012-09-17,0.0818,0.1258
2012-09-24,0.108,0.0801
2012-10-01,0.0604,0.1074
2012-10-08,0.0935,0.0935
2012-10-15,0.0885,0.1239
2012-10-22,0.1182,0.0909
2012-10-29,0.1008,0.084
2012-11-05,0.1441,0.1525
2012-11-12,0.0798,0.1011
2012-11-19,0.0671,0.1074
2012-11-26,0.0821,0.1143
2012-12-03,0.1004,0.0789
2012-12-10,0.0872,0.0917
2012-12-17,0.115,0.0936
2012-12-24,0.1066,0.1371
2012-12-31,0.1152,0.1014
2013-01-07,0.116,0.114
2013-01-14,0.0613,0.0419
2013-01-21,0.0573,0.099
2013-01-28,0.1042,0.0556
2013-02-04,0.0684,0.0684
2013-02-11,0.0924,0.0924
2013-02-18,0.164,0.1377
2013-02-25,0.1649,0.1295
2013-03-04,0.1223,0.1137
2013-03-11,0.1175,0.0899
2013-03-18,0.1533,0.0943
2013-03-25,0.1558,0.108
2013-04-01,0.1069,0.0974
2013-04-08,0.1305,0.0913
2013-04-15,0.137,0.101
2013-04-22,0.1009,0.1184
2013-04-29,0.1081,0.0709
2013-05-06,0.1044,0.0631
2013-05-13,0.1442,0.105
2013-05-20,0.1157,0.0742
2013-05-27,0.0883,0.0553
2013-06-03,0.0958,0.0566
2013-06-10,0.1056,0.0854
2013-06-17,0.1017,0.0678
2013-06-24,0.1105,0.065
2013-07-01,0.0943,0.0587
2013-07-08,0.1036,0.0626
2013-07-15,0.0749,0.0374
2013-07-22,0.1651,0.1034
2013-07-29,0.0936,0.0785
2013-08-05,0.1404,0.081
2013-08-12,0.1106,0.0588
2013-08-19,0.1165,0.0701
2013-08-26,0.1256,0.0707
2013-09-02,0.1098,0.0827
2013-09-09,0.0687,0.0591
2013-09-16,0.0809,0.0481
2013-09-23,0.1223,0.0521
2013-09-30,0.0861,0.0563
2013-10-07,0.0909,0.0586
2013-10-14,0.0811,0.0666
2013-10-21,0.0549,0.0293
2013-10-28,0.0648,0.047
2013-11-04,0.0221,0.0055
