Week,Synced,Accessible and Unique
2012-08-27,31311.5938,18877.375
2012-09-03,36309.2909,20941.2455
2012-09-10,35736.0656,18670.0164
2012-09-17,31660.6071,19048.3929
2012-09-24,46191.4364,19953.2909
2012-10-01,45098.9615,22475.1154
2012-10-08,21457.9167,13228.125
2012-10-15,26479.7692,13652.5385
2012-10-22,15456.3571,10850.5
2012-10-29,22010.087,14716.5217
2012-11-05,25276.2692,13954.4231
2012-11-12,36850.7609,21526.0
2012-11-19,29147.1935,15208.0968
2012-11-26,33861.6165,19216.2184
2012-12-03,30561.1212,19627.5303
2012-12-10,35001.0,21204.0882
2012-12-17,44140.0952,24774.3333
2012-12-24,52118.4762,24911.381
2012-12-31,49689.9655,25016.8276
2013-01-07,35774.2532,21395.8571
2013-01-14,27075.6316,14996.5526
2013-01-21,36618.5313,23443.9688
2013-01-28,90992.6207,20533.9655
2013-02-04,128325.3889,35002.0556
2013-02-11,29334.125,18457.375
2013-02-18,35272.3535,22002.7905
2013-02-25,36525.114,21737.9737
2013-03-04,35143.4788,19921.6221
2013-03-11,31222.4536,19079.6082
2013-03-18,33143.0339,19782.5254
2013-03-25,47680.7761,27126.5373
2013-04-01,30977.3265,15743.8367
2013-04-08,29118.6604,18281.5283
2013-04-15,35857.1887,19044.1509
2013-04-22,45757.2973,23432.5135
2013-04-29,26697.05,17641.55
2013-05-06,29571.534,17640.2913
2013-05-13,36190.5714,17336.1607
2013-05-20,35939.5857,19482.5857
2013-05-27,32583.7532,21679.8961
2013-06-03,27853.0556,14522.4259
2013-06-10,39888.6207,22606.3448
2013-06-17,34040.7436,21183.3846
2013-06-24,35673.3893,19941.5246
2013-07-01,36775.9669,21070.7438
2013-07-08,23129.5152,15336.3485
2013-07-15,33615.6491,19664.6491
2013-07-22,30735.4822,19753.6149
2013-07-29,24812.2959,16585.5148
2013-08-05,26309.6667,16563.4567
2013-08-12,28481.56,17185.1467
2013-08-19,27168.9615,17894.1026
2013-08-26,26696.191,16696.9514
2013-09-02,24794.9023,16577.4598
2013-09-09,22431.9808,14202.0577
2013-09-16,24132.7712,14343.8729
2013-09-23,25892.594,15071.5639
2013-09-30,22418.1726,15827.4881
2013-10-07,20503.363,13131.7333
2013-10-14,18919.3918,12124.433
2013-10-21,21649.2952,14718.2762
2013-10-28,11476.375,8785.1875
2013-11-04,4357.9333,3281.0667
