Week,Facebook,Twitter,Flickr,Gmail,Picasa,Instagram
2012-08-27,0.1563,0.2813,0.2813,0.2188,0.3125,0.4063
2012-09-03,0.1364,0.2545,0.3182,0.2,0.2455,0.3364
2012-09-10,0.1967,0.2951,0.3115,0.2459,0.2295,0.3934
2012-09-17,0.1071,0.25,0.2143,0.2143,0.1429,0.3214
2012-09-24,0.1091,0.3273,0.2,0.2,0.2545,0.4
2012-10-01,0.1923,0.3462,0.3462,0.2692,0.3846,0.4231
2012-10-08,0.0417,0.2917,0.375,0.1667,0.2917,0.3333
2012-10-15,0.0769,0.2308,0.1538,0.0,0.3077,0.3846
2012-10-22,0.1429,0.2857,0.1429,0.1429,0.0714,0.5
2012-10-29,0.087,0.3043,0.2174,0.0435,0.2174,0.3043
2012-11-05,0.0769,0.4231,0.4231,0.1538,0.3846,0.4231
2012-11-12,0.1304,0.087,0.1087,0.0652,0.2174,0.1522
2012-11-19,0.1935,0.1935,0.3871,0.1613,0.3226,0.3548
2012-11-26,0.0777,0.2621,0.2864,0.2621,0.267,0.3398
2012-12-03,0.2273,0.2879,0.3182,0.3636,0.3333,0.3485
2012-12-10,0.1471,0.2941,0.3529,0.2941,0.3235,0.3824
2012-12-17,0.1905,0.3333,0.4167,0.3214,0.2976,0.369
2012-12-24,0.119,0.2619,0.2143,0.3333,0.2857,0.3095
2012-12-31,0.2069,0.2414,0.2759,0.3103,0.3103,0.3103
2013-01-07,0.1429,0.3247,0.3377,0.2922,0.2597,0.3182
2013-01-14,0.1053,0.2895,0.4211,0.3421,0.3684,0.3684
2013-01-21,0.1563,0.2813,0.1875,0.3438,0.3125,0.2813
2013-01-28,0.1379,0.4138,0.2759,0.3103,0.3793,0.3103
2013-02-04,0.1111,0.1667,0.2778,0.2778,0.1667,0.2222
2013-02-11,0.0625,0.3125,0.375,0.375,0.25,0.5
2013-02-18,0.1669,0.3617,0.3961,0.2488,0.1882,0.4141
2013-02-25,0.117,0.3012,0.2982,0.2164,0.1725,0.3129
2013-03-04,0.1726,0.4072,0.355,0.2866,0.2476,0.3844
2013-03-11,0.1546,0.268,0.3196,0.2474,0.1134,0.3093
2013-03-18,0.2034,0.339,0.322,0.2373,0.1695,0.339
2013-03-25,0.1194,0.3582,0.3433,0.2836,0.209,0.3284
2013-04-01,0.2245,0.3878,0.4898,0.3776,0.2959,0.398
2013-04-08,0.1028,0.3178,0.2991,0.3178,0.243,0.2617
2013-04-15,0.1698,0.3208,0.2642,0.3962,0.2453,0.3962
2013-04-22,0.1081,0.2162,0.2432,0.2432,0.1892,0.3243
2013-04-29,0.15,0.3,0.45,0.2,0.2,0.35
2013-05-06,0.1359,0.2039,0.2718,0.2718,0.2136,0.3301
2013-05-13,0.125,0.2679,0.2679,0.1964,0.125,0.375
2013-05-20,0.1286,0.3714,0.3,0.3143,0.2714,0.4429
2013-05-27,0.1299,0.2078,0.3377,0.2857,0.2338,0.2727
2013-06-03,0.1852,0.1667,0.2593,0.2593,0.1481,0.2963
2013-06-10,0.2414,0.3103,0.2759,0.2759,0.1724,0.2414
2013-06-17,0.1538,0.1795,0.1795,0.2308,0.2051,0.2564
2013-06-24,0.1762,0.2418,0.3115,0.3402,0.3156,0.2992
2013-07-01,0.124,0.157,0.2727,0.2727,0.2066,0.2231
2013-07-08,0.1061,0.2273,0.2273,0.3182,0.303,0.2727
2013-07-15,0.193,0.1228,0.1404,0.2105,0.1228,0.193
2013-07-22,0.1586,0.2945,0.3592,0.2395,0.1845,0.3625
2013-07-29,0.1361,0.2189,0.2367,0.2071,0.1479,0.3432
2013-08-05,0.1429,0.3139,0.316,0.2684,0.2165,0.3918
2013-08-12,0.1644,0.2267,0.2444,0.2178,0.1733,0.2933
2013-08-19,0.1154,0.2436,0.2692,0.2436,0.1859,0.2949
2013-08-26,0.1424,0.25,0.2569,0.2465,0.2292,0.3507
2013-09-02,0.1667,0.1954,0.1724,0.1897,0.1609,0.2931
2013-09-09,0.4038,0.125,0.2019,0.2115,0.1827,0.2212
2013-09-16,0.3136,0.1102,0.2034,0.1102,0.1441,0.2627
2013-09-23,0.3759,0.1353,0.188,0.1805,0.188,0.2707
2013-09-30,0.3631,0.1667,0.2262,0.1905,0.119,0.2321
2013-10-07,0.363,0.1704,0.2296,0.2074,0.1481,0.2593
2013-10-14,0.3505,0.134,0.2268,0.1546,0.1856,0.1959
2013-10-21,0.3048,0.1238,0.1333,0.1714,0.1429,0.1905
2013-10-28,0.425,0.1375,0.175,0.15,0.1125,0.2625
2013-11-04,0.3333,0.0,0.0667,0.1333,0.0667,0.1333
