Week,Last 24 Hours,Last 7 Days,Last 30 Days
2012-08-27,0.0,0.75,0.8438
2012-09-03,0.0,0.6455,0.8182
2012-09-10,0.0,0.7705,0.8525
2012-09-17,0.0,0.4643,0.75
2012-09-24,0.0,0.7091,0.8182
2012-10-01,0.0,0.7308,0.8077
2012-10-08,0.0,0.625,0.7917
2012-10-15,0.0,0.5385,0.7692
2012-10-22,0.0,0.7143,0.9286
2012-10-29,0.0,0.5217,0.7391
2012-11-05,0.0,0.6538,0.7692
2012-11-12,0.0,0.6304,0.8478
2012-11-19,0.0,0.4839,0.7742
2012-11-26,0.0,0.6942,0.8883
2012-12-03,0.0,0.7273,0.8485
2012-12-10,0.0,0.7059,0.8235
2012-12-17,0.0,0.7262,0.9167
2012-12-24,0.0,0.7619,0.9286
2012-12-31,0.0,0.7586,0.8966
2013-01-07,0.0,0.7338,0.9156
2013-01-14,0.0,0.7632,0.8947
2013-01-21,0.0,0.7813,0.9063
2013-01-28,0.0,0.6207,0.8621
2013-02-04,0.0,0.7778,0.8889
2013-02-11,0.0,0.6875,1.0
2013-02-18,0.0,0.8085,0.9427
2013-02-25,0.0,0.7251,0.9123
2013-03-04,0.0,0.7655,0.9251
2013-03-11,0.0,0.7938,0.9072
2013-03-18,0.0,0.6949,0.8983
2013-03-25,0.0,0.7463,0.8955
2013-04-01,0.0,0.8061,0.9184
2013-04-08,0.0,0.7453,0.8774
2013-04-15,0.0,0.7736,0.9057
2013-04-22,0.0,0.6757,0.8919
2013-04-29,0.0,0.75,0.9
2013-05-06,0.0,0.7767,0.9223
2013-05-13,0.0,0.7321,0.9107
2013-05-20,0.0,0.7143,0.8857
2013-05-27,0.0,0.6623,0.8701
2013-06-03,0.0,0.8333,0.9815
2013-06-10,0.0,0.6552,0.8621
2013-06-17,0.0,0.7949,0.9487
2013-06-24,0.0,0.8156,0.9221
2013-07-01,0.0,0.7603,0.9256
2013-07-08,0.0,0.8333,0.9394
2013-07-15,0.0,0.7544,0.9474
2013-07-22,0.0,0.8447,0.9644
2013-07-29,0.0,0.8166,0.9527
2013-08-05,0.0,0.842,0.9654
2013-08-12,0.0,0.8267,0.9556
2013-08-19,0.0,0.8718,0.9936
2013-08-26,0.0035,0.8542,0.9688
2013-09-02,0.0,0.8161,0.9713
2013-09-09,0.0,0.8558,0.9712
2013-09-16,0.0,0.8475,0.9831
2013-09-23,0.0,0.8722,0.9774
2013-09-30,0.0,0.9107,0.994
2013-10-07,0.0,0.837,1.0
2013-10-14,0.0,0.866,1.0
2013-10-21,0.0,0.9048,0.9905
2013-10-28,0.0,1.0,1.0
2013-11-04,0.0667,0.8667,0.8667
