Week,Last 24 Hours,Last 7 Days,Last 30 Days
2012-08-27,0.1563,0.5938,0.8125
2012-09-03,0.1,0.5091,0.7636
2012-09-10,0.082,0.623,0.8197
2012-09-17,0.1429,0.4643,0.6786
2012-09-24,0.0364,0.5273,0.8
2012-10-01,0.1154,0.5,0.7308
2012-10-08,0.0833,0.5,0.7083
2012-10-15,0.0,0.3846,0.9231
2012-10-22,0.2143,0.5,0.7857
2012-10-29,0.0435,0.6087,0.7826
2012-11-05,0.0385,0.4231,0.7308
2012-11-12,0.1957,0.5217,0.8043
2012-11-19,0.0645,0.4516,0.5806
2012-11-26,0.1311,0.5243,0.7718
2012-12-03,0.1364,0.5455,0.7121
2012-12-10,0.1765,0.6176,0.7647
2012-12-17,0.1786,0.631,0.881
2012-12-24,0.119,0.6429,0.7857
2012-12-31,0.1379,0.6207,0.8621
2013-01-07,0.1364,0.6104,0.9026
2013-01-14,0.0789,0.6316,0.8158
2013-01-21,0.1875,0.6563,0.8438
2013-01-28,0.069,0.6207,0.8276
2013-02-04,0.2222,0.6667,0.9444
2013-02-11,0.125,0.75,0.875
2013-02-18,0.1833,0.671,0.8642
2013-02-25,0.1696,0.5965,0.8246
2013-03-04,0.1433,0.5961,0.8502
2013-03-11,0.1237,0.5464,0.8557
2013-03-18,0.1695,0.5763,0.8305
2013-03-25,0.1343,0.6418,0.8806
2013-04-01,0.1837,0.5918,0.8163
2013-04-08,0.1132,0.5849,0.8302
2013-04-15,0.1132,0.566,0.8302
2013-04-22,0.1892,0.7027,0.8378
2013-04-29,0.05,0.45,0.75
2013-05-06,0.165,0.5825,0.8641
2013-05-13,0.2321,0.7321,0.875
2013-05-20,0.1286,0.7,0.7857
2013-05-27,0.2078,0.6623,0.8701
2013-06-03,0.1667,0.7407,0.9074
2013-06-10,0.1034,0.6207,0.7586
2013-06-17,0.1538,0.641,0.8974
2013-06-24,0.2582,0.7172,0.873
2013-07-01,0.1736,0.7521,0.9091
2013-07-08,0.1818,0.7576,0.9394
2013-07-15,0.1754,0.6491,0.9123
2013-07-22,0.2233,0.7411,0.9061
2013-07-29,0.2485,0.787,0.9467
2013-08-05,0.1753,0.7208,0.9048
2013-08-12,0.1956,0.7778,0.9467
2013-08-19,0.2756,0.8333,0.9551
2013-08-26,0.2778,0.7882,0.9306
2013-09-02,0.3736,0.8161,0.9253
2013-09-09,0.2981,0.7981,0.9615
2013-09-16,0.2712,0.7966,0.9576
2013-09-23,0.2256,0.8195,0.9699
2013-09-30,0.3155,0.9048,1.0
2013-10-07,0.2963,0.8519,1.0
2013-10-14,0.2887,0.8866,1.0
2013-10-21,0.4,0.9048,1.0
2013-10-28,0.45,0.9875,1.0
2013-11-04,0.6667,1.0,1.0
