Week,Last 24 Hours,Last 7 Days,Last 30 Days
2012-08-27,0.3226,0.7742,0.8065
2012-09-03,0.4184,0.8061,0.8571
2012-09-10,0.4643,0.875,0.9107
2012-09-17,0.2083,0.625,0.75
2012-09-24,0.3922,0.8039,0.902
2012-10-01,0.5417,0.875,1.0
2012-10-08,0.2632,0.7895,0.7895
2012-10-15,0.2727,1.0,1.0
2012-10-22,0.1,0.5,0.7
2012-10-29,0.4286,0.8095,0.8571
2012-11-05,0.5455,0.7727,0.9091
2012-11-12,0.4524,0.7619,0.8571
2012-11-19,0.2222,0.4815,0.5556
2012-11-26,0.4497,0.8095,0.8836
2012-12-03,0.3889,0.7593,0.8333
2012-12-10,0.3103,0.7586,0.7931
2012-12-17,0.3875,0.7625,0.85
2012-12-24,0.3415,0.7317,0.8049
2012-12-31,0.3929,0.8214,0.8214
2013-01-07,0.4,0.7933,0.8933
2013-01-14,0.4865,0.7568,0.7838
2013-01-21,0.5484,0.7742,0.8387
2013-01-28,0.2222,0.7037,0.8519
2013-02-04,0.5294,0.8235,0.9412
2013-02-11,0.4375,0.75,0.8125
2013-02-18,0.471,0.8425,0.9088
2013-02-25,0.4602,0.8171,0.8938
2013-03-04,0.4475,0.7864,0.8678
2013-03-11,0.5652,0.8696,0.913
2013-03-18,0.3929,0.7857,0.8036
2013-03-25,0.3385,0.7385,0.8769
2013-04-01,0.3646,0.7604,0.8333
2013-04-08,0.3786,0.7864,0.8641
2013-04-15,0.4314,0.8627,0.9412
2013-04-22,0.4444,0.7778,0.8611
2013-04-29,0.5263,0.8421,0.8421
2013-05-06,0.4545,0.8788,0.9596
2013-05-13,0.3962,0.7358,0.8302
2013-05-20,0.403,0.791,0.8806
2013-05-27,0.4306,0.8194,0.8611
2013-06-03,0.4615,0.8846,0.9423
2013-06-10,0.4828,0.8621,0.8621
2013-06-17,0.3514,0.7027,0.7838
2013-06-24,0.4051,0.8017,0.8692
2013-07-01,0.4435,0.8087,0.887
2013-07-08,0.4,0.7846,0.8769
2013-07-15,0.3519,0.9259,0.9444
2013-07-22,0.5033,0.8586,0.9145
2013-07-29,0.4878,0.8902,0.9329
2013-08-05,0.4529,0.8713,0.9287
2013-08-12,0.446,0.8592,0.9531
2013-08-19,0.4437,0.9139,0.9934
2013-08-26,0.4311,0.9011,0.9576
2013-09-02,0.515,0.8982,0.9701
2013-09-09,0.4375,0.8229,0.9167
2013-09-16,0.4722,0.8889,0.9722
2013-09-23,0.4884,0.8992,0.9457
2013-09-30,0.5563,0.875,0.9813
2013-10-07,0.4766,0.8516,1.0
2013-10-14,0.3933,0.8764,1.0
2013-10-21,0.4571,0.8762,1.0
2013-10-28,0.6216,1.0,1.0
2013-11-04,0.8667,1.0,1.0
