Week,Photo Mails,Photo Pages
2012-08-27,0.6875,0.625
2012-09-03,0.6909,0.5636
2012-09-10,0.7213,0.5902
2012-09-17,0.7857,0.6071
2012-09-24,0.8,0.5273
2012-10-01,0.7692,0.5385
2012-10-08,0.6667,0.375
2012-10-15,0.6154,0.3077
2012-10-22,0.7857,0.7857
2012-10-29,0.7391,0.6087
2012-11-05,0.7692,0.5769
2012-11-12,0.6957,0.6087
2012-11-19,0.7097,0.5484
2012-11-26,0.7039,0.5
2012-12-03,0.5909,0.5455
2012-12-10,0.7353,0.6471
2012-12-17,0.7262,0.5357
2012-12-24,0.5238,0.4286
2012-12-31,0.7241,0.6552
2013-01-07,0.7468,0.5519
2013-01-14,0.7632,0.5789
2013-01-21,0.7813,0.5
2013-01-28,0.7241,0.3793
2013-02-04,0.7778,0.5556
2013-02-11,0.5,0.5625
2013-02-18,0.7561,0.5679
2013-02-25,0.6725,0.5263
2013-03-04,0.6384,0.5212
2013-03-11,0.6701,0.4639
2013-03-18,0.6271,0.4746
2013-03-25,0.6418,0.5075
2013-04-01,0.6327,0.4898
2013-04-08,0.6792,0.4245
2013-04-15,0.6038,0.3774
2013-04-22,0.6486,0.5135
2013-04-29,0.55,0.35
2013-05-06,0.6019,0.3883
2013-05-13,0.5714,0.4286
2013-05-20,0.4571,0.3
2013-05-27,0.5974,0.3896
2013-06-03,0.6667,0.4444
2013-06-10,0.5862,0.4483
2013-06-17,0.6667,0.3077
2013-06-24,0.5492,0.3893
2013-07-01,0.6116,0.3636
2013-07-08,0.6667,0.4091
2013-07-15,0.6316,0.2105
2013-07-22,0.6311,0.4401
2013-07-29,0.645,0.4083
2013-08-05,0.6104,0.3398
2013-08-12,0.6267,0.3067
2013-08-19,0.5513,0.3333
2013-08-26,0.5625,0.3125
2013-09-02,0.5,0.3276
2013-09-09,0.5096,0.3269
2013-09-16,0.3559,0.1864
2013-09-23,0.4737,0.2707
2013-09-30,0.4643,0.2321
2013-10-07,0.4222,0.2519
2013-10-14,0.2474,0.2268
2013-10-21,0.381,0.1714
2013-10-28,0.2,0.125
2013-11-04,0.0667,0.0667
