Week,All,1+ Photos,1+ Photos and Uploader,1+ Photos and Uploader and iOS
2012-08-27,0.1429,0.2909,0.4627,0.4918
2012-09-03,0.1154,0.2632,0.5122,0.5593
2012-09-10,0.1477,0.303,0.5175,0.5577
2012-09-17,0.1497,0.3636,0.5208,0.6857
2012-09-24,0.1608,0.3214,0.5313,0.5663
2012-10-01,0.1486,0.3059,0.5208,0.5854
2012-10-08,0.1472,0.3117,0.6053,0.6667
2012-10-15,0.1032,0.2321,0.5417,0.6111
2012-10-22,0.1129,0.2188,0.3636,0.4
2012-10-29,0.162,0.3239,0.5238,0.6452
2012-11-05,0.1806,0.3514,0.6316,0.6389
2012-11-12,0.1966,0.3833,0.5844,0.6377
2012-11-19,0.1722,0.3085,0.54,0.625
2012-11-26,0.1969,0.3641,0.5611,0.6221
2012-12-03,0.1913,0.3474,0.5043,0.6
2012-12-10,0.1349,0.2636,0.4384,0.537
2012-12-17,0.1407,0.2643,0.362,0.4167
2012-12-24,0.1757,0.2763,0.4059,0.5
2012-12-31,0.1179,0.1959,0.3258,0.3676
2013-01-07,0.2355,0.3422,0.4326,0.4853
2013-01-14,0.1092,0.1979,0.3524,0.4933
2013-01-21,0.1429,0.2207,0.4189,0.5263
2013-01-28,0.1676,0.2214,0.4154,0.4706
2013-02-04,0.0865,0.1353,0.3148,0.5161
2013-02-11,0.1185,0.1416,0.32,0.4571
2013-02-18,0.2588,0.2892,0.3664,0.4088
2013-02-25,0.2513,0.2903,0.3822,0.4336
2013-03-04,0.1283,0.1603,0.2545,0.303
2013-03-11,0.1005,0.1283,0.2222,0.2739
2013-03-18,0.1222,0.1509,0.2393,0.2865
2013-03-25,0.1441,0.1759,0.2838,0.3422
2013-04-01,0.1043,0.1398,0.2248,0.3016
2013-04-08,0.1184,0.1513,0.2297,0.2792
2013-04-15,0.113,0.1395,0.2267,0.2674
2013-04-22,0.1396,0.1682,0.2813,0.3333
2013-04-29,0.0633,0.0785,0.144,0.1975
2013-05-06,0.1172,0.1537,0.2352,0.2917
2013-05-13,0.0807,0.1063,0.1672,0.2183
2013-05-20,0.0729,0.1051,0.1658,0.2392
2013-05-27,0.0558,0.0781,0.1503,0.2278
2013-06-03,0.0587,0.0794,0.1477,0.2093
2013-06-10,0.0612,0.0795,0.148,0.2015
2013-06-17,0.0992,0.1291,0.1989,0.2672
2013-06-24,0.0693,0.0871,0.1247,0.2022
2013-07-01,0.0807,0.1034,0.1542,0.265
2013-07-08,0.0699,0.0878,0.1321,0.2358
2013-07-15,0.0708,0.0876,0.1731,0.2606
2013-07-22,0.1421,0.1676,0.2211,0.2865
2013-07-29,0.1131,0.1446,0.1881,0.2719
2013-08-05,0.133,0.152,0.2148,0.274
2013-08-12,0.1169,0.1404,0.1912,0.2742
2013-08-19,0.1334,0.1608,0.2154,0.3172
2013-08-26,0.1238,0.1468,0.1956,0.2928
2013-09-02,0.1032,0.1198,0.1708,0.2373
2013-09-09,0.1005,0.121,0.169,0.2834
2013-09-16,0.1078,0.1261,0.1849,0.2828
2013-09-23,0.124,0.147,0.2013,0.2758
2013-09-30,0.1253,0.1517,0.21,0.3025
2013-10-07,0.12,0.1439,0.1948,0.2985
2013-10-14,0.1051,0.1292,0.1762,0.2696
2013-10-21,0.0876,0.1056,0.155,0.231
2013-10-28,0.0699,0.0859,0.1305,0.1961
2013-11-04,0.0765,0.1548,0.2549,0.4074
