Week,Mac or Windows,iOS,Android
2012-08-27,0.3884,0.7455,0.0179
2012-09-03,0.319,0.5257,0.0147
2012-09-10,0.385,0.5254,0.0169
2012-09-17,0.3476,0.5455,0.016
2012-09-24,0.3567,0.5234,0.0175
2012-10-01,0.3943,0.44,0.0057
2012-10-08,0.3313,0.4663,0.0061
2012-10-15,0.246,0.5397,0.0
2012-10-22,0.379,0.5806,0.0081
2012-10-29,0.4155,0.5704,0.0141
2012-11-05,0.3819,0.6667,0.0069
2012-11-12,0.4487,0.5769,0.0043
2012-11-19,0.3667,0.5778,0.0167
2012-11-26,0.4713,0.6291,0.0105
2012-12-03,0.4232,0.571,0.0174
2012-12-10,0.4008,0.5119,0.004
2012-12-17,0.5544,0.6315,0.0235
2012-12-24,0.5356,0.5816,0.0167
2012-12-31,0.4756,0.6382,0.0244
2013-01-07,0.7003,0.7477,0.0076
2013-01-14,0.3966,0.5747,0.0144
2013-01-21,0.3929,0.6071,0.0134
2013-01-28,0.4104,0.6821,0.0173
2013-02-04,0.2837,0.4327,0.0048
2013-02-11,0.3778,0.5407,0.0074
2013-02-18,0.7188,0.8056,0.0089
2013-02-25,0.6701,0.7744,0.0118
2013-03-04,0.5004,0.6977,0.0109
2013-03-11,0.4404,0.6197,0.0083
2013-03-18,0.499,0.6625,0.0104
2013-03-25,0.5118,0.7032,0.0108
2013-04-01,0.4745,0.5574,0.0106
2013-04-08,0.5218,0.6402,0.0056
2013-04-15,0.4989,0.661,0.0149
2013-04-22,0.5019,0.6717,0.0113
2013-04-29,0.4146,0.5,0.0063
2013-05-06,0.4983,0.6223,0.0102
2013-05-13,0.4755,0.5677,0.0115
2013-05-20,0.4438,0.4448,0.0104
2013-05-27,0.3669,0.5323,0.0073
2013-06-03,0.4022,0.5272,0.013
2013-06-10,0.4388,0.5802,0.0148
2013-06-17,0.5064,0.5674,0.0127
2013-06-24,0.583,0.5509,0.0168
2013-07-01,0.5533,0.5247,0.016
2013-07-08,0.5636,0.5169,0.0085
2013-07-15,0.4273,0.6621,0.0087
2013-07-22,0.6782,0.6823,0.0115
2013-07-29,0.6339,0.5448,0.0181
2013-08-05,0.6126,0.7257,0.0144
2013-08-12,0.6166,0.6197,0.0166
2013-08-19,0.6322,0.5791,0.024
2013-08-26,0.6629,0.5679,0.0916
2013-09-02,0.6085,0.621,0.0836
2013-09-09,0.5826,0.5314,0.0754
2013-09-16,0.5717,0.5982,0.0621
2013-09-23,0.6365,0.6076,0.0764
2013-09-30,0.6107,0.5928,0.085
2013-10-07,0.6338,0.5778,0.0764
2013-10-14,0.5948,0.5341,0.0661
2013-10-21,0.5902,0.5459,0.1144
2013-10-28,0.5472,0.5656,0.0752
2013-11-04,0.2959,0.301,0.0255
