Week,Live,Virtual,Deleted
2012-08-27,224,64,20
2012-09-03,953,124,83
2012-09-10,413,82,38
2012-09-17,187,88,10
2012-09-24,342,98,21
2012-10-01,175,53,17
2012-10-08,163,81,11
2012-10-15,126,76,14
2012-10-22,124,52,11
2012-10-29,142,72,10
2012-11-05,144,49,4
2012-11-12,234,87,27
2012-11-19,180,59,11
2012-11-26,1046,188,105
2012-12-03,345,141,25
2012-12-10,252,121,29
2012-12-17,597,213,56
2012-12-24,239,213,26
2012-12-31,246,155,26
2013-01-07,654,239,93
2013-01-14,348,169,26
2013-01-21,224,114,16
2013-01-28,173,97,13
2013-02-04,208,124,9
2013-02-11,135,87,14
2013-02-18,2361,455,271
2013-02-25,1361,474,149
2013-03-04,2392,540,213
2013-03-11,965,353,77
2013-03-18,483,301,41
2013-03-25,465,234,29
2013-04-01,940,327,87
2013-04-08,895,270,89
2013-04-15,469,212,40
2013-04-22,265,219,38
2013-04-29,316,223,15
2013-05-06,879,380,76
2013-05-13,694,381,48
2013-05-20,960,396,64
2013-05-27,1379,315,80
2013-06-03,920,351,63
2013-06-10,474,257,29
2013-06-17,393,272,17
2013-06-24,3521,579,313
2013-07-01,1500,746,85
2013-07-08,944,632,55
2013-07-15,805,563,36
2013-07-22,2175,727,177
2013-07-29,1494,735,110
2013-08-05,3474,897,204
2013-08-12,1925,1108,99
2013-08-19,1169,936,71
2013-08-26,2326,1042,134
2013-09-02,1686,970,100
2013-09-09,1035,784,59
2013-09-16,1095,704,50
2013-09-23,1073,707,52
2013-09-30,1341,739,93
2013-10-07,1125,768,73
2013-10-14,923,671,33
2013-10-21,1198,646,32
2013-10-28,1144,738,38
2013-11-04,196,126,8
