Week,Any Source,Offline Sources and Accessible
2012-08-27,0.4866,0.3125
2012-09-03,0.4386,0.2225
2012-09-10,0.4818,0.293
2012-09-17,0.4118,0.262
2012-09-24,0.4883,0.3187
2012-10-01,0.4857,0.2286
2012-10-08,0.4724,0.2577
2012-10-15,0.4365,0.2302
2012-10-22,0.5161,0.3145
2012-10-29,0.5,0.2465
2012-11-05,0.5139,0.2986
2012-11-12,0.5128,0.312
2012-11-19,0.5222,0.3
2012-11-26,0.5382,0.3088
2012-12-03,0.629,0.3159
2012-12-10,0.7341,0.2817
2012-12-17,0.8074,0.3266
2012-12-24,0.8243,0.3598
2012-12-31,0.8333,0.3293
2013-01-07,0.896,0.4878
2013-01-14,0.773,0.3103
2013-01-21,0.7813,0.3884
2013-01-28,0.763,0.6647
2013-02-04,0.6106,0.4375
2013-02-11,0.763,0.6074
2013-02-18,0.8928,0.8331
2013-02-25,0.845,0.7957
2013-03-04,0.7893,0.6865
2013-03-11,0.7472,0.6415
2013-03-18,0.7371,0.6605
2013-03-25,0.757,0.7032
2013-04-01,0.7064,0.6085
2013-04-08,0.7575,0.6737
2013-04-15,0.7548,0.6972
2013-04-22,0.7736,0.7132
2013-04-29,0.7025,0.5601
2013-05-06,0.7292,0.6485
2013-05-13,0.7104,0.6225
2013-05-20,0.6469,0.5385
2013-05-27,0.6853,0.6149
2013-06-03,0.6978,0.6043
2013-06-10,0.7236,0.6392
2013-06-17,0.6972,0.6336
2013-06-24,0.7776,0.7193
2013-07-01,0.746,0.6807
2013-07-08,0.7447,0.6928
2013-07-15,0.7752,0.7329
2013-07-22,0.8294,0.7885
2013-07-29,0.753,0.6854
2013-08-05,0.8575,0.825
2013-08-12,0.8042,0.7694
2013-08-19,0.7673,0.7271
2013-08-26,0.8169,0.7713
2013-09-02,0.8185,0.7805
2013-09-09,0.7816,0.7314
2013-09-16,0.8201,0.7854
2013-09-23,0.8117,0.7679
2013-09-30,0.7942,0.7562
2013-10-07,0.8,0.7511
2013-10-14,0.7746,0.7183
2013-10-21,0.8022,0.7529
2013-10-28,0.7902,0.7439
2013-11-04,0.7602,0.3878
