Week,Stripe Yearly,Stripe Monthly,Apple Monthly
2012-08-27,0.8125,0.0313,0.1563
2012-09-03,0.8,0.1273,0.0727
2012-09-10,0.8033,0.0984,0.0984
2012-09-17,0.9286,0.0357,0.0357
2012-09-24,0.9455,0.0364,0.0182
2012-10-01,0.9231,0.0769,0.0
2012-10-08,0.8333,0.0833,0.0833
2012-10-15,0.9231,0.0,0.0769
2012-10-22,0.8571,0.0714,0.0714
2012-10-29,0.8696,0.0,0.1304
2012-11-05,0.8846,0.1154,0.0
2012-11-12,0.9565,0.0435,0.0
2012-11-19,0.8387,0.0645,0.0968
2012-11-26,0.8932,0.034,0.0728
2012-12-03,0.9242,0.0455,0.0303
2012-12-10,0.8529,0.1471,0.0
2012-12-17,0.7619,0.1071,0.131
2012-12-24,0.7857,0.119,0.0952
2012-12-31,0.8966,0.1034,0.0
2013-01-07,0.8052,0.1299,0.0649
2013-01-14,0.7368,0.1579,0.1053
2013-01-21,0.7813,0.125,0.0938
2013-01-28,0.7931,0.1724,0.0345
2013-02-04,0.7222,0.0556,0.2222
2013-02-11,0.625,0.3125,0.0625
2013-02-18,0.7676,0.1113,0.1211
2013-02-25,0.8187,0.0819,0.0994
2013-03-04,0.7166,0.1661,0.1173
2013-03-11,0.7216,0.134,0.1443
2013-03-18,0.5932,0.2203,0.1864
2013-03-25,0.7463,0.0896,0.1642
2013-04-01,0.6429,0.1837,0.1735
2013-04-08,0.6321,0.1604,0.2075
2013-04-15,0.6604,0.2075,0.1321
2013-04-22,0.6486,0.1622,0.1892
2013-04-29,0.9,0.1,0.0
2013-05-06,0.6214,0.1845,0.1942
2013-05-13,0.6429,0.1964,0.1607
2013-05-20,0.7571,0.1286,0.1143
2013-05-27,0.6234,0.1948,0.1818
2013-06-03,0.6667,0.1296,0.2037
2013-06-10,0.7241,0.1724,0.1034
2013-06-17,0.7436,0.1026,0.1538
2013-06-24,0.6352,0.2541,0.1107
2013-07-01,0.7355,0.1405,0.124
2013-07-08,0.697,0.1515,0.1515
2013-07-15,0.7018,0.2105,0.0877
2013-07-22,0.699,0.1424,0.1586
2013-07-29,0.7041,0.1598,0.1361
2013-08-05,0.6104,0.1623,0.2273
2013-08-12,0.6978,0.1289,0.1733
2013-08-19,0.7436,0.1474,0.109
2013-08-26,0.7292,0.1632,0.1076
2013-09-02,0.6667,0.2299,0.1034
2013-09-09,0.6346,0.2212,0.1442
2013-09-16,0.7034,0.161,0.1356
2013-09-23,0.6842,0.188,0.1278
2013-09-30,0.6726,0.1667,0.1607
2013-10-07,0.6296,0.1926,0.1778
2013-10-14,0.5773,0.299,0.1237
2013-10-21,0.619,0.2952,0.0857
2013-10-28,0.525,0.25,0.225
2013-11-04,0.6667,0.3333,0.0
