Week,All Free Users,Free Users With Photos,Subscribed Users
2013-03-04,0.3894,0.5076,0.9739
2013-03-11,0.3779,0.5008,0.9794
2013-03-18,0.4245,0.5474,0.9322
2013-03-25,0.4347,0.5481,0.9851
2013-04-01,0.3599,0.4983,0.9694
2013-04-08,0.3802,0.5052,1.0
2013-04-15,0.4038,0.5077,0.9811
2013-04-22,0.4605,0.5628,1.0
2013-04-29,0.3446,0.4505,0.95
2013-05-06,0.3479,0.4726,1.0
2013-05-13,0.3762,0.5032,1.0
2013-05-20,0.3461,0.5067,0.9857
2013-05-27,0.3187,0.4481,0.987
2013-06-03,0.3545,0.4856,1.0
2013-06-10,0.3798,0.4896,0.931
2013-06-17,0.339,0.4444,0.9744
2013-06-24,0.424,0.533,0.9713
2013-07-01,0.4199,0.5359,0.9917
2013-07-08,0.4317,0.5351,0.9848
2013-07-15,0.4024,0.4882,0.9825
2013-07-22,0.5273,0.615,0.9903
2013-07-29,0.4717,0.6016,0.9941
2013-08-05,0.5647,0.6434,0.9892
2013-08-12,0.5371,0.6442,0.9822
2013-08-19,0.5054,0.6084,0.9936
2013-08-26,0.5373,0.6336,0.9861
2013-09-02,0.5126,0.5895,0.9943
2013-09-09,0.5263,0.6314,0.9904
2013-09-16,0.5906,0.6765,0.9915
2013-09-23,0.6596,0.7702,0.9925
2013-09-30,0.6479,0.7736,1.0
2013-10-07,1.0,1.0,1.0
2013-10-14,1.0,1.0,1.0
2013-10-21,1.0,1.0,1.0
2013-10-28,1.0,1.0,1.0
2013-11-04,1.0,1.0,1.0
