Day,Has Photos,Has Offline Photos
2013-05-23,1.0,1.0
2013-05-24,1.0,1.0
2013-05-25,0.6667,0.6667
2013-05-26,0.8462,0.7692
2013-05-27,0.8333,0.7778
2013-05-28,0.7857,0.7857
2013-05-29,0.8824,0.8235
2013-05-30,0.7273,0.7273
2013-05-31,0.6667,0.6667
2013-06-14,1.0,1.0
2013-06-15,1.0,1.0
2013-06-21,1.0,1.0
2013-06-29,1.0,1.0
2013-07-02,1.0,1.0
2013-07-04,1.0,1.0
2013-07-05,0.0,0.0
2013-07-08,1.0,1.0
2013-07-09,1.0,1.0
2013-07-23,1.0,1.0
2013-07-28,1.0,1.0
2013-07-29,1.0,0.0
2013-07-31,1.0,1.0
2013-08-11,1.0,1.0
2013-08-12,1.0,1.0
2013-08-17,0.5,0.5
2013-08-19,1.0,1.0
2013-08-23,0.0,0.0
2013-08-29,0.0,0.0
2013-09-04,0.5,0.5
2013-09-05,1.0,1.0
2013-09-16,0.0,0.0
2013-09-30,1.0,1.0
2013-10-04,1.0,1.0
2013-10-11,1.0,1.0
2013-10-16,1.0,1.0
2013-10-17,0.0,0.0
2013-10-29,1.0,1.0
2013-11-02,1.0,1.0
