Percentile,Delivered,Opened,Clicked
0.05,0.913587962963,0.887453703704,1.63965277778
0.1,0.957002314815,1.06375,2.37833333333
0.15,1.20819444444,1.4472337963,3.01594907407
0.2,1.58164351852,1.59983796296,3.99283564815
0.25,1.62476851852,1.68828703704,5.10885416667
0.3,1.70604166667,1.89623842593,6.06842592593
0.35,1.74953703704,2.40091435185,7.40435185185
0.4,1.99981481481,2.70586805556,8.74239583333
0.45,2.66563657407,3.37521990741,9.7491087963
0.5,2.88521990741,4.29512731481,11.2838541667
0.55,3.62480324074,5.37476851852,12.7479282407
0.6,4.62354166667,6.57590277778,14.4922453704
0.65,5.70690972222,8.27783564815,15.9477546296
0.7,6.95799768519,9.69752314815,17.5662268519
0.75,8.99922453704,11.8731018519,19.7664699074
0.8,11.5829398148,14.7268518519,22.4261574074
0.85,14.814849537,17.5778819444,23.9293055556
0.9,18.8079976852,22.0122916667,26.4215162037
0.95,24.7061342593,26.2912152778,28.5521527778
