Identifier,Count,Unique Open Rate,Unique Click Rate
android_apps,33.0,39.39,54.54
archive_nonuser,589.0,77.92,80.13
archive_user,1526.0,91.41,84.27
bonus_v2,2362.0,80.6,11.6
coupon_48hour_v2,2279.0,71.56,16.19
coupon_monthlyupgrade,282.0,64.89,19.85
coupon_monthlyupgrade_1month,141.0,79.43,18.43
deletion,359.0,63.5,0.55
email_changed,123.0,69.91,0.81
email_new,167.0,83.23,82.03
error_syncing,309.0,52.42,21.35
flashback_friend,12360.0,86.29,0.26
flashback_v2,308245.0,66.65,8.63
invite_friend_v3,639.0,74.64,51.48
invite_reminder_v2,899.0,43.49,17.57
invite_self_v3,5572.0,77.88,86.39
invite_verify_v2,11.0,81.81,45.45
ios_apps,164.0,85.97,62.8
password_changed,627.0,56.77,0.15
password_request,589.0,84.21,90.83
photos_nonuser_v2,8349.0,104.09,14.55
photos_user_v2,1859.0,97.31,29.26
ready_v3,3773.0,69.86,20.01
reminder_desktop_1,2128.0,55.12,12.64
reminder_desktop_2,1970.0,52.23,20.0
reminder_sync,553.0,67.63,25.67
subscription_canceled,69.0,88.4,0.0
subscription_changed,56.0,83.92,0.0
subscription_expired,276.0,59.05,5.43
subscription_new,548.0,65.87,2.0
subscription_payment_failed,257.0,72.37,23.34
subscription_payment_made,1667.0,88.06,0.47
subscription_payment_updated,135.0,77.03,0.0
subscription_renewed,5.0,80.0,0.0
