Day,Average,Median
2012-09-01,7314,2760
2012-09-02,8028,3280
2012-09-03,8580,3415
2012-09-04,8909,3704
2012-09-05,8609,3190
2012-09-06,8658,3091
2012-09-07,8978,3321
2012-09-08,8673,3063
2012-09-09,8708,3292
2012-09-10,8951,3263
2012-09-11,9290,3569
2012-09-12,9496,3602
2012-09-13,9649,3643
2012-09-14,9768,3668
2012-09-15,9722,3613
2012-09-16,9834,3751
2012-09-17,9945,3767
2012-09-18,10133,4007
2012-09-19,10367,3935
2012-09-20,10459,3906
2012-09-21,10565,4111
2012-09-22,10548,4117
2012-09-23,10643,4203
2012-09-24,10667,4254
2012-09-25,10713,4320
2012-09-26,10653,4251
2012-09-27,10758,4263
2012-09-28,10699,4259
2012-09-29,10754,4330
2012-09-30,10806,4511
2012-10-01,10849,4525
2012-10-02,10854,4535
2012-10-03,10982,4637
2012-10-04,10992,4636
2012-10-05,11046,4638
2012-10-06,11071,4578
2012-10-07,11123,4590
2012-10-08,11209,4630
2012-10-09,11266,4680
2012-10-10,11332,4739
2012-10-11,11375,4722
2012-10-12,11440,9026
2012-10-13,11454,2763
2012-10-14,11448,3355
2012-10-15,11549,5007
2012-10-16,11471,4951
2012-10-17,11600,27213
2012-10-18,11602,2879
2012-10-19,11698,4798
2012-10-20,11703,4798
2012-10-21,11703,4798
2012-10-22,11703,4798
2012-10-23,11703,4798
2012-10-24,11790,4819
2012-10-25,11775,4800
2012-10-26,11769,4787
2012-10-27,11937,4846
2012-10-28,11977,4936
2012-10-29,12021,4975
2012-10-30,12007,4999
2012-10-31,11704,4614
2012-11-01,12356,5152
2012-11-02,12265,5152
2012-11-03,12868,6032
2012-11-04,13148,6132
2012-11-05,13118,6275
2012-11-06,13105,6133
2012-11-07,13343,6188
2012-11-08,13997,6800
2012-11-09,14158,7044
2012-11-10,14693,7551
2012-11-11,14871,7931
2012-11-12,14932,7963
2012-11-14,15004,7984
2012-11-15,15156,7969
2012-11-16,15102,7930
2012-11-17,14875,7004
2012-11-18,15117,7745
2012-11-19,15384,7929
2012-11-20,15575,8047
2012-11-21,15506,8076
2012-11-22,15740,8490
2012-11-23,15805,8366
2012-11-24,15900,8473
2012-11-25,16067,8548
2012-11-26,16157,8842
2012-11-27,15427,7569
2012-11-28,14931,7525
2012-11-29,14663,7272
2012-11-30,14660,7193
2012-12-01,14038,6587
2012-12-02,13992,6677
2012-12-03,14079,6779
2012-12-04,14276,7118
2012-12-05,14402,7115
2012-12-06,14574,7142
2012-12-07,14801,7383
2012-12-08,14803,7438
2012-12-09,14840,7467
2012-12-10,14897,7518
2012-12-11,15018,7694
2012-12-12,15056,7717
2012-12-13,15116,7857
2012-12-14,15258,7913
2012-12-15,15346,8046
2012-12-16,15485,8180
2012-12-17,15490,8082
2012-12-18,15327,8073
2012-12-19,15192,8104
2012-12-20,15219,7998
2012-12-21,15371,8193
2012-12-22,15497,8375
2012-12-23,15596,8356
2012-12-24,15623,8274
2012-12-25,15689,8404
2012-12-26,15727,8327
2012-12-27,15913,8450
2012-12-28,15948,8384
2012-12-29,16031,8477
2012-12-30,16203,8609
2012-12-31,16314,8657
2013-01-01,16332,8594
2013-01-02,16314,8622
2013-01-03,16373,8664
2013-01-04,16419,8784
2013-01-05,16477,8776
2013-01-06,16486,8846
2013-01-09,16562,8629
2013-01-11,15564,8123
2013-01-12,15587,8123
2013-01-13,15837,8344
2013-01-14,16127,8629
2013-01-15,16373,8826
2013-01-16,16539,8694
2013-01-17,16508,8730
2013-01-18,16634,8850
2013-01-19,16812,9077
2013-01-20,16896,9116
2013-01-21,16948,9322
2013-01-22,17028,9306
2013-01-23,17549,9338
2013-01-24,16806,8673
2013-01-25,16317,8655
2013-01-26,17207,9369
2013-01-27,17286,9345
2013-01-28,17304,9339
2013-01-29,17436,9378
2013-01-30,17745,9890
2013-01-31,17953,10103
2013-02-01,18035,10131
2013-02-02,18365,10956
2013-02-03,18621,11051
2013-02-04,18801,11154
2013-02-05,19029,11397
2013-02-06,19186,11466
2013-02-07,19203,11520
2013-02-08,19205,11545
2013-02-09,19330,11644
2013-02-10,19334,10402
2013-02-11,19393,10944
2013-02-12,19488,10962
2013-02-13,19342,10993
2013-02-14,19408,10915
2013-02-15,19418,10945
2013-02-16,19435,11045
2013-02-17,18014,9107
2013-02-18,20796,11975
2013-02-19,21840,13535
2013-02-20,20127,12252
2013-02-21,20229,12280
2013-02-22,20307,12436
2013-02-23,19760,11783
2013-02-24,15866,9218
2013-02-25,15298,8873
2013-02-26,14913,8810
2013-02-27,14912,8837
2013-02-28,15043,9097
2013-03-01,15160,9098
2013-03-02,15627,9181
2013-03-03,15594,9047
2013-03-04,15651,9128
2013-03-05,15843,9118
2013-03-06,13474,6121
2013-03-07,12689,4513
2013-03-08,12580,4397
2013-03-09,12393,4215
2013-03-10,12216,4029
2013-03-11,12182,4020
2013-03-12,12150,4019
2013-03-13,12137,4070
2013-03-14,12147,4039
2013-03-15,12133,3992
2013-03-16,7487,1264
2013-03-17,7552,1261
2013-03-18,7580,1258
2013-03-19,7572,1248
2013-03-20,7567,1247
2013-03-21,7567,1259
2013-03-22,7573,1260
2013-03-23,7586,1259
2013-03-24,7592,1258
2013-03-25,7602,1263
2013-03-26,7635,1270
2013-03-27,7653,1272
2013-03-28,7696,1290
2013-03-29,7784,1337
2013-03-30,7828,1354
2013-03-31,7868,1359
2013-04-01,7894,1367
