Day,Average,Median
2012-09-01,4357,605
2012-09-02,4445,524
2012-09-03,4595,492
2012-09-04,4667,474
2012-09-05,4380,448
2012-09-06,4374,416
2012-09-07,4477,436
2012-09-08,4445,444
2012-09-09,4469,442
2012-09-10,4603,465
2012-09-11,4758,480
2012-09-12,4857,474
2012-09-13,4925,473
2012-09-14,4958,466
2012-09-15,4930,457
2012-09-16,4976,469
2012-09-17,5031,467
2012-09-18,5112,472
2012-09-19,5222,472
2012-09-20,5266,470
2012-09-21,5291,460
2012-09-22,5305,465
2012-09-23,5374,467
2012-09-24,5401,467
2012-09-25,5417,471
2012-09-26,5361,473
2012-09-27,5369,472
2012-09-28,5373,476
2012-09-29,5409,474
2012-09-30,5444,489
2012-10-01,5451,485
2012-10-02,5466,484
2012-10-03,5518,489
2012-10-04,5544,486
2012-10-05,5579,491
2012-10-06,5570,486
2012-10-07,5602,498
2012-10-08,5632,489
2012-10-09,5660,489
2012-10-10,5676,489
2012-10-11,5729,492
2012-10-12,5880,870
2012-10-13,5874,381
2012-10-14,5885,515
2012-10-15,5921,641
2012-10-16,5878,640
2012-10-17,5914,538
2012-10-18,5905,2709
2012-10-19,5931,538
2012-10-20,5931,538
2012-10-21,5933,538
2012-10-22,5933,538
2012-10-23,5935,538
2012-10-24,5924,500
2012-10-25,5910,494
2012-10-26,5900,490
2012-10-27,5958,488
2012-10-28,5977,486
2012-10-29,6000,491
2012-10-30,5994,492
2012-10-31,5815,477
2012-11-01,6123,474
2012-11-02,6082,473
2012-11-03,6448,571
2012-11-04,6731,613
2012-11-05,6813,644
2012-11-06,6799,674
2012-11-07,7060,707
2012-11-08,7705,892
2012-11-09,7901,941
2012-11-10,8182,1104
2012-11-11,8254,1119
2012-11-12,8304,1110
2012-11-14,8427,1182
2012-11-15,8534,1235
2012-11-16,8496,1207
2012-11-17,8493,1197
2012-11-18,8759,1319
2012-11-19,8911,1293
2012-11-20,9043,1368
2012-11-21,8990,1350
2012-11-22,9111,1335
2012-11-23,9140,1349
2012-11-24,9211,1365
2012-11-25,9284,1346
2012-11-26,9326,1359
2012-11-27,9123,1391
2012-11-28,8885,1380
2012-11-29,8680,1273
2012-11-30,8625,1360
2012-12-01,8262,1313
2012-12-02,8291,1381
2012-12-03,8391,1472
2012-12-04,8469,1471
2012-12-05,8540,1488
2012-12-06,8625,1479
2012-12-07,8693,1469
2012-12-08,8746,1519
2012-12-09,8778,1532
2012-12-10,8818,1533
2012-12-11,8879,1583
2012-12-12,8934,1593
2012-12-13,8956,1585
2012-12-14,9040,1601
2012-12-15,9095,1595
2012-12-16,9180,1632
2012-12-17,9209,1640
2012-12-18,9112,1708
2012-12-19,9054,1711
2012-12-20,8988,1690
2012-12-21,9092,1736
2012-12-22,9169,1746
2012-12-23,9210,1753
2012-12-24,9278,1770
2012-12-25,9305,1785
2012-12-26,9315,1779
2012-12-27,9416,1805
2012-12-28,9466,1834
2012-12-29,9521,1848
2012-12-30,9600,1847
2012-12-31,9654,1855
2013-01-01,9712,1916
2013-01-02,9736,1906
2013-01-03,9765,1927
2013-01-04,9799,1956
2013-01-05,9851,2009
2013-01-06,9865,1978
2013-01-09,9935,1861
2013-01-11,9759,2140
2013-01-12,9775,2140
2013-01-13,9976,2221
2013-01-14,10174,2259
2013-01-15,10337,2300
2013-01-16,10447,2305
2013-01-17,10421,2265
2013-01-18,10513,2303
2013-01-19,10585,2409
2013-01-20,10624,2518
2013-01-21,10558,2523
2013-01-22,10534,2482
2013-01-23,10909,3126
2013-01-24,10685,2990
2013-01-25,10458,3051
2013-01-26,10659,2563
2013-01-27,10736,2583
2013-01-28,10710,2575
2013-01-29,10810,2589
2013-01-30,11008,2645
2013-01-31,11189,2696
2013-02-01,11319,2710
2013-02-02,11656,2970
2013-02-03,11796,3015
2013-02-04,11888,3047
2013-02-05,12026,3136
2013-02-06,12175,3198
2013-02-07,12236,3247
2013-02-08,12223,3242
2013-02-09,12295,3239
2013-02-10,12281,4555
2013-02-11,12291,4175
2013-02-12,12339,4078
2013-02-13,12278,4106
2013-02-14,12302,4134
2013-02-15,12327,4152
2013-02-16,12377,4190
2013-02-17,11153,2753
2013-02-18,13896,6152
2013-02-19,14475,6554
2013-02-20,13273,5964
2013-02-21,13204,5816
2013-02-22,13276,5824
