Day,Average,Median
2012-09-01,958,364
2012-09-02,958,364
2012-09-03,206,364
2012-09-04,206,364
2012-09-05,206,364
2012-09-06,206,364
2012-09-07,206,364
2012-09-08,206,364
2012-09-09,206,364
2012-09-10,206,364
2012-09-11,206,364
2012-09-12,206,364
2012-09-13,206,364
2012-09-14,147,48
2012-09-15,147,48
2012-09-16,147,48
2012-09-17,147,48
2012-09-18,147,48
2012-09-19,147,48
2012-09-20,147,48
2012-09-21,147,48
2012-09-22,147,48
2012-09-23,147,48
2012-09-24,147,48
2012-09-25,147,48
2012-09-26,147,48
2012-09-27,147,48
2012-09-28,147,48
2012-09-29,147,48
2012-09-30,147,48
2012-10-01,147,48
2012-10-02,147,48
2012-10-03,147,48
2012-10-04,2580,2505
2012-10-05,2966,2891
2012-10-06,2997,2894
2012-10-07,3027,2896
2012-10-08,3094,2963
2012-10-09,3095,2963
2012-10-10,5968,7012
2012-10-11,5967,7010
2012-10-12,30,0
2012-10-13,30,0
2012-10-14,30,0
2012-10-15,30,0
2012-10-16,39,0
2012-10-17,39,0
2012-10-18,64,0
2012-10-19,64,64
2012-10-20,64,64
2012-10-21,64,64
2012-10-22,64,64
2012-10-23,64,64
2012-10-24,563,563
2012-10-25,5282,5282
2012-10-26,6309,6309
2012-10-27,6363,6363
2012-10-28,6363,6363
2012-10-29,6363,6363
2012-10-30,6368,6368
2012-10-31,6368,6368
2012-11-01,6376,6376
2012-11-02,6376,6376
2012-11-03,2927,3005
2012-11-04,2927,3005
2012-11-05,2528,2848
2012-11-06,3793,4737
2012-11-07,3156,5559
2012-11-08,8320,4514
2012-11-09,8563,6090
2012-11-10,10514,4814
2012-11-11,10773,4843
2012-11-12,11565,6499
2012-11-14,12285,6528
2012-11-15,12440,7572
2012-11-16,12638,7588
2012-11-17,12633,7772
2012-11-18,12723,8204
2012-11-19,12821,8240
2012-11-20,13677,7728
2012-11-21,14180,8362
2012-11-22,14211,8486
2012-11-23,13999,8483
2012-11-24,14159,8483
2012-11-25,14168,8483
2012-11-26,14243,8483
2012-11-27,14295,8483
2012-11-28,14297,8481
2012-11-29,14526,8481
2012-11-30,14853,8533
2012-12-01,15096,8533
2012-12-02,16074,9148
2012-12-03,16268,9148
2012-12-04,16301,9171
2012-12-05,13404,7170
2012-12-06,12716,6743
2012-12-07,12829,6685
2012-12-08,12838,6375
2012-12-09,13238,6956
2012-12-10,13173,6995
2012-12-11,13622,7137
2012-12-12,14053,7165
2012-12-13,14466,7193
2012-12-14,14821,7557
2012-12-15,15139,7486
2012-12-16,15274,7522
2012-12-17,15623,7498
2012-12-18,14412,6564
2012-12-19,13736,5974
2012-12-20,11324,4067
2012-12-21,11485,4578
2012-12-22,11516,4976
2012-12-23,11681,5198
2012-12-24,12089,5383
2012-12-25,12432,5668
2012-12-26,12166,5423
2012-12-27,12025,5163
2012-12-28,12059,5408
2012-12-29,12002,5397
2012-12-30,12059,5415
2012-12-31,11834,5398
2013-01-01,11883,5389
2013-01-02,11917,5507
2013-01-03,11953,5792
2013-01-04,12005,5640
2013-01-05,11963,5676
2013-01-06,11980,5677
2013-01-09,12567,6000
2013-01-11,12396,6153
2013-01-12,12420,6153
2013-01-13,12636,6252
2013-01-14,12979,6654
2013-01-15,13212,6778
2013-01-16,13475,6861
2013-01-17,13414,6760
2013-01-18,13362,6731
2013-01-19,13559,6801
2013-01-20,13698,6733
2013-01-21,13379,6617
2013-01-22,13321,6540
2013-01-23,13557,6363
2013-01-24,13207,6143
2013-01-25,12943,5823
2013-01-26,13241,5592
2013-01-27,13389,5592
2013-01-28,13421,5515
2013-01-29,13496,5683
2013-01-30,13552,5817
2013-01-31,13523,5891
2013-02-01,13645,5935
2013-02-02,13623,6116
2013-02-03,13326,6140
2013-02-04,13186,6069
2013-02-05,13083,6065
2013-02-06,13102,6028
2013-02-07,13095,6030
2013-02-08,13067,5793
2013-02-09,13089,5794
2013-02-10,13090,6511
2013-02-11,13132,6237
2013-02-12,13136,6258
2013-02-13,13130,6084
2013-02-14,13051,6084
2013-02-15,13125,6117
2013-02-16,13181,6136
2013-02-17,11139,3476
2013-02-18,10730,11931
2013-02-19,10667,16785
2013-02-20,10596,16271
2013-02-21,10741,15711
2013-02-22,10771,15342
2013-02-23,10756,15155
2013-02-24,10588,14474
2013-02-25,10772,14341
2013-02-26,10651,13986
2013-02-27,10743,13807
2013-02-28,10778,13658
2013-03-01,10846,13909
2013-03-02,10981,13757
2013-03-03,11460,13827
2013-03-04,11412,13619
2013-03-05,11497,13767
2013-03-06,10947,4204
2013-03-07,10475,3164
2013-03-08,10439,3095
2013-03-09,10256,2972
2013-03-10,10039,2905
2013-03-11,10020,2847
2013-03-12,9946,2884
2013-03-13,9843,2800
2013-03-14,9848,2788
2013-03-15,9855,2785
2013-03-16,4643,984
2013-03-17,4697,985
2013-03-18,4730,987
2013-03-19,4735,983
2013-03-20,4747,983
2013-03-21,4760,992
2013-03-22,4770,996
2013-03-23,4782,999
2013-03-24,4792,997
2013-03-25,4802,1003
2013-03-26,4825,1010
2013-03-27,4843,1011
2013-03-28,4876,1033
2013-03-29,4951,1075
2013-03-30,4979,1084
2013-03-31,5009,1092
2013-04-01,5034,1100
2013-04-02,5060,1104
2013-04-03,5080,1108
2013-04-04,5102,1114
2013-04-05,5122,1116
2013-04-06,5157,1117
2013-04-07,5181,1121
2013-04-08,5189,1122
2013-04-09,5206,1129
2013-04-10,5224,1135
2013-04-11,5239,1151
2013-04-12,5257,1155
2013-04-13,5274,1157
2013-04-14,5289,1162
2013-04-15,5303,1166
2013-04-16,5317,1174
2013-04-17,5331,1177
2013-04-18,5345,1181
2013-04-19,5363,1183
2013-04-20,5381,1185
2013-04-21,5402,1194
2013-04-22,5420,1204
2013-04-23,5436,1206
2013-04-24,5450,1214
2013-04-25,5464,1216
2013-04-26,6475,1855
2013-04-27,6484,1866
2013-04-28,6497,1868
2013-04-29,6524,1877
2013-04-30,6536,1884
2013-05-01,6550,1886
2013-05-02,6566,1891
2013-05-03,6578,1891
2013-05-04,6592,1900
2013-05-05,6607,1903
2013-05-06,6621,1911
2013-05-07,6634,1913
2013-05-08,6648,1920
2013-05-09,6666,1935
2013-05-10,6686,1940
2013-05-11,6711,1959
2013-05-12,6736,1965
2013-05-13,6763,1977
2013-05-14,6789,1996
2013-05-15,12564,3960
2013-05-16,12551,3938
2013-05-17,12525,3921
2013-05-18,12522,3930
2013-05-19,12571,3967
2013-05-20,12517,3932
2013-05-21,12464,3912
2013-05-22,12450,3855
2013-05-23,12355,3826
2013-05-24,12328,3819
2013-05-25,12332,3834
